metric,analyte,spearman_r,spearman_p,method,level,kendall_tau,kendall_p
shell,z_acenaphthene,0.244844011,0.035510706,spearman,individual_analytes,NA,NA
height,z_copper,-0.244415158,0.035844448,spearman,individual_analytes,NA,NA
height,z_copper.1,-0.244415158,0.035844448,spearman,individual_analytes,NA,NA
ibr_bio,z_PCB187,-0.244379856,0.035872037,spearman,individual_analytes,NA,NA
ibr_bio,z_C2.dibenzothiophenes,-0.242342183,0.037494818,spearman,individual_analytes,NA,NA
ibr_combined,z_naphthalene,0.240589314,0.038939288,spearman,individual_analytes,NA,NA
ibr_bio,z_ppDDT,-0.24005701,0.039386992,spearman,individual_analytes,NA,NA
sod,z_PCB052,0.239788282,0.03961463,spearman,individual_analytes,NA,NA
ibr_bio,z_C3.dibenzothiophenes,-0.238602467,0.040632222,spearman,individual_analytes,NA,NA
ci1,z_PCB105,0.236974061,0.042064877,spearman,individual_analytes,NA,NA
shell,z_C1.fluorenes,0.23575909,0.043160843,spearman,individual_analytes,NA,NA
ibr_morph,z_C1.fluoranthenes_pyrenes,0.235430993,0.043460821,spearman,individual_analytes,NA,NA
ibr_bio,z_C3.benzanthracenes_chrysenes,-0.234491398,0.044329441,spearman,individual_analytes,NA,NA
shell,z_PCB052,0.233904912,0.044878858,spearman,individual_analytes,NA,NA
sod,z_BDE100,0.233807502,0.044970654,spearman,individual_analytes,NA,NA
shell,z_PCB070,0.233133316,0.045610239,spearman,individual_analytes,NA,NA
sod,z_C2.benzanthracenes_chrysenes,0.232118081,0.04658751,spearman,individual_analytes,NA,NA
ibr_bio,z_PCB044,-0.231211232,0.047474976,spearman,individual_analytes,NA,NA
shell,z_fluorene,0.230434167,0.04824646,spearman,individual_analytes,NA,NA
ibr_combined,z_ppDDD,-0.229371778,0.049317872,spearman,individual_analytes,NA,NA
ibr_bio,z_PCB118,NA,NA,kendall,individual_analytes,-0.287509618,0.001943916
ibr_bio,z_PCB138,NA,NA,kendall,individual_analytes,-0.286656012,0.001992845
ibr_combined,z_PCB118,NA,NA,kendall,individual_analytes,-0.269920794,0.003624662
ibr_combined,z_PCB138,NA,NA,kendall,individual_analytes,-0.269078049,0.003711012
sod,z_PCB066,NA,NA,kendall,individual_analytes,0.250908607,0.004026748
ibr_combined,z_cadmium,NA,NA,kendall,individual_analytes,0.223425803,0.005092724
ibr_combined,z_cadmium.1,NA,NA,kendall,individual_analytes,0.223425803,0.005092724
sod,z_PCB180,NA,NA,kendall,individual_analytes,0.250889378,0.005772465
ibr_bio,z_PCB180,NA,NA,kendall,individual_analytes,-0.24756634,0.006452155
sod,z_PCB087,NA,NA,kendall,individual_analytes,0.239562785,0.00748464
ibr_bio,z_cadmium,NA,NA,kendall,individual_analytes,0.209275502,0.008697886
ibr_bio,z_cadmium.1,NA,NA,kendall,individual_analytes,0.209275502,0.008697886
sod,z_ppDDE,NA,NA,kendall,individual_analytes,0.205346054,0.010218231
sod,z_C3.dibenzothiophenes,NA,NA,kendall,individual_analytes,0.224555805,0.010998408
sod,z_PCB099,NA,NA,kendall,individual_analytes,0.210934856,0.011566589
ibr_combined,z_PCB180,NA,NA,kendall,individual_analytes,-0.227628111,0.012262476
sod,z_ppDDD,NA,NA,kendall,individual_analytes,0.221438293,0.012400335
sod,z_PCB138,NA,NA,kendall,individual_analytes,0.231217821,0.012650786
sod,z_PCB118,NA,NA,kendall,individual_analytes,0.230684187,0.012910566
ibr_bio,z_PCB066,NA,NA,kendall,individual_analytes,-0.216611747,0.013030728
ibr_bio,z_PCB087,NA,NA,kendall,individual_analytes,-0.22117417,0.013542132
ibr_combined,z_PCB074,NA,NA,kendall,individual_analytes,-0.233169061,0.014175117
ibr_combined,z_ppDDE,NA,NA,kendall,individual_analytes,-0.194892073,0.014785008
weight_final,z_cadmium,NA,NA,kendall,individual_analytes,0.194380449,0.014811103
weight_final,z_cadmium.1,NA,NA,kendall,individual_analytes,0.194380449,0.014811103
sod,z_dieldrin,NA,NA,kendall,individual_analytes,0.22171803,0.015006649
ibr_bio,z_PCB074,NA,NA,kendall,individual_analytes,-0.231123718,0.015045621
sod,z_C3.fluorenes,NA,NA,kendall,individual_analytes,0.201241653,0.015691689
weight_change,z_arsenic,NA,NA,kendall,individual_analytes,0.191591811,0.016788586
weight_change,z_arsenic.1,NA,NA,kendall,individual_analytes,0.191591811,0.016788586
length,z_C2.phenanthrenes_anthracenes,NA,NA,kendall,individual_analytes,-0.191642373,0.017078267
sod,z_C2.dibenzothiophenes,NA,NA,kendall,individual_analytes,0.212266393,0.017684811
ibr_bio,z_dieldrin,NA,NA,kendall,individual_analytes,-0.215049819,0.018320842
sod,z_PCB187,NA,NA,kendall,individual_analytes,0.205565215,0.01842734
ibr_combined,z_PCB087,NA,NA,kendall,individual_analytes,-0.210958273,0.018516
ibr_combined,z_PCB128,NA,NA,kendall,individual_analytes,-0.215192291,0.019358079
sod,z_C3.benzanthracenes_chrysenes,NA,NA,kendall,individual_analytes,0.205276857,0.020029616
ibr_bio,z_ppDDE,NA,NA,kendall,individual_analytes,-0.185931518,0.020043683
shell,z_PCB066,NA,NA,kendall,individual_analytes,0.199463317,0.022233018
ibr_combined,z_dieldrin,NA,NA,kendall,individual_analytes,-0.20615887,0.023726052
ibr_bio,z_PCB128,NA,NA,kendall,individual_analytes,-0.206609123,0.024749736
ibr_combined,z_PCB066,NA,NA,kendall,individual_analytes,-0.194048024,0.026128938
ci1,z_PCB105,NA,NA,kendall,individual_analytes,0.18237559,0.026928146
sod,z_C4.dibenzothiophenes,NA,NA,kendall,individual_analytes,0.195638652,0.027113784
sod,z_PCB101,NA,NA,kendall,individual_analytes,0.17636535,0.027213573
sod,z_PCB095,NA,NA,kendall,individual_analytes,0.181392617,0.027692396
p450,z_PCB128,NA,NA,kendall,individual_analytes,-0.199252121,0.030361979
weight_initial,z_arsenic,NA,NA,kendall,individual_analytes,0.172881674,0.030944989
weight_initial,z_arsenic.1,NA,NA,kendall,individual_analytes,0.172881674,0.030944989
sod,z_PCB074,NA,NA,kendall,individual_analytes,0.204534264,0.03143089
sod,z_C4.fluoranthenes_pyrenes,NA,NA,kendall,individual_analytes,0.193525271,0.031832962
sod,z_benzo_ghi_perylene,NA,NA,kendall,individual_analytes,0.192982362,0.032717693
ibr_combined,z_ppDDT,NA,NA,kendall,individual_analytes,-0.195177722,0.033574911
ibr_bio,z_naphthalene,NA,NA,kendall,individual_analytes,0.197762845,0.034143496
ibr_bio,z_ppDDD,NA,NA,kendall,individual_analytes,-0.187445572,0.034286417
shell,z_PCB149,NA,NA,kendall,individual_analytes,0.168989291,0.035099533
sod,z_cadmium,NA,NA,kendall,individual_analytes,-0.167569352,0.035655708
sod,z_cadmium.1,NA,NA,kendall,individual_analytes,-0.167569352,0.035655708
shell,z_acenaphthene,NA,NA,kendall,individual_analytes,0.187642207,0.035874129
height,z_copper,NA,NA,kendall,individual_analytes,-0.167165674,0.036061606
height,z_copper.1,NA,NA,kendall,individual_analytes,-0.167165674,0.036061606
shell,z_C2.dibenzothiophenes,NA,NA,kendall,individual_analytes,0.186753605,0.036884733
sod,z_C2.benzanthracenes_chrysenes,NA,NA,kendall,individual_analytes,0.172903416,0.036891459
ibr_bio,z_PCB187,NA,NA,kendall,individual_analytes,-0.18191612,0.036999671
ibr_bio,z_ppDDT,NA,NA,kendall,individual_analytes,-0.191506668,0.037053965
ibr_bio,z_C2.dibenzothiophenes,NA,NA,kendall,individual_analytes,-0.185733094,0.037927902
shell,z_C1.fluorenes,NA,NA,kendall,individual_analytes,0.185705889,0.040637663
ibr_bio,z_PCB044,NA,NA,kendall,individual_analytes,-0.181907075,0.042341622
sod,z_PCB052,NA,NA,kendall,individual_analytes,0.164972804,0.042969164
ibr_bio,z_C3.dibenzothiophenes,NA,NA,kendall,individual_analytes,-0.178591291,0.043148269
ibr_combined,z_ppDDD,NA,NA,kendall,individual_analytes,-0.178704587,0.043593195
ibr_bio,z_C3.fluorenes,NA,NA,kendall,individual_analytes,-0.167634697,0.044163045
shell,z_PCB033,NA,NA,kendall,individual_analytes,0.166144902,0.044429555
ibr_combined,z_C3.fluorenes,NA,NA,kendall,individual_analytes,-0.166834532,0.045184416
ibr_combined,z_naphthalene,NA,NA,kendall,individual_analytes,0.186,0.046330142
ibr_combined,z_PCB187,NA,NA,kendall,individual_analytes,-0.171910733,0.048718103
ibr_morph,z_C1.fluoranthenes_pyrenes,NA,NA,kendall,individual_analytes,0.157094375,0.049295874
shell,z_fluorene,NA,NA,kendall,individual_analytes,0.171599802,0.049302111
