"term","contrast","null.value","estimate","conf.low","conf.high","adj.p.value"
"site_name","Eastsound, Fishing Bay-Aiston Preserve",0,-0.346249999999996,-0.672440326943357,-0.0200596730566351,0.0194115073645599
"site_name","Eastsound, Fishing Bay-Arroyo Beach",0,-0.404999999999997,-0.70276966684477,-0.107230333155223,6.52275975945305e-05
"site_name","Jamestown-Arroyo Beach",0,-0.296666666666667,-0.562999953347618,-0.0303333799857153,0.0080714832002059
"site_name","Shilshole Bay-Arroyo Beach",0,-0.31375,-0.611519666844773,-0.0159803331552269,0.0220121436230925
"site_name","Skiff Point-Arroyo Beach",0,-0.31125,-0.609019666844773,-0.0134803331552266,0.025147559168223
"site_name","Eastsound, Fishing Bay-Blair Waterway",0,-0.373749999999998,-0.699940326943359,-0.047559673056637,0.00459510215999814
"site_name","Eastsound, Fishing Bay-Blair Waterway #2",0,-0.392499999999997,-0.718690326943358,-0.0663096730566359,0.00158414289662656
"site_name","Chambers Bay Park-Brackenwood Ln",0,0.385000000000005,0.0588096730566442,0.711190326943366,0.00244352821128824
"site_name","Suquamish Stormwater Outfall-Brackenwood Ln",0,0.350000000000004,0.0238096730566432,0.676190326943365,0.0160971376409988
"site_name","Chambers Bay Park-Broad Spit (Fisherman's Point)",0,0.392500000000002,0.0663096730566413,0.718690326943363,0.00158414289663045
"site_name","Des Moines Marina-Broad Spit (Fisherman's Point)",0,0.331250000000001,0.00505967305664023,0.657440326943362,0.0397485114764757
"site_name","Suquamish Stormwater Outfall-Broad Spit (Fisherman's Point)",0,0.357500000000001,0.0313096730566402,0.683690326943362,0.010969384740269
"site_name","Eastsound, Fishing Bay-Browns Point Lighthouse",0,-0.383749999999997,-0.709940326943358,-0.0575596730566358,0.00262408580660822
"site_name","Chuckanut, Clark's Point-Chambers Bay Park",0,-0.328750000000001,-0.654940326943362,-0.00255967305663996,0.044556319721986
"site_name","Eastsound, Fishing Bay-Chambers Bay Park",0,-0.591249999999999,-0.91744032694336,-0.265059673056638,1.15841525261118e-09
"site_name","Edmonds Ferry-Chambers Bay Park",0,-0.366250000000002,-0.692440326943363,-0.0400596730566412,0.00691026260489735
"site_name","Eld Inlet-Chambers Bay Park",0,-0.348750000000002,-0.674940326943363,-0.0225596730566412,0.0171396214828751
