method,metric,correlated_to,coefficient,estimate,n,p_value,p_adjusted,significant
spearman,ci,ibr_morph,rho,-0.30636060718252495,74,0.00793772670117106,0.00793772670117106,TRUE
spearman,ci,pah_hmw_index,rho,0.1421843761569789,74,0.2268765825986989,0.2268765825986989,FALSE
spearman,ci,total_pah_index,rho,0.14126619770455387,74,0.2299216977474445,0.2299216977474445,FALSE
spearman,ci,total_con_index,rho,0.1153794890781192,74,0.32762519458196504,0.32762519458196504,FALSE
spearman,ci,ddt_index,rho,0.11452400652613011,74,0.3312485856841808,0.3312485856841808,FALSE
spearman,ci,total_metal_index,rho,0.10753054424287299,74,0.3618147984326956,0.3618147984326956,FALSE
spearman,ci,pah_lmw_index,rho,0.10501295816364307,74,0.37322876739778854,0.37322876739778854,FALSE
spearman,ci,pcb_index,rho,0.0906182895223991,74,0.4425831530489184,0.4425831530489184,FALSE
spearman,ci,hch_index,rho,0.07795291902910215,74,0.5091475315065555,0.5091475315065555,FALSE
spearman,ci,chlordane_index,rho,0.04825115260873892,74,0.6830948722408272,0.6830948722408272,FALSE
spearman,ci,ibr_bio,rho,0.02489448352462051,74,0.8332484245301053,0.8332484245301053,FALSE
spearman,ci,pbde_index,rho,0.01983853140171988,74,0.8667653391495744,0.8667653391495744,FALSE
spearman,ci,ibr_combined,rho,-0.019355794150314694,74,0.869978778712341,0.869978778712341,FALSE
spearman,ci,pah_add_index,rho,0.01443952431656905,74,0.9028157654148496,0.9028157654148496,FALSE
spearman,ci,pesticide_index,rho,0.0129293184177436,74,0.9129381998693646,0.9129381998693646,FALSE
spearman,p450,ibr_combined,rho,0.4438208071084783,74,7.471744548315573e-5,7.471744548315573e-5,TRUE
spearman,p450,ibr_bio,rho,0.44035542391706767,74,8.629594720638491e-5,8.629594720638491e-5,TRUE
spearman,p450,chlordane_index,rho,0.174762504150208,74,0.13641979558502426,0.13641979558502426,FALSE
spearman,p450,pcb_index,rho,-0.16481303221029245,74,0.16054088803272107,0.16054088803272107,FALSE
spearman,p450,ibr_morph,rho,0.14265827471306922,74,0.22531597579662632,0.22531597579662632,FALSE
spearman,p450,total_pah_index,rho,-0.08738985560903369,74,0.45907206839172254,0.45907206839172254,FALSE
spearman,p450,pah_lmw_index,rho,-0.08703443169196592,74,0.4609077195455491,0.4609077195455491,FALSE
spearman,p450,total_metal_index,rho,-0.07530544242873008,74,0.5236822093462858,0.5236822093462858,FALSE
spearman,p450,total_con_index,rho,-0.06816734542761939,74,0.56388112735881335,0.56388112735881335,FALSE
spearman,p450,ddt_index,rho,0.06760930872917575,74,0.5670840274519149,0.5670840274519149,FALSE
spearman,p450,pah_add_index,rho,0.037068850630125466,74,0.753857303217756,0.753857303217756,FALSE
spearman,p450,pesticide_index,rho,0.03427234255210841,74,0.7719021149140661,0.7719021149140661,FALSE
spearman,p450,pbde_index,rho,0.030498040811599215,74,0.7964473828676703,0.7964473828676703,FALSE
spearman,p450,pah_hmw_index,rho,0.02601999259533506,74,0.8258252138804051,0.8258252138804051,FALSE
spearman,p450,hch_index,rho,-0.025030753816684174,74,0.8323488755811841,0.8323488755811841,FALSE
spearman,shell,ibr_morph,rho,0.5825546094039243,74,5.177945909619122e-8,5.177945909619122e-8,TRUE
spearman,shell,pah_hmw_index,rho,0.20056275453535727,74,0.08664080047605939,0.08664080047605939,FALSE
spearman,shell,pesticide_index,rho,0.1558851256396012,74,0.18475064313280867,0.18475064313280867,FALSE
spearman,shell,chlordane_index,rho,0.11237762659869642,74,0.340450747111246,0.340450747111246,FALSE
spearman,shell,ddt_index,rho,0.10267311980760675,74,0.3840302068984406,0.3840302068984406,FALSE
spearman,shell,ibr_combined,rho,0.09870418363569047,74,0.4027748026107947,0.4027748026107947,FALSE
spearman,shell,hch_index,rho,0.0986926864772119,74,0.4028298695574135,0.4028298695574135,FALSE
spearman,shell,total_con_index,rho,0.09390596075527581,74,0.42613801169495114,0.42613801169495114,FALSE
spearman,shell,total_pah_index,rho,0.0804590892262125,74,0.4955817914773871,0.4955817914773871,FALSE
spearman,shell,total_metal_index,rho,-0.07154387263976304,74,0.5446854760512663,0.5446854760512663,FALSE
spearman,shell,pbde_index,rho,0.056913053165028274,74,0.6300615222471548,0.6300615222471548,FALSE
spearman,shell,pah_lmw_index,rho,0.055194372454646416,74,0.640447701359653,0.640447701359653,FALSE
spearman,shell,pcb_index,rho,-0.051106997408367265,74,0.6654237759670012,0.6654237759670012,FALSE
spearman,shell,pah_add_index,rho,0.025013699046856536,74,0.8324614459738591,0.8324614459738591,FALSE
spearman,shell,ibr_bio,rho,0.01751943724546464,74,0.8822216462968487,0.8822216462968487,FALSE
spearman,sod,ibr_bio,rho,-0.9199407626804886,74,5.3471252554431485e-31,5.3471252554431485e-31,TRUE
spearman,sod,ibr_combined,rho,-0.881584598296927,74,3.55127916336156e-25,3.55127916336156e-25,TRUE
spearman,sod,ddt_index,rho,0.2927613427727214,74,0.011364807112211668,0.011364807112211668,TRUE
spearman,sod,pesticide_index,rho,0.28760979357918,74,0.012964822563595489,0.012964822563595489,TRUE
spearman,sod,total_con_index,rho,0.2705812661977045,74,0.01971764958574674,0.01971764958574674,TRUE
spearman,sod,pcb_index,rho,0.22950018511662343,74,0.04918734485301881,0.04918734485301881,TRUE
spearman,sod,hch_index,rho,0.21164531755301963,74,0.07026287793034094,0.07026287793034094,FALSE
spearman,sod,total_pah_index,rho,0.20023694927804514,74,0.08716441864131307,0.08716441864131307,FALSE
spearman,sod,pah_lmw_index,rho,0.19689004072565713,74,0.09268931992755045,0.09268931992755045,FALSE
spearman,sod,pah_hmw_index,rho,0.1959718622732321,74,0.09425213219447998,0.09425213219447998,FALSE
spearman,sod,pbde_index,rho,0.15030843312614944,74,0.2011559593983921,0.2011559593983921,FALSE
spearman,sod,total_metal_index,rho,0.09894113291373564,74,0.4016408909916681,0.4016408909916681,FALSE
spearman,sod,chlordane_index,rho,0.08924565339061982,74,0.44955289152863975,0.44955289152863975,FALSE
spearman,sod,ibr_morph,rho,0.08119955572010365,74,0.4916101666942859,0.4916101666942859,FALSE
spearman,sod,pah_add_index,rho,0.04148216165201015,74,0.7256491117968803,0.7256491117968803,FALSE
