"site_name","reporting_area","latitude","longitude","geo_cluster_6","geo_cluster_9","p450","sod","shell","ci1","ci2","ci3","ibr1bio","ibr1morph","ibr1overall","n_samples"
"Aiston Preserve","7",48.6793778,-122.6300583,"6","2",2.182269139,-1.227594073,4.5392398785,-0.22866104425,-0.5659164585,-0.86172748425,0.477337533,-1.21256841725,-0.36761544225,4
"Arroyo Beach","11",47.50161,-122.38593,"5","1",2.21658141483333,-0.772705445166667,5.84011959933333,-0.899297797666667,-2.04358721083333,-0.8617274845,0.721937984833333,0.426853762833333,0.574395873666667,6
"Blair Waterway","11",47.27568,-122.4173,"1","3",1.84430227825,-0.814819485,5.14816230125,0.4389064335,0.458122847,0.215431871,0.5147413965,0.1432794515,0.32901042425,4
"Blair Waterway Two","11",47.2632444,-122.385731,"1","3",1.923687404,-0.241015697,5.56333668,-0.85172402325,-3.0451695145,-0.947900233,0.8413358535,-1.54403945125,-0.35135179875,4
"Brackenwood Lane","10",47.68234,-122.5064,"5","1",-0.46598438925,-0.67327138125,1.43927118075,0.7243490795,-0.57939065975,-0.8617274845,-0.56962788525,0.6318883285,0.0311302215,4
"Broad Spit","12",47.78184,-122.83474,"4","4",-0.00428673525000001,-0.73458150975,1.273201429,0.47880701825,0.35032923625,-0.947900233,-0.36943412225,-1.05764763975,-0.71354088125,4
"Browns Point Lighthouse","11",47.30515,-122.44441,"1","3",5.18700801525,-1.37896654975,5.3695886365,1.89834705725,-0.28295822925,-0.0861727485,1.90402073275,0.25884719625,1.08143396475,4
"Cap Sante","7",48.520971,-122.600717,"6","2",2.090546388,0.792857147,4.068708915,-0.214849303,-0.99709090275,-1.55110947175,1.44170176775,-2.369090931,-0.46369458175,4
"Chambers Bay Park","13",47.1905742,-122.5834897,"1","5",5.82178381025,-0.1309357675,9.9641850985,-1.40572829825,-3.77277638925,-1.8096277175,2.845424021,-0.0490638922500001,1.3981800645,4
"Cherry Point Aquatic Reserve, Conoco Phillips","7",48.8208,-122.7101,"6","2",1.284277765,-1.1707434725,5.81244130725,0.6982602355,-2.54662406275,-1.20641847825,0.05676714625,-1.1368510765,-0.54004196525,4
"Chimacum Creek delta","9",48.04906,-122.7724,"4","9",0.3157912115,-1.4336376815,6.58743348175,-0.82103126575,-3.69193118125,-0.94790023275,-0.55892323525,0.25870100575,-0.1501111145,4
"Chuckanut, Clark's Point","7",48.68975,-122.50434,"6","2",0.405480404,-0.18535542225,2.68479431825,0.22098785475,-0.727606875,-0.43086374225,0.110062491,-0.5391755365,-0.21455652275,4
"Commencement Bay Skookum","11",47.29,-122.41,"1","3",3.237778149,-0.471905248,3.293716741,-0.48187629425,-1.96723340325,-0.775554736,1.38293645025,-1.68017783525,-0.14862069225,4
"Commencement Bay, Dick Gilmur Launch","11",47.292549,-122.412175,"1","3",1.22815759775,0.189882011,5.00977084125,0.64915182325,0.242535625,-0.90481385875,0.709019804,0.4378539975,0.57343690075,4
"Commencement Bay, Milwaukee Waterway","11",47.2694,-122.4243,"1","3",4.598001335,-0.593419005,4.7551305552,1.3517090448,-1.6249886876,-0.7066165372,2.002291165,-1.3767805744,0.3127552952,5
"Des Moines Marina","11",47.40301418,-122.3305538,"1","3",5.9869194045,-0.5096938805,8.6079487945,-0.7980116975,-2.73526288225,-1.46493672375,2.7386127625,0.0888984935,1.41375562775,4
"Discovery Bay","6",48.064957,-122.857524,"4","9",1.5242018065,-0.4373019925,4.151743791,0.293115835,-1.104884514,0.25851824525,0.54344990725,0.50806846125,0.52575918425,4
"Donkey Creek Delta","11",47.33775,-122.59014,"1","5",1.3868377495,-1.3536008885,2.823185778,0.6706367535,0.4311744445,-0.94790023275,0.01661843075,-0.417600907,-0.20049123825,4
"Eagle Harbor Dr","10",47.61889,-122.5275,"5","1",-0.40041227625,0.00224652925000002,6.3383288545,6.69102115575,-0.10779361125,0.0861727485,-0.1990828735,-1.37183591325,-0.7854593935,4
"Eastsound, Fishing Bay","7",48.69368,-122.90985,"6","2",0.655722253,-0.65197964975,-3.12764698925,-0.664498202,-1.02403930575,-1.378763975,0.00187130149999998,-2.88365413675,-1.4408914175,4
"Edmonds Ferry","9",47.81407,-122.3825,"3","1",5.3820674125,-1.66130832475,1.85444556,3.03090981275,-0.0404226045,-0.08617274875,1.86037954475,-1.04223649025,0.409071527,4
"Edmonds Marina","9",47.8111,-122.388,"3","1",13.109686428,0.16909323325,3.5151430765,0.4695991915,-0.37727763875,-1.03407298125,6.6393898315,-1.3761676105,2.631611111,4
"Eld Inlet","13",47.074603,-123.003527,"2","7",6.76789581925,-0.36638543725,2.241941647,0.19950292425,0.6332874655,0.81864111025,3.20075519025,0.7770622115,1.98890870075,4
"Elliot Bay Myrtle Edwards","10",47.61862,-122.36108,"5","1",0.1303840962,-0.1162830324,4.821558456,0.982168243,-0.4823764098,0.120641848,0.00705053220000001,0.1355528692,0.0713017008,5
"Elliott Bay, Harbor Island, Pier 17","10",47.58766,-122.35065,"5","1",6.218839183,-0.95132127975,5.53565838775,0.47573774275,-2.721788681,-1.89580046575,2.63375895175,-0.0877966277500001,1.272981162,4
"Everett Harbor","8.2",47.9726,-122.22977,"3","6",3.1742999615,-1.37812829275,3.764247704,0.50182658675,-2.452304653,-1.42185034925,0.89808583425,-2.0330467585,-0.56748046225,4
"Fidalgo Bay Aq Reserve, Weaverling Spit","7",48.482448,-122.583879,"6","2",0.8023145825,-0.09599720975,3.45978649275,2.27279870025,0.444648646,-0.38777736775,0.3531586865,-1.17105934125,-0.40895032725,4
"Filucy Bay","13",47.19483,-122.748665,"2","5",7.73685765,-1.017174762,5.53565838825,2.07329577575,-2.762211285,-2.0250595885,3.35984144325,-0.452550364,1.4536455395,4
"Friday Harbor","7",48.5069444,-123.0194444,"6","2",2.8411494886,-0.789088343,3.1830035732,-0.505816645,-1.678885493,-2.0164423136,1.0260305728,-1.8101921914,-0.3920808092,5
