site_name,reporting_area,latitude,longitude,p450,sod,shell,ci1,ci2,ci3,ibr1bio,ibr1morph,ibr1overall
Aiston Preserve,7,48.6793778,-122.6300583,2.182269139,-1.227594073,4.539239879,-0.228661044,-0.565916459,-0.861727484,0.477337533,-1.212568417,-0.367615442
Arroyo Beach,11,47.50161,-122.38593,2.216581415,-0.772705445,5.840119599,-0.899297798,-2.043587211,-0.861727485,0.721937985,0.426853763,0.574395874
Blair Waterway,11,47.27568,-122.4173,1.844302278,-0.814819485,5.148162301,0.438906434,0.458122847,0.215431871,0.514741397,0.143279452,0.329010424
Blair Waterway Two,11,47.2632444,-122.385731,1.923687404,-0.241015697,5.56333668,-0.851724023,-3.045169515,-0.947900233,0.841335854,-1.544039451,-0.351351799
Brackenwood Lane,10,47.68234,-122.5064,-0.465984389,-0.673271381,1.439271181,0.72434908,-0.57939066,-0.861727485,-0.569627885,0.631888329,0.031130222
Broad Spit,12,47.78184,-122.83474,-0.004286735,-0.73458151,1.273201429,0.478807018,0.350329236,-0.947900233,-0.369434122,-1.05764764,-0.713540881
Browns Point Lighthouse,11,47.30515,-122.44441,5.187008015,-1.37896655,5.369588637,1.898347057,-0.282958229,-0.086172749,1.904020733,0.258847196,1.081433965
Cap Sante,7,48.520971,-122.600717,2.090546388,0.792857147,4.068708915,-0.214849303,-0.997090903,-1.551109472,1.441701768,-2.369090931,-0.463694582
Chambers Bay Park,13,47.1905742,-122.5834897,5.82178381,-0.130935768,9.964185099,-1.405728298,-3.772776389,-1.809627718,2.845424021,-0.049063892,1.398180065
"Cherry Point Aquatic Reserve, Conoco Phillips",7,48.8208,-122.7101,1.284277765,-1.170743473,5.812441307,0.698260236,-2.546624063,-1.206418478,0.056767146,-1.136851077,-0.540041965
Chimacum Creek delta,9,48.04906,-122.7724,0.315791212,-1.433637682,6.587433482,-0.821031266,-3.691931181,-0.947900233,-0.558923235,0.258701006,-0.150111115
"Chuckanut, Clark's Point",7,48.68975,-122.50434,0.405480404,-0.185355422,2.684794318,0.220987855,-0.727606875,-0.430863742,0.110062491,-0.539175537,-0.214556523
Commencement Bay Skookum,11,47.29,-122.41,3.237778149,-0.471905248,3.293716741,-0.481876294,-1.967233403,-0.775554736,1.38293645,-1.680177835,-0.148620692
"Commencement Bay, Dick Gilmur Launch",11,47.292549,-122.412175,1.228157598,0.189882011,5.009770841,0.649151823,0.242535625,-0.904813859,0.709019804,0.437853998,0.573436901
"Commencement Bay, Milwaukee Waterway",11,47.2694,-122.4243,4.598001335,-0.593419005,4.755130555,1.351709045,-1.624988688,-0.706616537,2.002291165,-1.376780574,0.312755295
Des Moines Marina,11,47.40301418,-122.3305538,5.986919405,-0.509693881,8.607948795,-0.798011698,-2.735262882,-1.464936724,2.738612763,0.088898494,1.413755628
