"site_name","reporting_area","latitude","longitude","site_number","p450","sod","shell","ci1","ci2","ci3","weight_initial","weight_change","weight_final","length","height","width","ibr_bio","ibr_morph","ibr_combined"
"Aiston Preserve",7,48.6793778,-122.6300583,77,0.711128245,-5.833481218,0.413210544,-0.0623056825,-0.033813577,-0.131833629,-0.3058898795,-0.3124787405,-0.2813829615,-0.0858305205,-0.147249734,-0.1019310315,2.5222930825,7.94781007275,10.470103155
"Arroyo Beach",11,47.50161,-122.38593,13,0.984450633,-0.9378633815,0.565545597,-0.0129802275,-0.076386254,-0.077366443,0.000436569500000004,-0.0656890165,0.108902625,-0.0065123695,-0.031338969,-0.044733471,1.69997225383333,6.00945912816667,7.7094313825
"Blair Waterway",11,47.27568,-122.4173,41,0.904075545,-0.697353189,0.390899338,0.0273052105,0.040877137,-0.0134886695,-0.0377693635,-0.0358339305,-0.1554549415,-0.0519923755,-0.0204071465,-0.083879026,1.2606546215,5.08873023425,6.3493848565
"Blair Waterway Two",11,47.2632444,-122.385731,42,0.76736796,-1.1130285865,0.498449688,-0.0677097085,-0.1047039255,-0.1453171525,-0.3785749715,-0.5333632345,-0.1450466295,-0.1286666765,-0.1231862985,-0.236099596,1.28822189025,10.43808947125,11.72631136225
"Brackenwood Lane",10,47.68234,-122.5064,23,-0.3298217715,-0.818153192,0.1754605505,0.034528587,-0.013834577,-0.145050333,0.0453934985,0.0953433695,0.101881746,0.0612748295,-0.0701327945,-0.000548736,1.13382872925,4.12624677275,5.260075502
"Broad Spit",12,47.78184,-122.83474,30,-0.5871771235,-0.602400316,0.10596975,-0.00785815,0.0116590575,-0.0822404315,-0.0808137775,-0.0937603125,-0.102178226,-0.0167394865,-0.049590847,-0.1224590905,0.88806019075,5.4415270535,6.32958724425
"Browns Point Lighthouse",11,47.30515,-122.44441,54,2.1220045085,-2.6944735955,0.453093777,0.1289334965,0.0066111185,0.011632708,0.0107744535,-0.028458246,0.04966835,0.003904535,-0.1165197895,-0.0613329515,2.137998872,4.99021666,7.12821553075
"Cap Sante",7,48.520971,-122.600717,64,0.1321644615,0.0572824085,0.3978294175,0.078093336,-0.0268321815,-0.1755650495,-0.510831551,-0.5652660275,-0.508295221,-0.122132451,-0.252718819,-0.169664328,1.24688324775,11.4173222775,12.6642055275
"Chambers Bay Park",13,47.1905742,-122.5834897,56,0.9165395165,-0.1688574945,0.777530909,-0.0707032045,-0.1348246905,-0.2991114805,-0.207585411,-0.3431614185,0.0711570295,-0.023175584,-0.1787341295,-0.1500960595,1.527073529,9.32654791675,10.85362144475
"Cherry Point Aquatic Reserve, Conoco Phillips",7,48.8208,-122.7101,75,0.7698879605,-2.4949878465,0.5647386705,0.046469845,-0.089371729,-0.201922458,-0.35482636,-0.4894017245,-0.0794284455,-0.093399075,-0.2010598785,-0.2286245735,1.27754274025,10.25667716875,11.53421990875
"Chimacum Creek delta",9,48.04906,-122.7724,8,0.312454928,-2.404401088,0.57963248,-0.08418084,-0.164338698,-0.117826441,-0.102614763,-0.2819713485,0.106515219,-0.0695466915,-0.023934894,-0.15594816,1.55967886625,7.80174269575,9.361421561
"Chuckanut, Clark's Point",7,48.68975,-122.50434,74,0.2493974115,-0.2235164175,0.250307017,-0.006749837,-0.0343449565,-0.051132733,-0.2245805275,-0.2456558555,-0.1279294155,-0.0439745585,-0.0871331125,-0.106861241,0.867750666,6.9446846385,7.8124353045
"Commencement Bay Skookum",11,47.29,-122.41,45,1.445564406,-0.764920984,0.298593647,-0.0321534855,-0.0871462605,-0.1040860725,-0.372190506,-0.43957445,-0.2254175845,-0.102652915,-0.15517779,-0.1681996625,1.5251418335,8.45576144325,9.98090327575
"Commencement Bay, Dick Gilmur Launch",11,47.292549,-122.412175,48,0.732512736,-0.336011396,0.5415386995,0.082650396,0.0056088395,-0.146118205,-0.0365581235,0.0068549455,-0.002327855,0.055027673,-0.039734595,-0.0545056935,0.88969620775,5.71956577275,6.60926198025
"Commencement Bay, Milwaukee Waterway",11,47.2694,-122.4243,49,1.7835787,-1.126478944,0.435711068,0.058341356,-0.043177439,-0.090602549,-0.424385029,-0.48384848,-0.168567809,-0.125637739,-0.269094648,-0.149282828,2.2597770284,8.8010885612,11.0608655912
"Des Moines Marina",11,47.40301418,-122.3305538,21,1.672233747,-1.4140220785,0.6883860165,-0.034622668,-0.1048218165,-0.201922458,-0.2217358115,-0.3334071735,0.03464459,-0.01093312,-0.142638908,-0.06070299,1.945890446,6.46152604225,8.407416487
"Discovery Bay",6,48.064957,-122.857524,12,0.8660721325,-1.032223922,0.358026847,0.0113207055,-0.04001594,0.073323916,0.0051820365,-0.035600616,0.0977667885,-0.022883419,-0.0788368225,0.0214765875,1.28410024175,4.68750955725,5.971609799
"Donkey Creek Delta",11,47.33775,-122.59014,44,0.493355145,-3.931321409,0.256831969,0.047739056,0.023761572,-0.117826441,-0.12299649,-0.0999023735,-0.1916455325,0.0207729175,-0.121877491,-0.0124001685,1.99231074475,4.05286716625,6.045177911
