"site_name","latitude","longitude","acenaphthene","acenaphthylene","C1-dibenzothiophenes","C1-fluorenes","C1-naphthalenes","C1-phenanthrenes_anthracenes","C2-dibenzothiophenes","C2-fluorenes","C2-naphthalenes","C2-phenanthrenes_anthracenes","C3-dibenzothiophenes","C3-fluorenes","C3-naphthalenes","C3-phenanthrenes_anthracenes","C4-dibenzothiophenes","C4-naphthalenes","C4-phenanthrenes_anthracenes","dibenzothiophene","fluorene","naphthalene","phenanthrene"
"Aiston Preserve",48.6793778,-122.6300583,0,0,0,0,0,1.4,0,0,1.2,1.6,0,0,0,0.92,0,0.58,0.99,0,0,0,2
"Arroyo Beach",47.50159,-122.38577,0,0,0,0.65,0,4.3,0,0.79,1.7,0,0,0.98,0,5.8,0,1.5,5.1,0,0,0,5.1
"Blair Waterway",47.2758,-122.4174,1,0,0.71,0.93,0,8.2,1.7,1.8,3.17,0,1.9,3.2,0,13,2.1,4.8,10,0,1.1,0,6.9
"Blair Waterway Two",47.2632,-122.3856,1.3,0,0,1,0,7.4,2.2,2.9,3,17,3.1,6.7,0,21,2.6,5.4,14,0,1,0,6.4
"Brackenwood Ln",47.68203,-122.50668,0,0,0,0,0,4.6,0,0.8,1.7,0,0,1.8,0,5.1,0,1.6,3.9,0,0,0,6.3
"Broad Spit",47.80934,-122.81556,0,0,0,0,0,1.5,0,0,0,1.9,0,0,0,0.84,0,0,1.1,0,0,0,2.5
"Browns Point Lighthouse",47.304906,-122.44427,0.72,0,0,0,0.61,4.7,0.79,1,0,6,0.95,1.8,2.8,5,0.73,1.9,4.8,0,0.75,0,5.5
"Cap Sante",48.52093,-122.600725,0,0,0,0,0,2.9,0.91,0,1.4,5.9,2.2,1.3,0,8,2.2,1.7,5.8,0,0,0,3
"Chambers Bay Park",47.2009,-122.58342,0,0,0,0,0.5,2.1,0,0,0,3,0,0.66,1.3,2,0,0,2.4,0,0,0,2.6
"Cherry Point Aquatic Reserve, Conoco Phillips",48.820783,-122.710133,0,0,0,0,0,3.3,0,0,1.5,4.2,0,0,0,3.3,0,1.2,3.2,0,0,0,5.5
"Chimacum Creek delta",48.04887,-122.7711,0,0,0,0,0,2.1,0,0,1.3,0,0,0,0,2,0,1.1,2,0,0,0,3
"Chuckanut, Clark's Point",48.691084,-122.504012,0,0,0,0,0,2.5,0,0,1.5,0,0,0.55,0,2.3,0,1.2,4.2,0,0,0,3.9
"Commencement Bay Skookum",47.28915,-122.4096,1.2,0,0,0.91,0,7.2,1.2,1.4,2.8,10,1.5,1.9,0,10,0.91,3.6,7.1,0,1.1,0,8.7
