"site_name","latitude","longitude","aldrin","dieldrin","Endosulfan_1","hexachlorobenzene","mirex","z_aldrin","z_dieldrin","z_Endosulfan_1","z_hexachlorobenzene","z_mirex","ai_z_aldrin","ai_z_dieldrin","ai_z_Endosulfan_1","ai_z_hexachlorobenzene","ai_z_mirex","pesticide_index"
"Aiston Preserve",48.6793778,-122.6300583,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Arroyo Beach",47.50159,-122.38577,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Blair Waterway",47.2758,-122.4174,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Blair Waterway Two",47.2632,-122.3856,0,0.41,0,0,0,NA,2.95396363527509,NA,NA,-0.115470053837925,NA,3.4643166203169,NA,NA,0,3.4643166203169
"Brackenwood Ln",47.68203,-122.50668,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Broad Spit",47.80934,-122.81556,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Browns Point Lighthouse",47.304906,-122.44427,0,0.18,0,0,0,NA,1.01056650680464,NA,NA,-0.115470053837925,NA,1.52091949184644,NA,NA,0,1.52091949184644
"Cap Sante",48.52093,-122.600725,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Chambers Bay Park",47.2009,-122.58342,0,0.12,0,0,0,NA,0.503593342855822,NA,NA,-0.115470053837925,NA,1.01394632789763,NA,NA,0,1.01394632789763
"Cherry Point Aquatic Reserve, Conoco Phillips",48.820783,-122.710133,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Chimacum Creek delta",48.04887,-122.7711,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Chuckanut, Clark's Point",48.691084,-122.504012,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Commencement Bay Skookum",47.28915,-122.4096,0,0.25,0,0,0,NA,1.60203519807825,NA,NA,-0.115470053837925,NA,2.11238818312006,NA,NA,0,2.11238818312006
"Commencement Bay, Dick Gilmur Launch",47.2925,-122.4122,0,0.19,0,0,0,NA,1.09506203412944,NA,NA,-0.115470053837925,NA,1.60541501917125,NA,NA,0,1.60541501917125
"Commencement Bay, Milwaukee Waterway",47.2694,-122.4243,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Des Moines Marina",47.402778,-122.331667,0,0.18,0,0,0,NA,1.01056650680464,NA,NA,-0.115470053837925,NA,1.52091949184644,NA,NA,0,1.52091949184644
"Discovery Bay",48.064974,-122.857218,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Donkey Creek Delta",47.337909,-122.59023,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Eagle Harbor Dr",47.618875,-122.527234,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Eastsound, Fishing Bay",48.69395,-122.909933,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Edmonds Ferry",47.8142069,-122.3822018,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Edmonds Marina",47.81094,-122.387955,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Eld Inlet",47.0769,-123.0034725,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Elliot Bay Myrtle Edwards",47.62052,-122.36373,0,0.19,0,0,0,NA,1.09506203412944,NA,NA,-0.115470053837925,NA,1.60541501917125,NA,NA,0,1.60541501917125
"Elliott Bay, Harbor Island, Pier 17",47.5876989,-122.3505105,0,0.22,0,0,0,NA,1.34854861610385,NA,NA,-0.115470053837925,NA,1.85890160114565,NA,NA,0,1.85890160114565
"Everett Harbor",47.97252,-122.22982,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
