"site_name","latitude","longitude","1-methylnaphthalene","1-methylphenanthrene","1_7-dimethylphenanthrene","2-methylnaphthalene","235-trimethylnaphthalene","26-dimethylnaphthalene","3-methylphenanthrene","9-methylphenanthrene","Retene"
"Aiston Preserve",48.6793778,-122.6300583,0,0,0,0,0,0,0,0,1.5
"Arroyo Beach",47.50159,-122.38577,0,0.84,1.5,0,0,0,1.2,0.68,7
"Blair Waterway",47.2758,-122.4174,0,2.1,2.7,0,0,0.83,2,1.5,13
"Blair Waterway Two",47.2632,-122.3856,0,1.6,3,0,0,0,2.1,1.6,6.7
"Brackenwood Ln",47.68203,-122.50668,0,0.85,1.4,0,0,0,1.3,0.68,5.9
"Broad Spit",47.80934,-122.81556,0,0,0,0,0,0,0,0,2.3
"Browns Point Lighthouse",47.304906,-122.44427,0,1.2,1.4,0.61,0,0,1.2,0.79,5.7
"Cap Sante",48.52093,-122.600725,0,0,0,0,0,0,0.8,0,1.9
"Chambers Bay Park",47.2009,-122.58342,0,0,0.66,0.5,0,0,0.55,0,3.9
"Cherry Point Aquatic Reserve, Conoco Phillips",48.820783,-122.710133,0,0,0,0,0,0,0.96,0,2.5
"Chimacum Creek delta",48.04887,-122.7711,0,0,0,0,0,0,0.66,0,3.4
"Chuckanut, Clark's Point",48.691084,-122.504012,0,0,0.62,0,0,0,0.71,0,9
"Commencement Bay Skookum",47.28915,-122.4096,0,1.3,1.9,0,0,0,1.6,1.2,7.5
"Commencement Bay, Dick Gilmur Launch",47.2925,-122.4122,0,1.3,1.5,1,0,0,1.7,1.3,5.1
"Commencement Bay, Milwaukee Waterway",47.2694,-122.4243,0,1.3,1.5,0.81,0,0,1.3,0.82,7.3
"Des Moines Marina",47.402778,-122.331667,4.3,23,11,5.7,4,9.7,43,34,6.5
"Discovery Bay",48.064974,-122.857218,0,0.62,1.3,0,0,0,1.1,0.49,5.2
"Donkey Creek Delta",47.337909,-122.59023,0,0.67,0.85,0.62,0,0,1,0.57,2.9
"Eagle Harbor Dr",47.618875,-122.527234,0,1,1.3,0.65,0,0,1.8,1,2.7
"Eastsound, Fishing Bay",48.69395,-122.909933,0,0.81,1.3,0,0,0,1.7,0.75,4.1
"Edmonds Ferry",47.8142069,-122.3822018,0,0.96,1.4,0,0,0,1.3,0.77,9.5
"Edmonds Marina",47.81094,-122.387955,0,1.1,1.4,0,0,0,1.8,1,4.9
"Eld Inlet",47.0769,-123.0034725,0,0.53,0.81,0,0,0,0.73,0,3.5
"Elliot Bay Myrtle Edwards",47.62052,-122.36373,1.1,13,10,2,0.81,2.1,27,19,7.9
"Elliott Bay, Harbor Island, Pier 17",47.5876989,-122.3505105,0,4.4,5.1,1.1,0,0.94,7.4,5.7,9.1
"Everett Harbor",47.97252,-122.22982,0,0,0,0,0,0,1.1,0,4.8
"Fidalgo Bay Aq Reserve, Weaverling Spit",48.48425,-122.58392,0,0,1.2,0,0,0,1.5,0,2.2
"Filucy Bay",47.19483,-122.748665,0,0,0,0,0,0,0.58,0,2.7
"Friday Harbor",48.5069444,-123.0194444,0,0.85,1.1,0,0,0,1.7,0.89,2.8
"Gig Harbor Boat Launch",47.3372,-122.58284,0,0.7,0.84,0,0,0,1.2,0,2.6
"Hood Canal Holly",47.570193,-122.971775,0,0,0,0,0,4.5,0,0,1.4
"Jamestown",48.027069,-122.999191,0,0,0,0,0,0,0,0,1.5
"Kingston Marina",47.7947,-122.5003,0,2.7,0.54,0.52,0,0,0.86,0,2.4
"Kitsap St Boat Launch",47.541533,-122.640383,0,1.5,2.7,0,0,0.6,2.2,1.4,5.9
