"site_name","latitude","longitude","opDDD","opDDE","opDDT","ppDDD","ppDDT","ppDDE","z_opDDD","z_opDDE","z_opDDT","z_ppDDD","z_ppDDT","z_ppDDE","ai_z_opDDD","ai_z_opDDE","ai_z_opDDT","ai_z_ppDDD","ai_z_ppDDT","ai_z_ppDDE","ddt_index"
"Penn Cove Baseline",48.218047,-122.712359,0,0,0,0,0,0,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-1.30207477047464,0,NA,0,0,0,0,0
"Smith Cove, Terminal 91",47.6325,-122.3786,1.1,0,0.23,1.6,0.46,1.8,4.76112459913554,NA,2.48307374657969,3.04872464025088,1.74524316280482,4.18077282821768,5.20876249076624,NA,2.71266764588345,3.58955020437701,2.12834532049369,5.48284759869232,19.1221732602127
"Elliot Bay Myrtle Edwards",47.62052,-122.36373,0.67,0,0,2,0,0.75,2.72497198910874,NA,-0.229593899303759,3.94611219134513,-0.383102157688864,0.982445062313831,3.17260988073944,NA,0,4.48693775547126,0,2.28451983278847,9.94406746899917
"Shilshole Bay",47.6707,-122.40605,0.61,0,0,1.5,0.37,1.2,2.44085767143058,NA,-0.229593899303759,2.82437775247731,1.32882777401258,2.35315696198691,2.88849556306128,NA,0,3.36520331660345,1.71192993170144,3.65523173246155,11.6208605438277
"Blair Waterway Two",47.2632,-122.3856,0.57,0,0,0.91,0.48,0.95,2.25144812631181,NA,-0.229593899303759,1.50073111461329,1.83777991586977,1.59165035105742,2.6990860179425,NA,0,2.04155667873943,2.22088207355863,2.89372512153206,9.85524989177262
"Elliott Bay, Harbor Island, Pier 17",47.5876989,-122.3505105,0.5,0,0,0.68,0,0.63,1.91998142235395,NA,-0.229593899303759,0.984733272734094,-0.383102157688864,0.616921889067676,2.36761931398465,NA,0,1.52555883686023,0,1.91899665954231,5.8121748103872
"N Avenue Park",48.52108,-122.61531,0.47,0,0,0.77,0,0.64,1.77792426351488,NA,-0.229593899303759,1.1866454717303,-0.383102157688864,0.647382153504856,2.22556215514557,NA,0,1.72747103585644,0,1.94945692397949,5.9024901149815
"Des Moines Marina",47.402778,-122.331667,0.43,0,0.45,1.7,0,0.7,1.5885147183961,NA,5.07779932090299,3.27307152802444,-0.383102157688864,0.830143740127933,2.0361526100268,NA,5.30739322020675,3.81389709215058,0,2.13221851060257,13.2896614329867
"Salmon Bay, Commodore Park",47.666244,-122.401894,0.43,0,0,0.92,0.36,1.4,1.5885147183961,NA,-0.229593899303759,1.52316580339065,1.28255939748011,2.9623622507305,2.0361526100268,NA,0,2.06399136751678,1.66566155516897,4.26443702120514,10.0302425539177
"Port Angeles Yacht Club",48.128267,-123.457133,0.39,0,0,0.59,0,0.32,1.39910517327733,NA,-0.229593899303759,0.782821073737887,-0.383102157688864,-0.32734630848489,1.84674306490803,NA,0,1.32364663786402,0,0.974728461989746,4.1451181647618
