"site_name","p450","sod","ci_wet_volume","ci_wet_shell_weight","ci_pollution","shell_thickness","site_number","reporting_area","pcb_group","pah_group","latitude","longitude","geo_group"
"Aiston Preserve",3752617.75,3.440125,0.33075,2.2675,0.4822443925,0.81125,77,"8","1","8",48.6793778,-122.6300583,"5"
"Arroyo Beach",4480859.83333333,8.83258333333333,0.319666666666667,2.03,0.332551981166667,0.87,13,"8","3","8",47.50161,-122.38593,"2"
"Blair Waterway",4879642.5,6.51775,0.3415,2.51,0.34465940375,0.83875,41,"3","3","3",47.27568,-122.4173,"2"
"Blair Waterway #2",3714917.5,10.796,0.32075,1.8475,0.56708715875,0.8575,42,"7","3","7",47.2632444,-122.385731,"1"
"Brackenwood Ln",1857011.75,9.835125,0.3465,2.31,0.3027194805,0.67125,23,"2","2","2",47.68234,-122.5064,"3"
"Broad Spit (Fisherman's Point)",2311730.75,7.11625,0.34225,2.455,0.43717534425,0.66375,30,"3","1","3",47.78184,-122.83474,"4"
"Browns Point Lighthouse",7401612.25,1.378875,0.36525,2.335,0.4136913375,0.84875,54,"6","3","6",47.30515,-122.44441,"1"
"Cap Sante",3728576,41.12025,0.331,2.23,0.64454841525,0.79,64,"2","1","2",48.520971,-122.600717,"4"
"Chambers Bay Park",4502337.75,9.687875,0.3115,1.7375,0.4501102875,1.05625,56,"3","2","3",47.1905742,-122.5834897,"1"
"Cherry Point Aquatic Reserve, Conoco Phillips",3716208.75,4.46775,0.34575,1.9225,0.652105553,0.86875,75,"7","2","7",48.8208,-122.7101,"1"
"Chimacum Creek delta",2641573.75,2.193375,0.321,1.7775,0.3957632985,0.90375,8,"2","1","2",48.04906,-122.7724,"3"
"Chuckanut, Clark's Point",3006723.75,12.7025,0.338,2.2575,0.399657789,0.7275,74,"3","1","3",48.68975,-122.50434,"3"
"Comm Bay Skookum",5919817,8.9185,0.3265,2.01,0.51176478025,0.755,45,"7","5","7",47.29,-122.41,"1"
"Comm Bay, Dick Gilmur Launch",3792068,41.29775,0.34475,2.46,0.34129115025,0.8325,48,"7","5","7",47.292549,-122.412175,"1"
"Comm Bay, Milwaukee Waterway",7608741.8,6.3977,0.3564,2.086,0.609289399,0.821,49,"3","3","3",47.2694,-122.4243,"5"
"Des Moines Marina",4886367.5,9.63975,0.3215,1.885,0.394420032,0.995,21,"8","3","8",47.40301418,-122.3305538,"1"
"Discovery Bay",4029897.5,8.739125,0.33925,2.16,0.32639888175,0.79375,12,"3","1","3",48.064957,-122.857524,"2"
"Donkey Creek Delta",3185175,2.500625,0.34525,2.4775,0.366460781,0.73375,44,"7","6","7",47.33775,-122.59014,"2"
"Eagle Harbor Dr",1846200.75,25.1675,0.39225,3.4525,0.40427271825,0.8925,31,"7","6","7",47.61889,-122.5275,"3"
"Eastsound, Fishing Bay",2504169,11.961125,0.32375,2.1775,0.5303510325,0.465,60,"6","1","6",48.69368,-122.90985,"5"
"Edmonds Ferry",4710936.75,0.206375,0.38375,2.3725,0.55914367225,0.69,69,"5","3","5",47.81407,-122.3825,"2"
"Edmonds Marina",16253739,16.62475,0.342,2.315,0.50633374025,0.765,68,"7","3","7",47.8111,-122.388,"2"
"Eld Inlet",4644880.75,20.791,0.3375,2.53,0.3059841265,0.7075,72,"2","2","2",47.074603,-123.003527,"4"
"Elliot Bay Myrtle Edwards",2469547.6,34.8252,0.3504,2.282,0.4161423038,0.824,19,"3","7","3",47.61862,-122.36108,"1"
"Elliott Bay, Harbor Island, Pier 17",9194071.75,5.56325,0.342,1.885,0.4663059125,0.85625,14,"4","7","4",47.58766,-122.35065,"3"
"Everett Harbor",5271456.5,0.375875,0.3425,1.935,0.65084173775,0.77625,66,"5","2","5",47.9726,-122.22977,"2"
"Fidalgo Bay Aq Reserve, Weaverling Spit",3345616,18.015,0.52175,4.205,0.6069928425,0.7625,63,"7","1","7",48.482448,-122.583879,"3"
"Filucy Bay",6265039.75,5.313125,0.3685,1.9025,0.5865006635,0.85625,59,"2","3","2",47.19483,-122.748665,"4"
"Friday Harbor",3954243.2,6.7096,0.3262,2.138,0.5386160556,0.75,61,"6","1","6",48.5069444,-123.0194444,"5"
"Gig Harbor Boat Launch",4097009.75,7.509375,0.30275,1.6925,0.4023935625,0.965,58,"5","4","5",47.33785,-122.58277,"1"
"Hood Canal Holly",788472,1.64041666666667,0.343,2.23166666666667,0.323981970333333,0.676666666666667,29,"1","1","1",47.5706,-122.9717,"4"
"Jamestown",3263515,24.4873333333333,0.3385,2.39666666666667,0.424316686166667,0.573333333333333,2,"1","2","1",48.024789,-122.998135,"3"
"Kingston Marina",5281103,4.064,0.3125,1.7675,0.34624627725,0.81125,36,"4","3","4",47.794695,-122.499858,"2"
"Kitsap St Boat Launch",2885042.5,30.745,0.244,2.08,0.20352003575,0.8325,25,"7","7","7",47.54167,-122.64034,"2"
"Kopachuck State Park",7285132.25,4.726,0.30075,2.13,0.4160270865,0.7775,52,"6","2","6",47.30973,-122.68868,"2"
"Lions Park",6543253.75,14.79325,0.2765,2.1475,0.43181105175,0.75,37,"1","5","1",47.5833538,-122.6414587,"3"
"Locust Beach",2401828,5.4015,0.3265,2.7375,0.36394311025,0.6875,76,"1","1","1",48.77636877,-122.5378679,"3"
"Madrona Pont",5804701,3.8715,0.32,1.95,0.4681683475,0.805,28,"3","4","3",47.57995505,-122.6786,"2"
"Manchester, Stormwater Outfall",6122829.75,2.682375,0.34175,2.74,0.32388624875,0.60625,33,"6","3","6",47.55622,-122.54281,"1"
"Maple Hollow Park",3639570,4.6215,0.364,2.455,0.448718655,0.775,51,"5","3","5",47.30008,-122.74566,"2"
"Maristone Island",4772560.83333333,5.67875,0.336666666666667,2.745,0.352651847333333,0.699166666666667,11,"2","2","2",48.018127,-122.699524,"2"
"Meyer's Point - Henderson Inlet",2519276.5,24.0125,0.48475,3.155,0.651597646,0.78875,71,"8","3","8",47.11795,-122.83359,"2"
"Miller Creek",5747266.5,4.015375,0.34225,2.3,0.33672971025,0.82125,20,"4","3","4",47.4436,-122.360316,"1"
"Minter Bay",6206748.75,1.991375,0.36975,1.865,0.55770120475,0.9175,55,"2","2","2",47.3539722,-122.69175,"4"
"Mukilteo",5076322.75,7.6065,0.32575,2.3375,0.50072727875,0.79125,65,"6","2","6",47.94968,-122.30158,"2"
"N Avenue Park",4183302,1.443625,0.3665,2.2675,0.5051660705,0.8225,62,"5","2","5",48.52108,-122.61531,"3"
"North Camano",12290521,0.75175,0.3245,2.36,0.32332454875,0.7675,7,"1","1","1",48.255358,-122.507014,"3"
"Oak Bay County Park",2335145,19.80775,0.34775,2.2,0.450656288,0.77375,10,"8","2","8",48.02218,-122.728709,"2"
"Penn Cove Reference",2427656.25,23.86,0.33475,2.385,0.2962340205,0.60625,3,"2","1","2",48.21423,-122.718972,"3"
"Pennrose Point State Park",4193869.5,4.4995,0.26325,2.1125,0.222923972,0.8575,50,"3","3","3",47.2619,-122.7376,"4"
"Point Defiance Ferry",2181856.75,10.88425,0.368,2.505,0.5139120045,0.83875,43,"7","4","7",47.3062,-122.5145,"1"
"Port Angeles Yacht Club",5751355,7.3855,0.343833333333333,2.26166666666667,0.4560504825,0.800833333333333,1,"8","4","8",48.12823,-123.45715,"5"
"Purdy - Dexters",4743078.25,1.760875,0.33775,2.1225,0.4165544185,0.84375,57,"2","2","2",47.38566,-122.627255,"1"
"Purdy, Burley Lagoon",3937679,11.214,0.32875,2.265,0.3404675495,0.915,47,"8","3","8",47.386977,-122.6367089,"2"
"Raft Island Park",4523051.5,3.778125,0.35525,2.6625,0.497745386,0.65375,53,"2","2","2",47.32598,-122.66724,"5"
"Reach Island",5905498,4.58375,0.323,2.0125,0.417686996,0.77,39,"5","1","5",47.346537,-122.82236,"2"
"Rich Passage",3203053.25,2.245,0.34675,2.48,0.51641357425,0.81,32,"2","4","2",47.578117,-122.524833,"4"
"Rocky Point",4508401,9.8955,0.33875,2.505,0.432911383,0.68875,27,"4","5","4",47.60255,-122.66992,"2"
"S of Skunk Island",3556922.75,11.307,0.33925,2.47,0.46085619075,0.78625,9,"4","1","4",48.02667,-122.75076,"3"
"Salmon Bay, Commodore Park",3756618.5,1.48175,0.344,2.5725,0.33221446825,0.7075,16,"8","7","8",47.6663,-122.4018,"2"
"Salmon Beach",1904018.75,18.330875,0.335,2.1625,0.55113137275,0.86375,40,"5","3","5",47.29464,-122.53053,"1"
"Seattle Aquarium, Pier 59",3135234,23.887625,0.3635,2.385,0.46613384125,0.8425,17,"1","7","1",47.607,-122.342,"5"
"Shilshole Bay",2862823.75,9.90675,0.323,2.725,0.5518798675,0.55625,18,"4","6","4",47.671678,-122.406663,"2"
"Silverdale, Dyes Inlet",1652091.25,26.031,0.34425,2.295,0.4108359265,0.6875,35,"5","5","5",47.6427936,-122.6967068,"2"
"Skiff Point",5664098.75,4.23625,0.33575,2.4325,0.405071269,0.55875,24,"6","1","6",47.66142,-122.49884,"1"
"Smith Cove, Terminal 91",3958924,19.66125,0.35725,2.3525,0.4922399685,0.74,15,"5","8","5",47.63237,-122.37869,"2"
"Squaxin Island",6368736.25,5.85875,0.348,2.16,0.470571603,0.85625,38,"2","2","2",47.17650485,-122.9046464,"4"
"Suquamish Stormwater Outfall",4338555.5,5.81925,0.283,1.9875,0.28619994225,1.02125,34,"5","4","5",47.7296079,-122.5506191,"2"
"Thea Foss Waterway",3423037.5,18.6908,0.2932,1.864,0.3630854154,0.897,46,"5","5","5",47.259189,-122.434689,"1"
"Three Tree Point",7417010.25,8.125125,0.34825,2.66,0.28555436425,0.8125,22,"5","3","5",47.44896,-122.372267,"2"
"Tulalip Bay",5544824.5,6.25383333333333,0.340166666666667,2.44833333333333,0.438708144333333,0.874166666666667,67,"3","2","3",48.0617,-122.2939,"3"
"Tulalip Reservation",3773556.5,3.182125,0.3245,2.2225,0.35879411225,0.78375,70,"6","1","6",48.0697859,-122.2997764,"1"
"West Bay Park",5731487.25,2.996125,0.32975,2.21,0.35404902325,0.7725,73,"2","4","2",47.052362,-122.910912,"4"
"Williams Olson Park",2970859,6.457625,0.33975,2.235,0.529831576,0.67125,26,"4","3","4",47.66586,-122.56698,"2"
