"Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA
"shell","a23",0.307130639692739,0.00777421792168775
"shell","a26",0.231403246108856,0.0472859141735726
"shell","a29",0.255855803669386,0.0277893608519624
"shell","a31",0.297888728173798,0.0099455504642294
"shell","a32",0.305382970527298,0.00814965655792665
"shell","a33",0.302998438869366,0.00868748654451745
"shell","a34",0.300806447034746,0.00920902447262173
"shell","a35",0.308389553922082,0.00751325848651097
"shell","a36",0.327480617941175,0.00439780432362769
"shell","a39",0.340454839881226,0.00299690718871082
"shell","a41",0.307130639692739,0.00777421792168775
"shell","a42",0.303190978692678,0.00864293525519777
"shell","a43",0.317201953527482,0.00589222456738026
"shell","a44",0.326310568245668,0.00454898213445931
"shell","a45",0.299206885425698,0.00960667510263247
"shell","a46",0.317201953527482,0.00589222456738026
"shell","a47",0.350170695580625,0.00222477410503363
"shell","a48",0.303190978692678,0.00864293525519777
"shell","a49",0.315291366050008,0.00621476562693735
"shell","a53",0.237253494586391,0.0418161025998858
"shell","a56",0.297133379636192,0.0101443978436193
"shell","a58",0.320460319768134,0.00537611989239006
"shell","a59",0.303190978692678,0.00864293525519777
"shell","a60",0.25533742722201,0.0281180547625048
