2017- 18,,,,,,,,,,,,,,
,,,,,"Concentrations in ng/g, dry weight (ppb)                                             ",,,,,,,,,
Site Type,Site ID,Site Name,Year,,,,,,,,,,,
,,,,?16PAHs,?42PAHs,TPCBs,?11PBDEs,?6DDTs,?8 Chlordanes,?3 HCHs,Dieldrin,HCB,Endosulfan1,Mirex
SAM,PCB_MEAN,"Penn Cove, Pre-test Baseline Mean",2018,NA,75.9,23.4,0.601,1.29,<0.932,<0.932,<0.932,<0.930,NA,NA
SAM,WB_PCR,Penn Cove Reference,2018,NA,136,28.1,3.56,6.37,<0.822,<0.822,0.96,<0.822,NA,NA
SAM,Site #2,Arroyo Beach,2018,NA,299,63.4,12.4,3.98,1.89,<0.810,0.945,<0.810,NA,NA
SAM,Site #3,Brackenwood Ln,2018,NA,396,58.8,5.28,2.47,<0.803,<0.803,<0.803,<0.803,NA,NA
SAM,Site #4,Cherry Point North,2018,NA,265,43.6,3.34,2.33,<0.873,<0.800,<0.800,<0.800,NA,NA
SAM,Site #5,Salmon Beach,2018,NA,573,54.6,7.17,2.91,<1.21,<1.21,<1.21,<1.21,NA,NA
SAM,Site #6,Eagle Harbor Dr,2018,NA,1000,139,5.19,6.13,<0.809,<0.809,0.944,<0.809,NA,NA
SAM,Site #8,Chimacum Creek Delta,2018,NA,179,40.1,3.09,1.79,<0.668,<0.668,<0.668,<0.668,NA,NA
SAM,Site #10,"Fletcher Bay, Fox Cove",2018,NA,316,80.1,5.77,3.37,<1.12,<1.12,<1.12,<1.12,NA,NA
SAM,Site #11,South Bay Trail,2018,NA,733,46,6.95,5.55,<1.33,<1.33,<1.25,<1.33,NA,NA
SAM,Site #13,Ruston Way,2018,NA,800,73.3,10.9,3.25,<1.21,<1.21,1.36,<1.21,NA,NA
SAM,Site #14,Point Heron East,2018,NA,280,94.7,8.06,3.06,<1.12,<1.12,<1.12,<1.12,NA,NA
SAM,Site #15,Tugboat Park,2018,NA,137,31.1,3.88,2.15,<0.901,<0.901,<0.901,<0.901,NA,NA
SAM,Site #16,Meadowdale Beach,2018,NA,437,146,9.05,2.89,<1.01,<1.01,1.33,<1.01,NA,NA
SAM,Site #17,"Budd Inlet, West Bay",2018,NA,282,53.5,5.06,2.75,<0.867,<0.867,1.01,<0.867,NA,NA
SAM,Site #18,Seahurst,2018,NA,258,48.4,8.32,5.16,2.99,<0.590,1.28,<0.590,NA,NA
SAM,Site #19,Skiff Point,2018,NA,397,52.8,6.91,5.54,1.86,<0.505,1.04,<0.505,NA,NA
