"sample_id","latitude","longitude","site_name","site_number","reporting_area","p450","sod","shell","ci1","ci2","ci3","geo_group","lat_range","long_range","label"
1,47.40301418,-122.3305538,"Des Moines Marina",21,11,5679312,4.027,0.88,31.754,0.6673,0.0493,"5","47.19 - 47.45","-122.64 - -122.33","Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33"
2,47.40301418,-122.3305538,"Des Moines Marina",21,11,6097784,4.41,1.145,33.897,0.6637,0.051,"5","47.19 - 47.45","-122.64 - -122.33","Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33"
3,47.40301418,-122.3305538,"Des Moines Marina",21,11,3868923,5.064,0.945,29.328,0.6363,0.0439,"5","47.19 - 47.45","-122.64 - -122.33","Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33"
4,47.40301418,-122.3305538,"Des Moines Marina",21,11,3899451,25.058,1.01,33.577,0.6453,0.0519,"5","47.19 - 47.45","-122.64 - -122.33","Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33"
5,47.7296079,-122.5506191,"Suquamish Stormwater Outfall",34,10,5346329,0.512,1.015,35.779,0.6876,0.0519,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
6,47.7296079,-122.5506191,"Suquamish Stormwater Outfall",34,10,2044561,6.049,1.065,35.169,0.6545,0.0546,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
7,47.7296079,-122.5506191,"Suquamish Stormwater Outfall",34,10,5633230,2.326,1.02,17.657,0.6584,0.0588,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
8,47.7296079,-122.5506191,"Suquamish Stormwater Outfall",34,10,4330102,14.39,0.985,24.457,0.6591,0.0718,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
9,47.2619,-122.7376,"Pennrose Point State Park",50,13,7518449,2.815,0.955,42.24,0.66,0.1167,"1","47.05 - 47.57","-123 - -122.67","Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67"
10,47.2619,-122.7376,"Pennrose Point State Park",50,13,2993202,4.845,0.81,20.851,0.6426,0.0503,"1","47.05 - 47.57","-123 - -122.67","Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67"
11,47.2619,-122.7376,"Pennrose Point State Park",50,13,3607485,7.438,0.855,21.773,0.6943,0.0458,"1","47.05 - 47.57","-123 - -122.67","Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67"
12,47.2619,-122.7376,"Pennrose Point State Park",50,13,2656342,2.9,0.81,20.443,0.7098,0.0456,"1","47.05 - 47.57","-123 - -122.67","Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67"
13,48.02667,-122.75076,"S of Skunk Island",9,9,3719291,8.989,0.815,32.295,0.7158,0.0565,"2","47.78 - 48.21","-123.46 - -122.7","Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7"
14,48.02667,-122.75076,"S of Skunk Island",9,9,5059896,7.334,0.855,35.693,0.6837,0.0587,"2","47.78 - 48.21","-123.46 - -122.7","Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7"
15,48.02667,-122.75076,"S of Skunk Island",9,9,4168799,0.978,0.78,33.657,0.7084,0.0605,"2","47.78 - 48.21","-123.46 - -122.7","Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7"
16,48.02667,-122.75076,"S of Skunk Island",9,9,1279705,27.927,0.695,34.016,0.7343,0.058,"2","47.78 - 48.21","-123.46 - -122.7","Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7"
17,47.94968,-122.30158,"Mukilteo",65,8.2,7725177,7.613,0.805,31.737,0.6859,0.0475,"6","47.81 - 48.26","-122.51 - -122.23","Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23"
18,47.94968,-122.30158,"Mukilteo",65,8.2,5159851,6.4,0.83,32.918,0.7091,0.0525,"6","47.81 - 48.26","-122.51 - -122.23","Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23"
19,47.94968,-122.30158,"Mukilteo",65,8.2,3877914,0.271,0.855,31.808,0.675,0.0487,"6","47.81 - 48.26","-122.51 - -122.23","Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23"
20,47.94968,-122.30158,"Mukilteo",65,8.2,3542349,16.142,0.675,33.924,0.7258,0.0543,"6","47.81 - 48.26","-122.51 - -122.23","Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23"
21,47.8111,-122.388,"Edmonds Marina",68,9,3150477,7.034,0.665,37.354,0.719,0.0546,"6","47.81 - 48.26","-122.51 - -122.23","Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23"
22,47.8111,-122.388,"Edmonds Marina",68,9,6702376,11.402,0.885,35.303,0.7032,0.053,"6","47.81 - 48.26","-122.51 - -122.23","Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23"
23,47.8111,-122.388,"Edmonds Marina",68,9,52717198,34.355,0.865,32.749,0.6622,0.0503,"6","47.81 - 48.26","-122.51 - -122.23","Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23"
24,47.8111,-122.388,"Edmonds Marina",68,9,2444905,13.708,0.645,31.442,0.7031,0.0485,"6","47.81 - 48.26","-122.51 - -122.23","Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23"
25,48.68975,-122.50434,"Chuckanut, Clark's Point",74,7,4424850,2.988,0.985,34.475,0.6665,0.0551,"4","48.48 - 48.82","-123.02 - -122.5","Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5"
26,48.68975,-122.50434,"Chuckanut, Clark's Point",74,7,3385205,8.472,0.8,36.98,0.708,0.0668,"4","48.48 - 48.82","-123.02 - -122.5","Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5"
27,48.68975,-122.50434,"Chuckanut, Clark's Point",74,7,3153370,13.731,0.475,31.62,0.7289,0.042,"4","48.48 - 48.82","-123.02 - -122.5","Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5"
28,48.68975,-122.50434,"Chuckanut, Clark's Point",74,7,1063470,25.619,0.65,32.12,0.6569,0.0561,"4","48.48 - 48.82","-123.02 - -122.5","Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5"
29,47.58766,-122.35065,"Elliott Bay, Harbor Island, Pier 17",14,10,6892889,1.487,0.785,34.227,0.657,0.0439,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
30,47.58766,-122.35065,"Elliott Bay, Harbor Island, Pier 17",14,10,12192291,6.551,0.66,34.193,0.6678,0.0453,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
31,47.58766,-122.35065,"Elliott Bay, Harbor Island, Pier 17",14,10,8571444,13.24,1.04,35.637,0.6305,0.0468,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
32,47.58766,-122.35065,"Elliott Bay, Harbor Island, Pier 17",14,10,9119663,0.975,0.94,32.828,0.6568,0.0501,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
33,48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips",75,7,4058856,5.642,0.705,33.972,0.6425,0.0487,"4","48.48 - 48.82","-123.02 - -122.5","Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5"
34,48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips",75,7,2991933,9.761,0.86,34.715,0.6677,0.0453,"4","48.48 - 48.82","-123.02 - -122.5","Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5"
35,48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips",75,7,3977493,1.005,0.935,35.234,0.676,0.0566,"4","48.48 - 48.82","-123.02 - -122.5","Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5"
36,48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips",75,7,3836553,1.463,0.975,34.381,0.6271,0.0506,"4","48.48 - 48.82","-123.02 - -122.5","Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5"
37,47.29,-122.41,"Comm Bay Skookum",45,11,6882929,7.19,0.695,32.133,0.6612,0.0547,"5","47.19 - 47.45","-122.64 - -122.33","Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33"
38,47.29,-122.41,"Comm Bay Skookum",45,11,6222187,4.194,0.8,33.077,0.658,0.0537,"5","47.19 - 47.45","-122.64 - -122.33","Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33"
39,47.29,-122.41,"Comm Bay Skookum",45,11,0,17.324,0.66,33.067,0.6859,0.0494,"5","47.19 - 47.45","-122.64 - -122.33","Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33"
40,47.29,-122.41,"Comm Bay Skookum",45,11,4654335,6.966,0.865,32.345,0.6644,0.0526,"5","47.19 - 47.45","-122.64 - -122.33","Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33"
41,48.21423,-122.718972,"Penn Cove Reference",3,8.1,2017393,22.233,0.545,35.666,0.727,0.0599,"2","47.78 - 48.21","-123.46 - -122.7","Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7"
42,48.21423,-122.718972,"Penn Cove Reference",3,8.1,3364046,34.492,0.645,32.993,0.6861,0.0491,"2","47.78 - 48.21","-123.46 - -122.7","Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7"
43,48.21423,-122.718972,"Penn Cove Reference",3,8.1,956176,29.84,0.6,31.764,0.7101,0.0593,"2","47.78 - 48.21","-123.46 - -122.7","Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7"
44,48.21423,-122.718972,"Penn Cove Reference",3,8.1,3373010,8.875,0.635,33.352,0.692,0.0619,"2","47.78 - 48.21","-123.46 - -122.7","Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7"
