latitude,longitude,site_name,p450,sod,ci1,ci2,ci3,shell,site_number,reporting_area,km4,km5,hc4,hc5,p16,p42,plmw,phmw,pcb,arsenic,cadmium,copper,lead,mercury,zinc
48.6793778,-122.6300583,Aiston Preserve,4712860.25,3.440125,0.033,0.69325,0.0525,0.81125,77,7,2,4,4,4,1,1,1,1,1,7.245508982,1.652694611,4.94011976,0.177245509,0.033053892,77.24550898
47.50161,-122.38593,Arroyo Beach,4750942.667,6.83175,0.032,0.665833333,0.0525,0.87,13,11,4,2,1,1,3,3,3,4,3,9.647058824,1.952941176,5.623529412,0.242352941,0.036,104.1176471
47.27568,-122.4173,Blair Waterway,4337758.5,6.51775,0.03425,0.71225,0.05875,0.83875,41,11,1,2,1,1,4,4,5,5,3,8.114285714,1.622857143,5.828571429,0.255428571,0.032057143,98.85714286
47.2632444,-122.385731,Blair Waterway #2,4425866.25,10.796,0.03175,0.64725,0.052,0.8575,42,11,1,2,1,1,4,5,5,6,4,8.373493976,1.704819277,8.13253012,0.184939759,-0.0236,85.54216867
47.68234,-122.5064,Brackenwood Ln,1773623.75,7.573125,0.0345,0.693,0.0525,0.67125,23,10,4,1,2,2,3,3,3,4,2,8.698224852,1.857988166,6.213017751,0.220118343,0.037455621,90.53254438
47.78184,-122.83474,Broad Spit (Fisherman's Point),2286051.5,7.116,0.03425,0.71025,0.052,0.66375,30,12,3,5,1,1,1,1,1,1,2,7.712418301,2.058823529,5.058823529,0.069934641,-0.0257,67.97385621
47.30515,-122.44441,Browns Point Lighthouse,8047751.75,2.3115,0.0365,0.6985,0.057,0.84875,54,11,1,2,1,1,3,4,4,4,3,8.465909091,1.710227273,6.931818182,0.260795455,0.032954545,90.34090909
48.520971,-122.600717,Cap Sante,4611059.25,18.5045,0.033,0.68525,0.0485,0.79,64,7,2,4,4,4,1,3,4,3,1,7.743902439,1.902439024,5.298780488,0.179878049,0.029634146,81.09756098
47.1905742,-122.5834897,Chambers Bay Park,8752275,11.61675,0.03125,0.63375,0.047,1.05625,56,13,1,2,1,1,2,2,1,2,3,8.081395349,1.790697674,5.372093023,0.229069767,0.029244186,83.72093023
48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips",3716200,3.864,0.0345,0.6565,0.0505,0.86875,75,7,2,4,4,4,3,3,3,4,2,7.931034483,1.902298851,5.304597701,0.192528736,0.033045977,73.56321839
