latitude,longitude,site_name,p450,sod,ci1,ci2,ci3,shell,site_number,reporting_area,km4,km5,hc4,hc5,p16,p42,plmw,phmw,pcb,a3,a64,a65,a66,a70,a72,a73,a74,a76,a77,a78
48.6793778,-122.6300583,Aiston Preserve,4712860.25,3.440125,0.033,0.69325,0.0525,0.81125,77,7,2,4,4,4,1,1,1,1,1,-0.974030501,-0.852276688,-0.974030501,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,1.82630719,-0.974030501
47.50161,-122.38593,Arroyo Beach,4750942.667,6.83175,0.032,0.665833333,0.0525,0.87,13,11,4,2,1,1,3,3,3,4,3,-1.200665779,-1.080599201,-1.200665779,-1.380765646,-1.380765646,-1.380765646,-1.380765646,-1.380765646,-1.380765646,2.401331558,-1.200665779
47.27568,-122.4173,Blair Waterway,4337758.5,6.51775,0.03425,0.71225,0.05875,0.83875,41,11,1,2,1,1,4,4,5,5,3,-1.155150934,-1.04513656,-1.155150934,-1.320172496,-1.320172496,1.485194058,-1.320172496,-1.320172496,2.420316243,3.960517489,2.145280307
47.2632444,-122.385731,Blair Waterway #2,4425866.25,10.796,0.03175,0.64725,0.052,0.8575,42,11,1,2,1,1,4,5,5,6,4,-1.527375784,2.504896286,-1.527375784,-1.710660878,-1.710660878,3.482416787,-1.710660878,-1.710660878,5.559647853,5.804027979,2.932561505
47.68234,-122.5064,Brackenwood Ln,1773623.75,7.573125,0.0345,0.693,0.0525,0.67125,23,10,4,1,2,2,3,3,3,4,2,-1.356885144,-1.238895131,-1.356885144,-1.533870162,-1.592865169,-1.592865169,-1.592865169,-1.592865169,-1.533870162,2.182815231,-1.41588015
47.78184,-122.83474,Broad Spit (Fisherman's Point),2286051.5,7.116,0.03425,0.71025,0.052,0.66375,30,12,3,5,1,1,1,1,1,1,2,-1.071669458,-1.004690117,-1.071669458,-1.205628141,-1.272607482,-1.272607482,-1.272607482,-1.272607482,-1.205628141,-1.071669458,-1.1386488
47.30515,-122.44441,Browns Point Lighthouse,8047751.75,2.3115,0.0365,0.6985,0.057,0.84875,54,11,1,2,1,1,3,4,4,4,3,-0.936108949,1.053122568,-0.936108949,-1.053122568,-1.111629377,-1.111629377,-1.111629377,-1.111629377,2.808326848,3.51040856,2.047738327
48.520971,-122.600717,Cap Sante,4611059.25,18.5045,0.033,0.68525,0.0485,0.79,64,7,2,4,4,4,1,3,4,3,1,-1.209620438,-1.082291971,-1.209620438,-1.336948905,-1.336948905,-1.400613139,-1.336948905,-1.336948905,2.100919708,2.801226277,1.273284672
47.1905742,-122.5834897,Chambers Bay Park,8752275,11.61675,0.03125,0.63375,0.047,1.05625,56,13,1,2,1,1,2,2,1,2,3,-0.707836457,0.707836457,-0.707836457,-0.825809199,-0.825809199,-0.825809199,-0.825809199,-0.825809199,-0.825809199,1.651618399,-0.766822828
48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips",3716200,3.864,0.0345,0.6565,0.0505,0.86875,75,7,2,4,4,4,3,3,3,4,2,-0.905502293,-0.784768654,-0.905502293,-1.026235932,-1.026235932,-1.026235932,-1.026235932,-1.026235932,-1.026235932,1.992105044,-0.905502293
48.04906,-122.7724,Chimacum Creek delta,2641298.75,1.903875,0.03225,0.63525,0.052,0.90375,8,9,3,5,3,3,2,2,2,1,1,-1.372631579,-1.24784689,-1.372631579,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.310239234,-1.372631579
48.68975,-122.50434,"Chuckanut, Clark's Point",2740842.75,11.211,0.03375,0.69025,0.055,0.7275,74,7,2,4,4,4,2,2,2,2,1,-1.147630923,-1.03286783,-1.147630923,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,3.098603491,1.319775561
47.29,-122.41,Comm Bay Skookum,5760190,9.0745,0.0325,0.66725,0.053,0.755,45,11,1,2,1,1,5,5,5,5,5,-1.450848905,1.648691938,-1.450848905,-1.582744261,-1.648691938,2.110325681,-1.648691938,2.703854778,4.550389749,9.892151628,8.573198078
47.292549,-122.412175,"Comm Bay, Dick Gilmur Launch",3676585,14.00875,0.03475,0.70825,0.05225,0.8325,48,11,1,2,1,1,5,4,5,5,5,-1.041698113,1.237016509,-1.041698113,-1.171910377,-1.171910377,2.083396226,-1.171910377,2.408926887,5.989764151,7.812735849,6.380400943
47.2694,-122.4243,"Comm Bay, Milwaukee Waterway",7394026.6,8.1685,0.0356,0.6736,0.0534,0.821,49,11,1,2,1,1,4,4,4,4,4,-1.076873315,-1.009568733,-1.144177898,-1.278787062,-1.278787062,-1.278787062,-1.278787062,-1.278787062,3.028706199,3.163315364,1.81722372
47.40301418,-122.3305538,Des Moines Marina,8935555.25,8.79275,0.03225,0.653,0.049,0.995,21,11,4,2,1,1,5,5,5,6,4,-1.102551819,1.102551819,-1.102551819,-1.286310456,-1.286310456,2.633873791,-1.286310456,2.756379549,10.41298941,4.28770152,-1.163804698
48.064957,-122.857524,Discovery Bay,3982486.25,9.3325,0.03375,0.68325,0.059,0.79375,12,6,3,5,3,3,2,2,2,3,1,-0.800202962,-0.706061437,-0.800202962,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,1.035556775,-0.800202962
47.33775,-122.59014,Donkey Creek Delta,2884111.333,2.500625,0.03475,0.71175,0.052,0.73375,44,11,1,2,1,1,4,4,4,5,5,-0.925695444,-0.793453237,-0.925695444,-1.05793765,-1.05793765,-1.05793765,-1.05793765,-1.05793765,-1.05793765,2.578723022,-0.925695444
47.61889,-122.5275,Eagle Harbor Dr,1846400.75,12.60975,0.04425,0.70175,0.058,0.8925,31,10,4,1,2,2,5,5,4,6,5,-1.306177724,-1.168685332,-1.306177724,-1.443670116,-1.443670116,-1.512416312,-1.443670116,-1.443670116,1.581162508,3.024832623,-1.306177724
48.69368,-122.90985,"Eastsound, Fishing Bay",3018580.5,7.731875,0.03225,0.68475,0.0495,0.465,60,7,2,4,4,4,4,4,4,5,1,-1.157248764,-1.047034596,-1.157248764,-1.322570016,-1.322570016,-1.3776771,-1.322570016,-1.322570016,-1.322570016,1.3776771,-1.212355848
47.81407,-122.3825,Edmonds Ferry,8264243.75,0.206375,0.0385,0.703,0.057,0.69,69,9,4,1,2,2,4,4,4,5,3,-1.052327103,-0.935401869,-1.052327103,-1.169252336,-1.227714953,-1.227714953,-1.227714953,-1.227714953,-1.169252336,2.280042056,-1.052327103
47.8111,-122.388,Edmonds Marina,20688193,13.85375,0.034,0.69675,0.0515,0.765,68,9,4,1,2,2,5,4,4,5,3,-0.81998892,-0.761418283,-0.81998892,-0.937130194,-0.937130194,-0.995700831,-0.937130194,-0.937130194,1.112842105,2.459966759,-0.878559557
47.074603,-123.003527,Eld Inlet,9802343.25,9.86125,0.034,0.7155,0.06225,0.7075,72,13,1,3,1,1,1,2,1,2,2,-1.072488263,-0.965239437,-1.072488263,-1.179737089,-1.233361502,-1.233361502,-1.233361502,-1.233361502,-1.179737089,1.447859155,-1.072488263
47.61862,-122.36108,Elliot Bay Myrtle Edwards,2435519.6,11.726,0.035,0.6948,0.0582,0.824,19,10,4,1,2,2,5,5,5,6,5,-1.20784217,1.274944513,-1.20784217,-1.409149199,-1.409149199,4.495856967,-1.409149199,-1.409149199,13.42046856,5.032675709,-1.274944513
47.58766,-122.35065,"Elliott Bay, Harbor Island, Pier 17",9192957.75,5.5,0.03425,0.65325,0.0465,0.85625,14,10,4,1,2,2,5,5,5,6,5,-1.198187809,1.255244371,-1.198187809,-1.369357496,-1.369357496,2.852828116,-1.369357496,-1.369357496,3.879846238,3.594563427,-1.198187809
47.9726,-122.22977,Everett Harbor,5813892.75,2.31775,0.0345,0.65825,0.04925,0.77625,66,8.2,4,1,2,2,3,3,3,4,3,-1.2649094,-1.131761042,-1.2649094,-1.464631937,-1.464631937,-1.464631937,-1.464631937,-1.464631937,-1.464631937,1.86407701,-1.331483579
48.482448,-122.583879,"Fidalgo Bay Aq Reserve, Weaverling Spit",3204999,11.87725,0.03725,0.712,0.05525,0.7625,63,7,2,4,4,4,3,4,5,5,1,-1.78070327,-1.589913634,-1.78070327,-2.035089451,-2.035089451,2.416668723,-2.035089451,-2.035089451,5.787285626,3.815792721,-1.78070327
47.19483,-122.748665,Filucy Bay,10877772,5.009,0.037,0.6525,0.04575,0.85625,59,13,1,3,1,1,1,1,1,1,4,-0.948947928,-0.889638682,-0.948947928,-1.126875664,-1.126875664,-1.126875664,-1.126875664,-1.126875664,-1.126875664,1.601349628,-1.008257173
48.5069444,-123.0194444,Friday Harbor,5444136.6,6.7096,0.0328,0.6726,0.0458,0.75,61,7,2,4,4,4,5,4,3,5,1,-1.190727056,-1.065387366,-1.190727056,-1.378736591,-1.378736591,-1.378736591,-1.378736591,-1.378736591,-1.378736591,1.316066746,-1.253396901
47.33785,-122.58277,Gig Harbor Boat Launch,3843185.75,14.972,0.03025,0.62675,0.05225,0.965,58,11,1,2,1,1,4,4,3,5,4,-1.108182752,-0.985051335,-1.108182752,-1.231314168,-1.231314168,-1.231314168,-1.231314168,-1.231314168,-1.231314168,2.093234086,-1.108182752
47.5706,-122.9717,Hood Canal Holly,788015,1.640416667,0.034333333,0.689833333,0.054833333,0.676666667,29,12,3,3,1,1,1,1,2,1,1,-1.365898618,-1.229308756,-1.365898618,-1.57078341,-1.57078341,-1.57078341,-1.57078341,-1.57078341,-1.57078341,-1.297603687,-1.365898618
48.024789,-122.998135,Jamestown,3175079,7.752666667,0.033833333,0.7035,0.054833333,0.573333333,2,6,3,5,3,3,1,1,1,1,2,-1.193191046,-1.060614263,-1.193191046,-1.392056221,-1.392056221,-1.392056221,-1.392056221,-1.392056221,-1.392056221,-1.126902655,-1.193191046
47.794695,-122.499858,Kingston Marina,5460804.75,4.371,0.03125,0.63675,0.04825,0.81125,36,10,4,1,2,2,3,2,2,3,3,-1.105044386,-0.975039164,-1.105044386,-1.235049608,-1.235049608,-1.235049608,-1.235049608,-1.235049608,-1.235049608,1.885075718,-1.105044386
47.54167,-122.64034,Kitsap St Boat Launch,2852984.25,10.748,0.033,0.71075,0.05175,0.8325,25,10,4,1,2,2,4,4,5,5,5,-1.011570912,-0.910413821,-1.011570912,-1.163306549,-1.163306549,1.466777822,-1.163306549,-1.163306549,2.377191643,2.98413419,-1.062149458
47.30973,-122.68868,Kopachuck State Park,7013734.75,4.72575,0.4115,0.6895,0.63125,0.7775,52,13,1,3,1,1,1,1,1,1,2,-0.944632984,-0.809685415,-0.944632984,-1.079580553,-1.079580553,-1.079580553,-1.079580553,-1.079580553,-1.079580553,1.48442326,-0.944632984
47.5833538,-122.6414587,Lions Park,6373166.5,10.424,0.0275,0.678,0.05375,0.75,37,10,4,1,2,2,2,2,2,3,5,-1.382147402,-1.184697773,-1.382147402,-1.513780488,-1.513780488,-1.579597031,-1.513780488,-1.513780488,-1.513780488,3.027560976,-1.382147402
48.77636877,-122.5378679,Locust Beach,2368800.25,6.15025,0.03275,0.731,0.047,0.6875,76,7,2,4,4,4,1,1,2,1,1,-1.28004374,1.408048114,-1.28004374,-1.408048114,-1.408048114,-1.472050301,-1.408048114,-1.408048114,-1.408048114,2.816096227,1.536052488
