latitude,longitude,site_name,site_number,reporting_area,a3,a64,a65,a66,a70,a72,a73,a74,a76,a77,a78
48.6793778,-122.6300583,Aiston Preserve,77,7,-0.974030501,-0.852276688,-0.974030501,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,1.82630719,-0.974030501
47.50161,-122.38593,Arroyo Beach,13,11,-1.200665779,-1.080599201,-1.200665779,-1.380765646,-1.380765646,-1.380765646,-1.380765646,-1.380765646,-1.380765646,2.401331558,-1.200665779
47.27568,-122.4173,Blair Waterway,41,11,-1.155150934,-1.04513656,-1.155150934,-1.320172496,-1.320172496,1.485194058,-1.320172496,-1.320172496,2.420316243,3.960517489,2.145280307
47.2632444,-122.385731,Blair Waterway #2,42,11,-1.527375784,2.504896286,-1.527375784,-1.710660878,-1.710660878,3.482416787,-1.710660878,-1.710660878,5.559647853,5.804027979,2.932561505
47.68234,-122.5064,Brackenwood Ln,23,10,-1.356885144,-1.238895131,-1.356885144,-1.533870162,-1.592865169,-1.592865169,-1.592865169,-1.592865169,-1.533870162,2.182815231,-1.41588015
47.78184,-122.83474,Broad Spit (Fisherman's Point),30,12,-1.071669458,-1.004690117,-1.071669458,-1.205628141,-1.272607482,-1.272607482,-1.272607482,-1.272607482,-1.205628141,-1.071669458,-1.1386488
47.30515,-122.44441,Browns Point Lighthouse,54,11,-0.936108949,1.053122568,-0.936108949,-1.053122568,-1.111629377,-1.111629377,-1.111629377,-1.111629377,2.808326848,3.51040856,2.047738327
48.520971,-122.600717,Cap Sante,64,7,-1.209620438,-1.082291971,-1.209620438,-1.336948905,-1.336948905,-1.400613139,-1.336948905,-1.336948905,2.100919708,2.801226277,1.273284672
47.1905742,-122.5834897,Chambers Bay Park,56,13,-0.707836457,0.707836457,-0.707836457,-0.825809199,-0.825809199,-0.825809199,-0.825809199,-0.825809199,-0.825809199,1.651618399,-0.766822828
48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips",75,7,-0.905502293,-0.784768654,-0.905502293,-1.026235932,-1.026235932,-1.026235932,-1.026235932,-1.026235932,-1.026235932,1.992105044,-0.905502293
