"site_name","reporting_area","geo_group","pcb_group","latitude","longitude","lat_range","long_range","PAHgroup8","p450","sod","condition_factor","avg_thickness"
"Aiston Preserve",7,3,1,48.6793778,-122.6300583,"48.02 - 48.82",-0.48,1,3752617.75,3.440125,0.161325,0.81125
"Arroyo Beach",11,2,2,47.50161,-122.38593,"47.5 - 47.97",-0.6,5,4480859.83333333,8.83258333333333,0.175716666666667,0.87
"Blair Waterway",11,1,2,47.27568,-122.4173,"47.19 - 47.45",-0.31,7,4879642.5,6.51775,0.1905,0.83875
"Blair Waterway #2",11,1,2,47.2632444,-122.385731,"47.19 - 47.45",-0.31,7,3714917.5,10.796,0.146175,0.8575
"Brackenwood Ln",10,2,1,47.68234,-122.5064,"47.5 - 47.97",-0.6,5,1857011.75,9.835125,0.195275,0.67125
"Broad Spit (Fisherman's Point)",12,2,1,47.78184,-122.83474,"47.5 - 47.97",-0.6,7,2311730.75,7.11625,0.173625,0.66375
"Browns Point Lighthouse",11,1,2,47.30515,-122.44441,"47.19 - 47.45",-0.31,6,7401612.25,1.378875,0.1903,0.84875
"Cap Sante",7,3,1,48.520971,-122.600717,"48.02 - 48.82",-0.48,5,3728576,41.12025,0.141325,0.79
"Chambers Bay Park",13,1,2,47.1905742,-122.5834897,"47.19 - 47.45",-0.31,3,4529779.66666667,12.9163333333333,0.139666666666667,0.988333333333333
"Cherry Point Aquatic Reserve, Conoco Phillips",7,3,1,48.8208,-122.7101,"48.02 - 48.82",-0.48,4,3716208.75,4.46775,0.1539,0.86875
"Chimacum Creek delta",9,3,1,48.04906,-122.7724,"48.02 - 48.82",-0.48,2,2641573.75,2.193375,0.166225,0.90375
"Chuckanut, Clark's Point",7,3,1,48.68975,-122.50434,"48.02 - 48.82",-0.48,3,3006723.75,12.7025,0.176225,0.7275
"Comm Bay Skookum",11,1,4,47.29,-122.41,"47.19 - 47.45",-0.31,7,5408217.25,8.9185,0.1536,0.755
"Comm Bay, Dick Gilmur Launch",11,1,4,47.292549,-122.412175,"47.19 - 47.45",-0.31,7,3812405.5,41.29775,0.18665,0.8325
"Comm Bay, Milwaukee Waterway",11,1,3,47.2694,-122.4243,"47.19 - 47.45",-0.31,6,7608741.8,6.3977,0.1606,0.821
"Des Moines Marina",11,1,2,47.40301418,-122.3305538,"47.19 - 47.45",-0.31,8,4886367.5,9.63975,0.160925,0.995
"Discovery Bay",6,5,1,48.064957,-122.857524,"48.02 - 48.69",-0.6,3,4029897.5,8.739125,0.193375,0.79375
"Donkey Creek Delta",11,1,4,47.33775,-122.59014,"47.19 - 47.45",-0.31,6,3185175,2.500625,0.180325,0.73375
"Eagle Harbor Dr",10,2,4,47.61889,-122.5275,"47.5 - 47.97",-0.6,7,1846200.75,25.1675,0.1738,0.8925
"Eastsound, Fishing Bay",7,5,1,48.69368,-122.90985,"48.02 - 48.69",-0.6,6,2334953,15.9473333333333,0.144066666666667,0.501666666666667
"Edmonds Ferry",9,2,2,47.81407,-122.3825,"47.5 - 47.97",-0.6,5,4710936.75,0.206375,0.1806,0.69
"Edmonds Marina",9,2,2,47.8111,-122.388,"47.5 - 47.97",-0.6,7,16253739,16.62475,0.162375,0.765
