"latitude","longitude","site_name","qualifier","units","X","site","flagged","mercury","arsenic","cadmium","copper","lead","zinc"
48.6793778,-122.6300583,"Aiston Preserve","D","mg/Kg",NA,"Aiston Preserve",FALSE,0.00552,1.21,0.276,0.825,0.0296,12.9
47.50159,-122.38577,"Arroyo Beach","D","mg/Kg",NA,"Arroyo Beach",FALSE,0.00612,1.64,0.332,0.956,0.0412,17.7
47.2758,-122.4174,"Blair Waterway","D","mg/Kg",NA,"Blair Waterway",FALSE,0.00561,1.42,0.284,1.02,0.0447,17.3
47.2632,-122.3856,"Blair Waterway #2","D","mg/Kg",NA,"Blair Waterway Two",FALSE,NA,1.39,0.283,1.35,0.0307,14.2
47.68203,-122.50668,"Brackenwood Ln","D","mg/Kg",NA,"Brackenwood Ln",FALSE,0.00633,1.47,0.314,1.05,0.0372,15.3
47.80934,-122.81556,"Broad Spit","D","mg/Kg",NA,"Broad Spit",FALSE,NA,1.18,0.315,0.774,0.0107,10.4
47.304906,-122.44427,"Browns Point Lighthouse","D","mg/Kg",NA,"Browns Point Lighthouse",FALSE,0.0058,1.49,0.301,1.22,0.0459,15.9
48.52093,-122.600725,"Cap Sante","D","mg/Kg",NA,"Cap Sante",FALSE,0.00486,1.27,0.312,0.869,0.0295,13.3
47.2009,-122.58342,"Chambers Bay Park","D","mg/Kg",NA,"Chambers Bay Park",FALSE,0.00503,1.39,0.308,0.924,0.0394,14.4
48.820783,-122.710133,"Cherry Point Aquatic Reserve, Conoco Phillips","D","mg/Kg",NA,"Cherry Point Aquatic Reserve, Conoco Phillips",FALSE,0.00575,1.38,0.331,0.923,0.0335,12.8
48.04887,-122.7711,"Chimacum Creek delta","D","mg/Kg",NA,"Chimacum Creek delta",FALSE,0.00555,1.42,0.312,5.18,0.0496,16.1
48.691084,-122.504012,"Chuckanut, Clark's Point","D","mg/Kg",NA,"Chuckanut, Clark's Point",FALSE,0.00636,1.36,0.29,1.79,0.0431,15.8
47.28915,-122.4096,"Comm Bay Skookum","D","mg/Kg",NA,"Commencement Bay Skookum",FALSE,0.00523,1.3,0.304,1.03,0.0451,14.2
47.2925,-122.4122,"Comm Bay, Dick Gilmur Launch","D","mg/Kg",NA,"Commencement Bay, Dick Gilmur Launch",FALSE,0.00545,1.22,0.267,0.975,0.0451,12.6
47.2694,-122.4243,"Comm Bay, Milwaukee Waterway","D","mg/Kg",NA,"Commencement Bay, Milwaukee Waterway",FALSE,0.00554,1.27,0.264,1.66,0.0389,12.3
47.402778,-122.331667,"Des Moines Marina","D","mg/Kg",NA,"Des Moines Marina",FALSE,0.0067,1.4,0.323,1.06,0.0457,15.4
48.064974,-122.857218,"Discovery Bay","D","mg/Kg",NA,"Discovery Bay",FALSE,0.00596,1.56,0.353,1.03,0.0384,16.9
47.337909,-122.59023,"Donkey Creek Delta","D","mg/Kg",NA,"Donkey Creek Delta",FALSE,0.00502,1.48,0.321,1.22,0.147,15.4
47.618875,-122.527234,"Eagle Harbor Dr","D","mg/Kg",NA,"Eagle Harbor Dr",FALSE,0.00754,1.4,0.317,1.39,0.103,13
48.69395,-122.909933,"Eastsound, Fishing Bay","D","mg/Kg",NA,"Eastsound, Fishing Bay",FALSE,0.00555,1.67,0.32,1.11,0.0382,16.8
