,site_name,DryValue,log_concentration,category_6,category_7,category_8,quantile_category,phmw
1,Aiston Preserve,19.48061002,3.019478586,1,1,1,1,1
2,Arroyo Beach,186.1031957,5.231660313,3,4,4,4,4
3,Blair Waterway,280.5366555,5.640262654,4,4,5,5,5
4,Blair Waterway #2,403.2272069,6.001977113,4,5,5,6,6
5,Brackenwood Ln,176.9850187,5.181699382,3,4,4,4,4
6,Broad Spit,18.75421552,2.983366913,1,1,1,1,1
7,Browns Point Lighthouse,181.3711089,5.206043671,3,4,4,4,4
8,Cap Sante,120.9620438,4.80370988,3,3,3,3,3
9,Chambers Bay Park,76.68228279,4.352627211,2,2,2,2,2
10,"Cherry Point Aquatic Reserve, Conoco Phillips",150.9170488,5.02333464,3,3,3,3,4
11,Chimacum Creek delta,56.77703349,4.056591352,2,2,2,1,1
12,"Chuckanut, Clark's Point",74.59600998,4.325403504,2,2,2,2,2
13,Comm Bay Skookum,369.3069941,5.914332375,4,5,5,5,5
14,"Comm Bay, Dick Gilmur Launch",338.5518868,5.827626768,4,5,5,5,5
15,"Comm Bay, Milwaukee Waterway",215.3746631,5.377011456,3,4,4,4,4
16,Des Moines Marina,8575.40304,9.056769878,6,7,8,6,6
17,Discovery Bay,98.84860121,4.603655051,2,3,3,2,3
18,Donkey Creek Delta,284.3207434,5.653613963,4,4,5,5,5
19,Eagle Harbor Dr,653.0888618,6.483243217,4,5,6,6,6
20,"Eastsound, Fishing Bay",270.0247117,5.602210004,4,4,5,5,5
21,Edmonds Ferry,268.9280374,5.598155395,4,4,5,5,5
22,Edmonds Marina,374.8520776,5.929195655,4,5,5,6,5
23,Eld Inlet,75.0741784,4.331708896,2,2,2,2,2
24,Elliot Bay Myrtle Edwards,9394.32799,9.147967822,6,7,8,6,6
25,"Elliott Bay, Harbor Island, Pier 17",2054.036244,7.628048764,5,6,7,6,6
26,Everett Harbor,166.4354473,5.120597888,3,3,4,4,4
27,"Fidalgo Bay Aq Reserve, Weaverling Spit",254.3861814,5.542776836,4,4,5,5,5
28,Filucy Bay,59.30924548,4.099485417,2,2,2,2,1
29,Friday Harbor,319.6162098,5.7702448,4,5,5,5,5
30,Gig Harbor Boat Launch,246.2628337,5.510451875,4,4,5,5,5
31,Hood Canal Holly,11.61013825,2.534501113,1,1,1,1,1
32,Jamestown,15.24633004,2.78786704,1,1,1,1,1
33,Kingston Marina,123.5049608,4.824345561,3,3,3,3,3
34,Kitsap St Boat Launch,354.0498192,5.872258115,4,5,5,5,5
35,Kopachuck State Park,53.97902765,4.006951797,2,2,2,1,1
36,Lions Park,131.6330859,4.887586563,3,3,3,3,3
37,Locust Beach,27.5209404,3.350638568,1,1,1,1,1
38,Madrona Pont,120.5300714,4.800161733,3,3,3,3,3
39,"Manchester, Stormwater Outfall",171.0284061,5.147659615,3,3,4,4,4
40,Maple Hollow Park,64.77777778,4.186282058,2,2,2,2,2
41,Maristone Island,23.98878295,3.218427042,1,1,1,1,1
42,Meyer's Point - Henderson Inlet,52.7863806,3.985020286,2,2,2,1,1
43,Miller Creek,120.7395609,4.801884016,3,3,3,3,3
44,Minter Bay,65.79081633,4.201565591,2,2,2,2,2
45,Mukilteo,194.2048379,5.274049458,3,4,4,4,4
46,N Avenue Park,1085.359801,6.990587754,5,6,7,6,6
47,North Camano,54.59221411,4.018043157,2,2,2,1,1
48,Oak Bay County Park,33.98504057,3.554920558,1,1,1,1,1
49,Penn Cove Reference,46.81626856,3.867365928,2,2,2,1,1
50,Pennrose Point State Park,85.8165362,4.463797113,2,2,2,2,2
51,Point Defiance Ferry,335.831589,5.81958307,4,5,5,5,5
52,Port Angeles Yacht Club,1202.061856,7.092625133,5,6,7,6,6
53,Purdy - Dexters,57.36799018,4.066767626,2,2,2,1,1
54,"Purdy, Burley Lagoon",86.16853385,4.467843415,2,2,2,2,2
55,Raft Island Park,61.91372549,4.141764351,2,2,2,2,2
56,Reach Island,81.73360656,4.415625887,2,2,2,2,2
57,Rich Passage,142.7194719,4.967863288,3,3,3,3,3
58,Rocky Point,133.9498778,4.904903434,3,3,3,3,3
59,S of Skunk Island,132.1275698,4.89130784,3,3,3,3,3
60,"Salmon Bay, Commodore Park",535.7647059,6.285559834,4,5,6,6,6
61,Salmon Beach,226.2359768,5.425989023,3,4,4,5,5
62,"Seattle Aquarium, Pier 59",2203.307087,7.698168492,5,6,7,6,6
63,Shilshole Bay,1277.913562,7.153766217,5,6,7,6,6
64,"Silverdale, Dyes Inlet",150.7895928,5.022495304,3,3,3,3,4
65,Skiff Point,213.1009901,5.36644782,3,4,4,4,4
66,"Smith Cove, Terminal 91",4682.144985,8.451725169,6,7,8,6,6
67,Squaxin Island,77.68314607,4.365428978,2,2,2,2,2
68,Suquamish Stormwater Outfall,193.3237327,5.269525494,3,4,4,4,4
69,Thea Foss Waterway,545.2067594,6.302997584,4,5,6,6,6
70,Three Tree Point,141.387674,4.958553436,3,3,3,3,3
71,Tulalip Bay,168.7124706,5.134105656,3,3,4,4,4
72,Tulalip Reservation,117.9025424,4.778304186,3,3,3,3,3
73,West Bay Park,202.4581855,5.315460507,3,4,4,4,4
74,Williams Olson Park,156.6515892,5.060387466,3,3,4,4,4
