metric,site_name,reporting_area,Ii,Z.Ii,p,p_fdr_metric,sig_p05,sig_fdr05,cluster
chlordane_index,Blair Waterway Two,11,-0.7297805,-5.1933936,2.06E-07,1.53E-05,TRUE,TRUE,Low-High
pcb_index,"Elliott Bay, Harbor Island, Pier 17",10,4.00686819,5.07977605,3.78E-07,2.63E-05,TRUE,TRUE,High-High
pcb_index,"Salmon Bay, Commodore Park",10,1.5190573,4.95845874,7.11E-07,2.63E-05,TRUE,TRUE,High-High
pcb_index,Shilshole Bay,10,2.38232563,4.81143247,1.50E-06,3.70E-05,TRUE,TRUE,High-High
chlordane_index,Browns Point Lighthouse,11,1.81385784,4.71265836,2.45E-06,9.05E-05,TRUE,TRUE,High-High
hch_index,Elliot Bay Myrtle Edwards,10,-0.5167693,-4.6131671,3.97E-06,0.00014673,TRUE,TRUE,Low-High
hch_index,Shilshole Bay,10,-0.5167693,-4.6131671,3.97E-06,0.00014673,TRUE,TRUE,Low-High
pcb_index,"Seattle Aquarium, Pier 59",10,3.43028394,4.56981,4.88E-06,9.03E-05,TRUE,TRUE,High-High
pah_hmw_index,"Salmon Bay, Commodore Park",10,0.19904549,4.49581823,6.93E-06,0.00039021,TRUE,TRUE,High-High
chlordane_index,Thea Foss Waterway,11,3.26269969,4.45939411,8.22E-06,0.00015882,TRUE,TRUE,High-High
pcb_index,Elliot Bay Myrtle Edwards,10,4.85661384,4.45139088,8.53E-06,0.00011872,TRUE,TRUE,High-High
chlordane_index,"Commencement Bay, Dick Gilmur Launch",11,3.45095626,4.42801312,9.51E-06,0.00015882,TRUE,TRUE,High-High
pcb_index,"Smith Cove, Terminal 91",10,5.15434967,4.42540437,9.63E-06,0.00011872,TRUE,TRUE,High-High
chlordane_index,Blair Waterway,11,3.67280995,4.39171051,1.12E-05,0.00015882,TRUE,TRUE,High-High
chlordane_index,Commencement Bay Skookum,11,3.85744052,4.36218174,1.29E-05,0.00015882,TRUE,TRUE,High-High
pah_hmw_index,Arroyo Beach,11,-0.4201488,-4.3310684,1.48E-05,0.00039021,TRUE,TRUE,Low-High
pah_hmw_index,Shilshole Bay,10,1.03981837,4.31696138,1.58E-05,0.00039021,TRUE,TRUE,High-High
hch_index,"Elliott Bay, Harbor Island, Pier 17",10,1.01737179,4.28221871,1.85E-05,0.00045643,TRUE,TRUE,High-High
