site_name,latitude,longitude,PCB101,PCB105,PCB011,PCB110,PCB118,PCB128,PCB138,PCB149,PCB151,PCB153,PCB156,PCB158,PCB017,PCB170,PCB171,PCB177,PCB018,PCB180,PCB183,PCB187,PCB191,PCB194,PCB195,PCB198,PCB199,PCB205,PCB206,PCB208,PCB209,PCB028,PCB031,PCB033,PCB044,PCB049,PCB052,PCB066,PCB070,PCB074,PCB082,PCB087,PCB095,PCB099
Penn Cove Baseline,48.218047,-122.712359,0.23,0.22,0,0,0,0,0,0.205,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.15,0,0.2,0.15,0.21,0,0,0.15,0.145,0.13
Aiston Preserve,48.6793778,-122.6300583,0.28,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0.23,0,0,0,0,0,0,0,0,0,0
Arroyo Beach,47.50159,-122.38577,0.51,0.29,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.28,0,0,0,0.26,0,0.25,0,0,0,0.28,0.26
Blair Waterway,47.2758,-122.4174,0.53,0.3,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0.37,0.25,0.25,0,0.35,0,0.32,0,0,0,0.33,0.28
Blair Waterway Two,47.2632,-122.3856,0.6,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0.39,0.28,0,0,0,0,0.36,0.33
Brackenwood Ln,47.68203,-122.50668,0.47,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.34,0,0,0,0.27,0,0,0,0,0,0.28,0
Broad Spit,47.80934,-122.81556,0.26,0.22,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.21,0,0,0,0,0
Browns Point Lighthouse,47.304906,-122.44427,0.57,0.3,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0.3,0,0,0.21,0,0,0,0,0,0,0,0,0,0.3,0.37,0.25,0.2,0,0.32,0.21,0.28,0,0,0,0.3,0.3
Cap Sante,48.52093,-122.600725,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0.21,0,0,0,0,0,0,0,0,0,0
Chambers Bay Park,47.2009,-122.58342,0.45,0.25,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0.22,0,0,0.18,0,0,0,0,0,0,0,0,0,0.27,0.3,0.21,0.15,0,0.24,0.16,0.24,0,0,0.17,0.25,0.24
"Cherry Point Aquatic Reserve, Conoco Phillips",48.820783,-122.710133,0.32,0.23,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.38,0.24,0.2,0,0.28,0.2,0.29,0,0,0,0.19,0
Chimacum Creek delta,48.04887,-122.7711,0.32,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.32,0.26,0,0,0,0,0,0,0,0,0,0
"Chuckanut, Clark's Point",48.691084,-122.504012,0.3,0.26,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.33,0.25,0,0,0,0,0,0,0,0,0,0
Commencement Bay Skookum,47.28915,-122.4096,0.83,0.41,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0.36,0.26,0,0.34,0,0,0,0,0,0,0,0,0,0.42,0.45,0.25,0.37,0.25,0.53,0.38,0.55,0,0,0.29,0.51,0.42
"Commencement Bay, Dick Gilmur Launch",47.2925,-122.4122,0.82,0.35,0,0.71,0.73,0,1,0.56,0,0.93,0,0,0.22,0,0,0,0.6,0.19,0,0.3,0,0,0,0,0,0,0,0,0,0.47,0.53,0.36,0.33,0.21,0.48,0.39,0,0.22,0,0.28,0.44,0.38
"Commencement Bay, Milwaukee Waterway",47.2694,-122.4243,0.47,0.29,0,0.48,0.53,0,0.66,0.35,0,0.6,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0.51,0.31,0.23,0,0.35,0.23,0,0,0,0,0.28,0.26
Des Moines Marina,47.402778,-122.331667,0.54,0.31,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.37,0.25,0,0,0.29,0.22,0.29,0,0,0.21,0.3,0.3
Discovery Bay,48.064974,-122.857218,0.24,0,0,0.27,0,0,0,0.19,0,0.38,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.25,0,0,0,0,0,0,0,0,0,0,0
