"Group1","Group2","Z","P.unadj","P.adj","Significant"
"Miller Creek","Silverdale, Dyes Inlet",3.83296645570732,1e-04,0.0878,"No"
"Hood Canal Holly","Miller Creek",-3.88968994702675,1e-04,0.0928,"No"
"Elliott Bay, Harbor Island, Pier 17","Silverdale, Dyes Inlet",3.69971404313672,2e-04,0.0998,"No"
"Elliott Bay, Harbor Island, Pier 17","Hood Canal Holly",3.74371924261295,2e-04,0.1006,"No"
"Brackenwood Lane","Filucy Bay",-3.62133027103636,3e-04,0.1017,"No"
"Eagle Harbor Dr","Filucy Bay",-3.53510812172597,4e-04,0.1028,"No"
"Brackenwood Lane","Miller Creek",-3.54686568754103,4e-04,0.1082,"No"
"Broad Spit","Filucy Bay",-3.62241614601607,3e-04,0.1157,"No"
"Eagle Harbor Dr","Elliott Bay, Harbor Island, Pier 17",-3.32739112566004,9e-04,0.1158,"No"
"Broad Spit","Miller Creek",-3.55347533789489,4e-04,0.1172,"No"
"Filucy Bay","Point Defiance Ferry",3.3626638231052,8e-04,0.119,"No"
"Filucy Bay","Salmon Beach",3.37442138892025,7e-04,0.1207,"No"
"Minter Bay","Silverdale, Dyes Inlet",3.39009814334032,7e-04,0.1212,"No"
"Mukilteo","Silverdale, Dyes Inlet",3.32739112566004,9e-04,0.1216,"No"
"Miller Creek","Point Defiance Ferry",3.28819923960986,0.001,0.1217,"No"
"Miller Creek","Salmon Beach",3.29995680542491,0.001,0.122,"No"
"Hood Canal Holly","Minter Bay",-3.40455201765145,7e-04,0.1226,"No"
"Hood Canal Holly","Mukilteo",-3.33585992145672,9e-04,0.1242,"No"
"Eagle Harbor Dr","Miller Creek",-3.46064353823064,5e-04,0.1246,"No"
"Brackenwood Lane","Elliott Bay, Harbor Island, Pier 17",-3.41361327497043,6e-04,0.1271,"No"
"Broad Spit","Elliott Bay, Harbor Island, Pier 17",-3.43010757599385,6e-04,0.1288,"No"
"Filucy Bay","Silverdale, Dyes Inlet",3.90743103920266,1e-04,0.1294,"No"
"Elliott Bay, Harbor Island, Pier 17","Meyer's Point, Henderson Inlet",3.00209847144357,0.0027,0.1305,"No"
"Elliot Bay Myrtle Edwards","Elliott Bay, Harbor Island, Pier 17",-3.01080946740228,0.0026,0.1315,"No"
"Hood Canal Holly","Penrose Point State Park",-3.03962525661693,0.0024,0.1315,"No"
"Silverdale, Dyes Inlet","West Bay Park",-3.03345198028371,0.0024,0.1316,"No"
"Hood Canal Holly","North Camano",-3.02674548858042,0.0025,0.1319,"No"
"Edmonds Ferry","Silverdale, Dyes Inlet",3.0765630549389,0.0021,0.1321,"No"
"Hood Canal Holly","West Bay Park",-3.01386572054391,0.0026,0.1326,"No"
"Browns Point Lighthouse","Silverdale, Dyes Inlet",3.00209847144357,0.0027,0.1329,"No"
"Eagle Harbor Dr","Minter Bay",-3.01777522586364,0.0025,0.1333,"No"
"Madrona Pont","Silverdale, Dyes Inlet",2.99034090562851,0.0028,0.1333,"No"
"Brackenwood Lane","Mukilteo",-3.04129035749374,0.0024,0.1334,"No"
"Miller Creek","Oak Bay County Park",3.08048224354392,0.0021,0.1334,"No"
"Locust Beach","Miller Creek",-3.0530479233088,0.0023,0.1337,"No"
"Miller Creek","Penn Cove Reference",3.10007818656901,0.0019,0.1342,"No"
"Broad Spit","Mukilteo",-3.08540353538798,0.002,0.1343,"No"
"North Camano","Silverdale, Dyes Inlet",3.04520954609876,0.0023,0.1344,"No"
"Hood Canal Holly","Madrona Pont",-2.96663990441003,0.003,0.1348,"No"
"Penrose Point State Park","Silverdale, Dyes Inlet",3.05696711191381,0.0022,0.1349,"No"
"Browns Point Lighthouse","Hood Canal Holly",2.97951967244654,0.0029,0.1358,"No"
"Filucy Bay","Locust Beach",3.12751250680413,0.0018,0.1359,"No"
"Edmonds Ferry","Hood Canal Holly",3.06109153667779,0.0022,0.136,"No"
"Des Moines Marina","Hood Canal Holly",3.08685107275081,0.002,0.1369,"No"
"Elliott Bay, Harbor Island, Pier 17","Penn Cove Reference",2.96682577399841,0.003,0.1369,"No"
"Hood Canal Holly","Three Tree Point",-3.11690386483601,0.0018,0.1371,"No"
"Hood Canal Holly","N Avenue Park",-2.940880368337,0.0033,0.1376,"No"
"Eagle Harbor Dr","Mukilteo",-2.95506820818335,0.0031,0.1377,"No"
"Des Moines Marina","Silverdale, Dyes Inlet",3.10007818656901,0.0019,0.1377,"No"
"Kopachuck State Park","Silverdale, Dyes Inlet",2.9433106423683,0.0032,0.1386,"No"
"Elliott Bay, Harbor Island, Pier 17","Oak Bay County Park",2.94722983097332,0.0032,0.139,"No"
"N Avenue Park","Silverdale, Dyes Inlet",2.96682577399841,0.003,0.1392,"No"
"Brackenwood Lane","Minter Bay",-3.10399737517403,0.0019,0.1394,"No"
"Silverdale, Dyes Inlet","Three Tree Point",-3.12751250680413,0.0018,0.1398,"No"
"Meyer's Point, Henderson Inlet","Miller Creek",-3.13535088401417,0.0017,0.1401,"No"
"Broad Spit","Minter Bay",-3.14345895275318,0.0017,0.1404,"No"
"Elliot Bay Myrtle Edwards","Miller Creek",-3.15126984321413,0.0016,0.141,"No"
"Broad Spit","Commencement Bay, Milwaukee Waterway",-2.90727531096718,0.0036,0.1425,"No"
"Elliot Bay Myrtle Edwards","Filucy Bay",-3.22976240616781,0.0012,0.1433,"No"
"Filucy Bay","Oak Bay County Park",3.15494682703926,0.0016,0.1437,"No"
"Broad Spit","Three Tree Point",-2.9003518925364,0.0037,0.1437,"No"
"Broad Spit","Des Moines Marina",-2.87495264743913,0.004,0.1438,"No"
"Commencement Bay Skookum","Silverdale, Dyes Inlet",2.90803794492314,0.0036,0.1442,"No"
"Chimacum Creek delta","Filucy Bay",-2.91195713352816,0.0036,0.1444,"No"
"Broad Spit","Penrose Point State Park",-2.83503954800056,0.0046,0.1445,"No"
"Broad Spit","Edmonds Ferry",-2.85318186592718,0.0043,0.1447,"No"
"Minter Bay","Salmon Beach",2.85708849305791,0.0043,0.1447,"No"
"Commencement Bay Skookum","Hood Canal Holly",2.87648152815444,0.004,0.1449,"No"
"Chimacum Creek delta","Miller Creek",-2.83749255003282,0.0045,0.145,"No"
"Hood Canal Holly","Kopachuck State Park",-2.91512083226398,0.0036,0.1451,"No"
"Elliott Bay, Harbor Island, Pier 17","Locust Beach",2.91979551073819,0.0035,0.1451,"No"
"Filucy Bay","Kitsap St Boat Launch",2.89236119050307,0.0038,0.1453,"No"
"Brackenwood Lane","Edmonds Ferry",-2.79046228677261,0.0053,0.1461,"No"
"Brackenwood Lane","West Bay Park",-2.74735121211741,0.006,0.1462,"No"
"Broad Spit","West Bay Park",-2.81326876648861,0.0049,0.1463,"No"
"Brackenwood Lane","Penrose Point State Park",-2.77086634374752,0.0056,0.1464,"No"
"Chuckanut, Clark's Point","Filucy Bay",-2.86492687026795,0.0042,0.1465,"No"
"Manchester, Stormwater Outfall","Silverdale, Dyes Inlet",2.85708849305791,0.0043,0.1465,"No"
"Minter Bay","Point Defiance Ferry",2.84533092724286,0.0044,0.1466,"No"
"Brackenwood Lane","Three Tree Point",-2.84141173863784,0.0045,0.1466,"No"
