latitude,longitude,reporting_area,site_name,avg_p450,avg_sod,avg_at,avg_cf,arsenic,cadmium,copper,lead,mercury,zinc
48.6793778,-122.6300583,7,Aiston Preserve,4712860.314,3.381684647,0.81125,0.161325,7.245508982,1.652694611,4.94011976,0.177245509,0.033053892,77.24550898
47.50161,-122.38593,11,Arroyo Beach,4750942.745,8.197321878,0.87,0.175716667,9.647058824,1.952941176,5.623529412,0.242352941,0.036,104.1176471
47.27568,-122.4173,11,Blair Waterway,4337758.739,6.517562309,0.83875,0.1905,8.114285714,1.622857143,5.828571429,0.255428571,0.032057143,98.85714286
47.2632444,-122.385731,11,Blair Waterway #2,4425866.372,10.79622215,0.8575,0.146175,8.373493976,1.704819277,8.13253012,0.184939759,-0.0236,85.54216867
47.68234,-122.5064,10,Brackenwood Ln,1773623.904,7.194038853,0.67125,0.195275,8.698224852,1.857988166,6.213017751,0.220118343,0.037455621,90.53254438
47.78184,-122.83474,12,Broad Spit,2286051.526,7.116003488,0.66375,0.173625,7.712418301,2.058823529,5.058823529,0.069934641,-0.0257,67.97385621
47.30515,-122.44441,11,Browns Point Lighthouse,8047751.654,2.311767254,0.84875,0.1903,8.465909091,1.710227273,6.931818182,0.260795455,0.032954545,90.34090909
48.520971,-122.600717,7,Cap Sante,4611059.398,18.50459184,0.79,0.141325,7.743902439,1.902439024,5.298780488,0.179878049,0.029634146,81.09756098
47.1905742,-122.5834897,13,Chambers Bay Park,8752275.273,11.61690437,1.05625,0.150475,8.081395349,1.790697674,5.372093023,0.229069767,0.029244186,83.72093023
48.8208,-122.7101,7,"Cherry Point Aquatic Reserve, Conoco Phillips",3716200.119,3.863908288,0.86875,0.1539,7.931034483,1.902298851,5.304597701,0.192528736,0.033045977,73.56321839
48.04906,-122.7724,9,Chimacum Creek delta,2641298.752,1.80051685,0.90375,0.166225,8.352941176,1.835294118,30.47058824,0.291764706,0.032647059,94.70588235
48.68975,-122.50434,7,"Chuckanut, Clark's Point",2740842.886,11.2110419,0.7275,0.176225,7.513812155,1.602209945,9.889502762,0.238121547,0.035138122,87.29281768
47.29,-122.41,11,Comm Bay Skookum,5760190.081,9.07430531,0.755,0.1536,8.441558442,1.974025974,6.688311688,0.292857143,0.033961039,92.20779221
47.292549,-122.412175,11,"Comm Bay, Dick Gilmur Launch",3676584.787,14.00873683,0.8325,0.18665,7.34939759,1.608433735,5.873493976,0.271686747,0.032831325,75.90361446
47.2694,-122.4243,11,"Comm Bay, Milwaukee Waterway",7394026.589,8.040569912,0.821,0.1606,8.141025641,1.692307692,10.64102564,0.249358974,0.035512821,78.84615385
47.40301418,-122.3305538,11,Des Moines Marina,8935555.429,8.792656395,0.995,0.160925,8.536585366,1.969512195,6.463414634,0.278658537,0.040853659,93.90243902
48.064957,-122.857524,6,Discovery Bay,3982486.122,9.332538704,0.79375,0.193375,8.524590164,1.928961749,5.628415301,0.209836066,0.032568306,92.34972678
47.33775,-122.59014,11,Donkey Creek Delta,2884111.412,2.407837279,0.73375,0.180325,8.915662651,1.93373494,7.34939759,0.885542169,0.030240964,92.77108434
47.61889,-122.5275,10,Eagle Harbor Dr,1846400.668,12.6098516,0.8925,0.18125,8.536585366,1.932926829,8.475609756,0.62804878,0.04597561,79.26829268
48.69368,-122.90985,7,"Eastsound, Fishing Bay",3018580.71,7.534952207,0.465,0.147625,9.027027027,1.72972973,6,0.206486486,0.03,90.81081081
47.81407,-122.3825,9,Edmonds Ferry,8264243.773,0.206329647,0.69,0.1806,8.352272727,1.732954545,6.988636364,0.326704545,0.036647727,89.20454545
47.8111,-122.388,9,Edmonds Marina,20688192.68,13.85400356,0.765,0.162375,8.275862069,1.747126437,8.563218391,0.331034483,0.051954023,81.6091954
47.074603,-123.003527,13,Eld Inlet,9802343.137,9.861263047,0.7075,0.21035,8.850574713,1.712643678,6.206896552,0.250574713,0.028563218,91.95402299
47.61862,-122.36108,10,Elliot Bay Myrtle Edwards,2435519.65,11.72580418,0.824,0.18824,8.170731707,1.798780488,6.402439024,0.284756098,0.039329268,89.02439024
47.58766,-122.35065,10,"Elliott Bay, Harbor Island, Pier 17",9192957.592,5.500254008,0.85625,0.16225,7.988505747,1.816091954,9.08045977,0.279310345,0.033390805,94.82758621
47.9726,-122.22977,8.2,Everett Harbor,5813892.783,1.28999742,0.77625,0.14555,8.35443038,1.702531646,6.455696203,0.365189873,0.041329114,72.78481013
48.482448,-122.583879,7,"Fidalgo Bay Aq Reserve, Weaverling Spit",3204999.239,11.87749221,0.7625,0.184,8.493975904,1.746987952,9.277108434,0.239156627,0.039759036,81.92771084
