site_name,latitude,longitude,reporting_area,site_number,sample_id,sod,PAHgroup3,PAHgroup4,PAHgroup5,PAHgroup6,Sum40CBs,SumBDEs,SumCHLDs,SumDDTs,SumHCHs
Aiston Preserve,48.6793778,-122.6300583,7,77,239,-0.231516211,1,1,0,0,23.1332244,-1.095784314,-1.095784314,1.82630719,-0.913153595
Aiston Preserve,48.6793778,-122.6300583,7,77,240,4.876828946,1,1,0,0,23.1332244,-1.095784314,-1.095784314,1.82630719,-0.913153595
Aiston Preserve,48.6793778,-122.6300583,7,77,241,8.871340047,1,1,0,0,23.1332244,-1.095784314,-1.095784314,1.82630719,-0.913153595
Aiston Preserve,48.6793778,-122.6300583,7,77,242,0.010085806,1,1,0,0,23.1332244,-1.095784314,-1.095784314,1.82630719,-0.913153595
Arroyo Beach,47.50161,-122.38593,11,13,281,7.08387708,2,3,2,3,34.81930759,5.643129161,3.121731025,2.401331558,-1.14063249
Arroyo Beach,47.50161,-122.38593,11,13,282,0.634793688,2,3,2,3,34.81930759,5.643129161,3.121731025,2.401331558,-1.14063249
Arroyo Beach,47.50161,-122.38593,11,13,283,11.88378415,2,3,2,3,34.81930759,5.643129161,3.121731025,2.401331558,-1.14063249
Arroyo Beach,47.50161,-122.38593,11,13,284,6.099566802,2,3,2,3,34.81930759,5.643129161,3.121731025,2.401331558,-1.14063249
Arroyo Beach,47.50161,-122.38593,11,13,285,15.28458767,2,3,2,3,34.81930759,5.643129161,3.121731025,2.401331558,-1.14063249
Blair Waterway,47.27568,-122.4173,11,41,152,9.376731224,3,4,3,4,37.4048874,15.95208433,4.345567801,9.901293723,0.880114998
Blair Waterway,47.27568,-122.4173,11,41,149,0.671745233,3,4,3,4,37.4048874,15.95208433,4.345567801,9.901293723,0.880114998
Blair Waterway,47.27568,-122.4173,11,41,150,6.431894312,3,4,3,4,37.4048874,15.95208433,4.345567801,9.901293723,0.880114998
Blair Waterway,47.27568,-122.4173,11,41,151,9.589878466,3,4,3,4,37.4048874,15.95208433,4.345567801,9.901293723,0.880114998
Blair Waterway #2,47.2632444,-122.385731,11,42,141,26.42424544,3,4,4,5,42.15557164,9.164254703,-1.710660878,17.71755909,0.977520502
Blair Waterway #2,47.2632444,-122.385731,11,42,142,12.85437983,3,4,4,5,42.15557164,9.164254703,-1.710660878,17.71755909,0.977520502
Blair Waterway #2,47.2632444,-122.385731,11,42,143,2.636850875,3,4,4,5,42.15557164,9.164254703,-1.710660878,17.71755909,0.977520502
Blair Waterway #2,47.2632444,-122.385731,11,42,144,1.269412438,3,4,4,5,42.15557164,9.164254703,-1.710660878,17.71755909,0.977520502
Brackenwood Ln,47.68234,-122.5064,10,23,99,7.492130038,2,3,2,3,29.49750312,2.005830212,-1.592865169,2.182815231,-1.297890137
Brackenwood Ln,47.68234,-122.5064,10,23,96,-1.514077228,2,3,2,3,29.49750312,2.005830212,-1.592865169,2.182815231,-1.297890137
Brackenwood Ln,47.68234,-122.5064,10,23,97,15.98870388,2,3,2,3,29.49750312,2.005830212,-1.592865169,2.182815231,-1.297890137
Brackenwood Ln,47.68234,-122.5064,10,23,98,6.809398721,2,3,2,3,29.49750312,2.005830212,-1.592865169,2.182815231,-1.297890137
Broad Spit (Fisherman's Point),47.78184,-122.83474,12,30,269,0.896484575,1,1,0,0,23.4427694,-1.272607482,-1.272607482,-1.272607482,-1.071669458
