latitude,longitude,reporting_area,site_number,site_name,sample_id,at,cf,PAHgroup3,PAHgroup4,PAHgroup5,PAHgroup6,PAHgroup7,PAHgroup8
47.40301418,-122.3305538,11,21,Des Moines Marina,1,0.88,0.1618,3,4,4,5,0,0
47.40301418,-122.3305538,11,21,Des Moines Marina,2,1.145,0.1739,3,4,4,5,0,0
47.40301418,-122.3305538,11,21,Des Moines Marina,3,0.945,0.1502,3,4,4,5,0,0
47.40301418,-122.3305538,11,21,Des Moines Marina,4,1.01,0.1578,3,4,4,5,0,0
47.7296079,-122.5506191,10,34,Suquamish Stormwater Outfall,5,1.015,0.1599,2,3,3,3,0,0
47.7296079,-122.5506191,10,34,Suquamish Stormwater Outfall,6,1.065,0.1882,2,3,3,3,0,0
47.7296079,-122.5506191,10,34,Suquamish Stormwater Outfall,7,1.02,0.1846,2,3,3,3,0,0
47.7296079,-122.5506191,10,34,Suquamish Stormwater Outfall,8,0.985,0.189,2,3,3,3,0,0
47.2619,-122.7376,13,50,Pennrose Point State Park,9,0.955,0.2569,1,2,1,1,0,0
47.2619,-122.7376,13,50,Pennrose Point State Park,10,0.81,0.1373,1,2,1,1,0,0
47.2619,-122.7376,13,50,Pennrose Point State Park,11,0.855,0.1659,1,2,1,1,0,0
47.2619,-122.7376,13,50,Pennrose Point State Park,12,0.81,0.1622,1,2,1,1,0,0
48.02667,-122.75076,9,9,S of Skunk Island,13,0.815,0.1522,2,2,2,2,0,0
48.02667,-122.75076,9,9,S of Skunk Island,14,0.855,0.1807,2,2,2,2,0,0
48.02667,-122.75076,9,9,S of Skunk Island,15,0.78,0.1925,2,2,2,2,0,0
48.02667,-122.75076,9,9,S of Skunk Island,16,0.695,0.1627,2,2,2,2,0,0
47.94968,-122.30158,8.2,65,Mukilteo,17,0.805,0.1349,2,3,3,3,0,0
47.94968,-122.30158,8.2,65,Mukilteo,18,0.83,0.159,2,3,3,3,0,0
47.94968,-122.30158,8.2,65,Mukilteo,19,0.855,0.1615,2,3,3,3,0,0
47.94968,-122.30158,8.2,65,Mukilteo,20,0.675,0.1574,2,3,3,3,0,0
47.8111,-122.388,9,68,Edmonds Marina,21,0.665,0.1524,3,4,3,4,0,0
47.8111,-122.388,9,68,Edmonds Marina,22,0.885,0.1807,3,4,3,4,0,0
47.8111,-122.388,9,68,Edmonds Marina,23,0.865,0.1594,3,4,3,4,0,0
47.8111,-122.388,9,68,Edmonds Marina,24,0.645,0.157,3,4,3,4,0,0
48.68975,-122.50434,7,74,"Chuckanut, Clark's Point",25,0.985,0.203,1,2,1,1,0,0
48.68975,-122.50434,7,74,"Chuckanut, Clark's Point",26,0.8,0.1942,1,2,1,1,0,0
48.68975,-122.50434,7,74,"Chuckanut, Clark's Point",27,0.475,0.1482,1,2,1,1,0,0
48.68975,-122.50434,7,74,"Chuckanut, Clark's Point",28,0.65,0.1595,1,2,1,1,0,0
47.58766,-122.35065,10,14,"Elliott Bay, Harbor Island, Pier 17",29,0.785,0.1464,3,4,4,5,0,0
47.58766,-122.35065,10,14,"Elliott Bay, Harbor Island, Pier 17",30,0.66,0.1443,3,4,4,5,0,0
47.58766,-122.35065,10,14,"Elliott Bay, Harbor Island, Pier 17",31,1.04,0.1696,3,4,4,5,0,0
47.58766,-122.35065,10,14,"Elliott Bay, Harbor Island, Pier 17",32,0.94,0.1887,3,4,4,5,0,0
48.8208,-122.7101,7,75,"Cherry Point Aquatic Reserve, Conoco Phillips",33,0.705,0.1424,2,2,2,2,0,0
48.8208,-122.7101,7,75,"Cherry Point Aquatic Reserve, Conoco Phillips",34,0.86,0.121,2,2,2,2,0,1
48.8208,-122.7101,7,75,"Cherry Point Aquatic Reserve, Conoco Phillips",35,0.935,0.1979,2,2,2,2,0,1
48.8208,-122.7101,7,75,"Cherry Point Aquatic Reserve, Conoco Phillips",36,0.975,0.1543,2,2,2,2,0,1
47.29,-122.41,11,45,Comm Bay Skookum,37,0.695,0.1637,3,4,4,4,0,1
47.29,-122.41,11,45,Comm Bay Skookum,38,0.8,0.1561,3,4,4,4,0,1
47.29,-122.41,11,45,Comm Bay Skookum,39,0.66,0.1513,3,4,4,4,0,1
47.29,-122.41,11,45,Comm Bay Skookum,40,0.865,0.1433,3,4,4,4,0,1
48.21423,-122.718972,8.1,3,Penn Cove Reference,41,0.545,0.1987,1,1,0,1,0,1
