site_name,latitude,longitude,chlordane_index,ddt_index,hch_index,heavy_metal_index,nutrient_metal_index,total_metal_index,pah_lmw_index,pah_hmw_index,pah_add_index,total_pah_index,pbde_index,pcb_index,pesticide_index
Aiston Preserve,48.6793778,-122.6300583,0,0.913807933,0,10.11160417,1.286763023,11.39836719,1.86765393,0.005649625,2.139119284,4.012422839,0,13.19783118,0
Arroyo Beach,47.50159,-122.38577,5.496493742,1.218410577,0,6.620491767,2.414090673,9.03458244,4.965709481,2.314961583,5.363599564,12.64427063,3.024165668,16.70811458,0
Blair Waterway,47.2758,-122.4174,8.654466903,6.26324646,2.012647112,8.282830359,2.237846406,10.52067676,14.23481608,4.974135826,9.608021663,28.81697357,14.05814798,17.1068985,0
Blair Waterway Two,47.2632,-122.3856,0,9.855249892,2.012647112,4.685947408,0.763614778,5.449562187,18.92230897,8.786300782,6.576063172,34.28467292,4.95243102,17.31854006,3.46431662
Brackenwood Lane,47.68203,-122.50668,0,1.127029784,0,7.149746805,0.805973096,7.955719901,4.698216875,1.573226289,4.914909178,11.18635234,0.949046327,19.27573878,0
Broad Spit,47.80934,-122.81556,0,0,0,4.898880653,3.488904464,8.387785117,0.941057984,0.059126699,2.368014052,3.368198735,0,8.463128429,0
Browns Point Lighthouse,47.304906,-122.44427,4.414928496,4.523874106,0,7.182151453,1.791750164,8.973901617,5.24726184,2.484056677,4.140664638,11.87198316,0,16.34937702,1.520919492
Cap Sante,48.52093,-122.600725,0,3.005963896,2.138437556,7.703035218,0.989468613,8.692503831,7.813565022,3.304284261,2.201870905,13.31972019,0,13.90623614,0
Chambers Bay Park,47.2009,-122.58342,0,0.852887404,0,7.099151142,0.74916792,7.848319061,1.391544039,0.93444923,2.578658331,4.9046516,0,11.38149971,1.013946328
"Cherry Point Aquatic Reserve, Conoco Phillips",48.820783,-122.710133,0,1.005188726,1.761066223,6.704010387,1.323529208,8.027539595,3.203084453,3.015825558,2.457858943,8.676768954,0,13.35134807,0
Chimacum Creek delta,48.04887,-122.7711,0,0,0,7.067089176,9.658848982,16.72593816,2.480227112,0.393581118,2.750401215,5.624209445,0,17.22049271,0
"Chuckanut, Clark's Point",48.691084,-122.504012,0,2.70902694,0,8.991669663,2.709440795,11.70111046,3.339112525,0.667355314,5.199915646,9.206383485,0,16.02104717,0
Commencement Bay Skookum,47.28915,-122.4096,9.163160314,18.48282344,0,8.071072634,0.902405121,8.973477755,10.91991471,4.415327323,6.075471698,21.41071373,5.980601374,31.77520869,2.112388183
