"site_name","Sum40CBs","SumBDEs","SumCHLDs","SumDDTs","SumHCHs","SumPCBs2x17","SumPAHsHMW","SumPAHsLMW","SumPAHs","SumPAHs16","SumPAHs42_DMNcorrected"
"Aiston Preserve",23.1332244,-1.095784314,-1.095784314,1.82630719,-0.913153595,28.00337691,19.48061002,79.13997821,97.40305011,31.65599129,97.40305011
"Arroyo Beach",34.81930759,5.643129161,3.121731025,2.401331558,-1.14063249,49.22729694,186.1031957,216.1198402,408.2263648,168.0932091,408.2263648
"Blair Waterway",37.4048874,15.95208433,4.345567801,9.901293723,0.880114998,50.60661236,280.5366555,456.559655,715.0934356,247.5323431,715.0934356
"Blair Waterway #2",42.15557164,9.164254703,-1.710660878,17.71755909,0.977520502,54.98552822,403.2272069,610.9503136,1038.615533,299.3656536,1038.615533
"Brackenwood Ln",29.49750312,2.005830212,-1.592865169,2.182815231,-1.297890137,44.24625468,176.9850187,212.3820225,389.3670412,176.9850187,389.3670412
"Broad Spit",23.4427694,-1.272607482,-1.272607482,-1.272607482,-1.071669458,30.14070352,18.75421552,107.1669458,127.2607482,35.49905081,127.2607482
"Browns Point Lighthouse",40.36969844,7.020817121,2.340272374,8.190953307,-0.936108949,53.2411965,181.3711089,257.4299611,438.80107,175.520428,438.80107
"Cap Sante",22.28248175,-1.400613139,-1.336948905,6.175430657,1.082291971,29.28554745,120.9620438,254.6569343,375.6189781,63.66423358,375.6189781
"Chambers Bay Park",35.39182283,5.898637138,-0.825809199,1.651618399,-0.707836457,45.41950596,76.68228279,106.1754685,182.8577513,70.78364566,182.8577513
"Cherry Point Aquatic Reserve, Conoco Phillips",30.18340975,-1.026235932,-1.026235932,1.992105044,0.845135473,39.23843268,150.9170488,169.0270946,325.9808253,126.770321,325.9808253
"Chimacum Creek delta",22.46124402,-1.559808612,-1.559808612,-1.559808612,-1.310239234,29.32440191,56.77703349,112.3062201,168.4593301,68.63157895,168.4593301
"Chuckanut, Clark's Point",22.37880299,-1.319775561,-1.319775561,4.418379052,-1.090249377,31.55985037,74.59600998,131.9775561,206.5735661,80.33416459,206.5735661
"Comm Bay Skookum",72.54244527,12.53005873,5.539604912,27.69802456,-1.384901228,92.32674853,369.3069941,461.6337427,857.3198078,342.9279231,857.3198078
"Comm Bay, Dick Gilmur Launch",71.61674528,11.06804245,4.817853774,24.74033019,-0.976591981,84.6379717,338.5518868,442.7216981,781.2735849,332.0412736,781.2735849
