site_name,latitude,longitude,reporting_area,site_number,sample_id,at,cf,PAHgroup3,PAHgroup4,PAHgroup6,PAHgroup8
Des Moines Marina,47.40301418,-122.3305538,11,21,1,0.88,0.1618,3,4,6,8
Des Moines Marina,47.40301418,-122.3305538,11,21,2,1.145,0.1739,3,4,6,8
Des Moines Marina,47.40301418,-122.3305538,11,21,3,0.945,0.1502,3,4,6,8
Des Moines Marina,47.40301418,-122.3305538,11,21,4,1.01,0.1578,3,4,6,8
Suquamish Stormwater Outfall,47.7296079,-122.5506191,10,34,5,1.015,0.1599,2,3,4,5
Suquamish Stormwater Outfall,47.7296079,-122.5506191,10,34,6,1.065,0.1882,2,3,4,5
Suquamish Stormwater Outfall,47.7296079,-122.5506191,10,34,7,1.02,0.1846,2,3,4,5
Suquamish Stormwater Outfall,47.7296079,-122.5506191,10,34,8,0.985,0.189,2,3,4,5
Penrose Point State Park,47.2619,-122.7376,13,50,9,0.955,0.2569,1,2,2,3
Penrose Point State Park,47.2619,-122.7376,13,50,10,0.81,0.1373,1,2,2,3
Penrose Point State Park,47.2619,-122.7376,13,50,11,0.855,0.1659,1,2,2,3
Penrose Point State Park,47.2619,-122.7376,13,50,12,0.81,0.1622,1,2,2,3
S of Skunk Island,48.02667,-122.75076,9,9,13,0.815,0.1522,2,2,3,4
S of Skunk Island,48.02667,-122.75076,9,9,14,0.855,0.1807,2,2,3,4
S of Skunk Island,48.02667,-122.75076,9,9,15,0.78,0.1925,2,2,3,4
S of Skunk Island,48.02667,-122.75076,9,9,16,0.695,0.1627,2,2,3,4
Mukilteo,47.94968,-122.30158,8.2,65,17,0.805,0.1349,2,3,4,6
Mukilteo,47.94968,-122.30158,8.2,65,18,0.83,0.159,2,3,4,6
Mukilteo,47.94968,-122.30158,8.2,65,19,0.855,0.1615,2,3,4,6
Mukilteo,47.94968,-122.30158,8.2,65,20,0.675,0.1574,2,3,4,6
Edmonds Marina,47.8111,-122.388,9,68,21,0.665,0.1524,3,4,5,7
Edmonds Marina,47.8111,-122.388,9,68,22,0.885,0.1807,3,4,5,7
Edmonds Marina,47.8111,-122.388,9,68,23,0.865,0.1594,3,4,5,7
Edmonds Marina,47.8111,-122.388,9,68,24,0.645,0.157,3,4,5,7
"Chuckanut, Clark's Point",48.68975,-122.50434,7,74,25,0.985,0.203,1,2,2,3
"Chuckanut, Clark's Point",48.68975,-122.50434,7,74,26,0.8,0.1942,1,2,2,3
"Chuckanut, Clark's Point",48.68975,-122.50434,7,74,27,0.475,0.1482,1,2,2,3
"Chuckanut, Clark's Point",48.68975,-122.50434,7,74,28,0.65,0.1595,1,2,2,3
"Elliott Bay, Harbor Island, Pier 17",47.58766,-122.35065,10,14,29,0.785,0.1464,3,4,6,8
"Elliott Bay, Harbor Island, Pier 17",47.58766,-122.35065,10,14,30,0.66,0.1443,3,4,6,8
"Elliott Bay, Harbor Island, Pier 17",47.58766,-122.35065,10,14,31,1.04,0.1696,3,4,6,8
"Elliott Bay, Harbor Island, Pier 17",47.58766,-122.35065,10,14,32,0.94,0.1887,3,4,6,8
"Cherry Point Aquatic Reserve, Conoco Phillips",48.8208,-122.7101,7,75,33,0.705,0.1424,2,2,3,4
"Cherry Point Aquatic Reserve, Conoco Phillips",48.8208,-122.7101,7,75,34,0.86,0.121,2,2,3,4
"Cherry Point Aquatic Reserve, Conoco Phillips",48.8208,-122.7101,7,75,35,0.935,0.1979,2,2,3,4
"Cherry Point Aquatic Reserve, Conoco Phillips",48.8208,-122.7101,7,75,36,0.975,0.1543,2,2,3,4
Comm Bay Skookum,47.29,-122.41,11,45,37,0.695,0.1637,3,4,5,7
Comm Bay Skookum,47.29,-122.41,11,45,38,0.8,0.1561,3,4,5,7
Comm Bay Skookum,47.29,-122.41,11,45,39,0.66,0.1513,3,4,5,7
Comm Bay Skookum,47.29,-122.41,11,45,40,0.865,0.1433,3,4,5,7
Penn Cove Reference,48.21423,-122.718972,8.1,3,41,0.545,0.1987,1,1,1,2
Penn Cove Reference,48.21423,-122.718972,8.1,3,42,0.645,0.1762,1,1,1,2
Penn Cove Reference,48.21423,-122.718972,8.1,3,43,0.6,0.2122,1,1,1,2
Penn Cove Reference,48.21423,-122.718972,8.1,3,44,0.635,0.1934,1,1,1,2
"Silverdale, Dyes Inlet",47.6427936,-122.6967068,10,35,45,0.805,0.2061,2,3,4,5
"Silverdale, Dyes Inlet",47.6427936,-122.6967068,10,35,46,0.65,0.2057,2,3,4,5
"Silverdale, Dyes Inlet",47.6427936,-122.6967068,10,35,47,0.635,0.1524,2,3,4,5
"Silverdale, Dyes Inlet",47.6427936,-122.6967068,10,35,48,0.66,0.1752,2,3,4,5
"Eastsound, Fishing Bay",48.69368,-122.90985,7,60,49,0.355,0.1583,3,3,5,6
"Eastsound, Fishing Bay",48.69368,-122.90985,7,60,50,0.405,0.1392,3,3,5,6
"Eastsound, Fishing Bay",48.69368,-122.90985,7,60,51,0.58,0.1427,3,3,5,6
"Eastsound, Fishing Bay",48.69368,-122.90985,7,60,52,0.52,0.1503,3,3,5,6
Kitsap St Boat Launch,47.54167,-122.64034,10,25,53,0.805,0.1889,3,4,5,7
Kitsap St Boat Launch,47.54167,-122.64034,10,25,54,0.8,0.1743,3,4,5,7
Kitsap St Boat Launch,47.54167,-122.64034,10,25,55,0.855,0.1557,3,4,5,7
Kitsap St Boat Launch,47.54167,-122.64034,10,25,56,0.87,0.1833,3,4,5,7
Eagle Harbor Dr,47.61889,-122.5275,10,31,57,0.815,0.1899,3,4,6,7
Eagle Harbor Dr,47.61889,-122.5275,10,31,58,0.91,0.1836,3,4,6,7
Eagle Harbor Dr,47.61889,-122.5275,10,31,59,1.02,0.1654,3,4,6,7
Eagle Harbor Dr,47.61889,-122.5275,10,31,60,0.825,0.1861,3,4,6,7
"Fidalgo Bay Aq Reserve, Weaverling Spit",48.482448,-122.583879,7,63,61,0.73,0.1907,3,4,5,7
"Fidalgo Bay Aq Reserve, Weaverling Spit",48.482448,-122.583879,7,63,62,0.755,0.1881,3,4,5,7
