reporting_area,site_name,avg_p450,avg_sod,a81,a120,a125,a7,a12,a14,a15,a17,a18,a19,a63,a74
7,Aiston Preserve,4712860.314,3.381684647,-3.165599129,-3.104722222,15.82799564,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314
11,Arroyo Beach,4750942.745,8.197321878,-3.902163782,-6.003328895,8.404660453,-1.380765646,-1.380765646,-1.380765646,2.341298269,-1.380765646,-1.380765646,-1.380765646,-1.380765646,-1.380765646
11,Blair Waterway,4337758.739,6.517562309,-2.91538093,-3.630474365,7.701006229,-1.375179684,-1.320172496,-1.320172496,6.050790609,-1.320172496,-1.320172496,-1.375179684,-1.320172496,-1.320172496
11,Blair Waterway #2,4425866.372,10.79622215,-4.94869754,-4.887602508,17.10660878,-1.710660878,-1.710660878,-1.710660878,3.482416787,-1.710660878,-1.710660878,-1.710660878,-1.710660878,-1.710660878
10,Brackenwood Ln,1773623.904,7.194038853,-3.598695381,-5.309550562,8.259300874,-1.592865169,-1.592865169,-1.592865169,-1.533870162,-1.592865169,-1.592865169,-1.592865169,-1.592865169,-1.592865169
12,Broad Spit,2286051.526,7.116003488,-4.420636516,-5.82720268,36.83863763,-1.272607482,-1.272607482,-1.272607482,-1.205628141,-1.272607482,-1.272607482,-1.272607482,-1.272607482,-1.272607482
11,Browns Point Lighthouse,8047751.654,2.311767254,-3.334888132,-3.217874514,15.21177043,-1.111629377,-1.111629377,-1.111629377,2.69131323,-1.111629377,-1.111629377,-1.111629377,-1.111629377,-1.111629377
7,Cap Sante,4611059.398,18.50459184,-4.711153285,-4.838481752,16.55270073,-1.336948905,-1.336948905,-1.336948905,-1.336948905,-1.336948905,-1.336948905,-1.336948905,-1.336948905,-1.336948905
13,Chambers Bay Park,8752275.273,11.61690437,-2.713373083,-2.654386712,14.15672913,-0.825809199,-0.825809199,-0.825809199,2.418441227,-0.825809199,-0.825809199,-0.825809199,-0.825809199,-0.825809199
7,"Cherry Point Aquatic Reserve, Conoco Phillips",3716200.119,3.863908288,-3.62200917,-3.501275531,21.12838683,-1.026235932,-1.026235932,-1.026235932,-0.965869112,-1.026235932,-1.026235932,-1.026235932,-1.026235932,-1.026235932
