site_name,avg_value
Aiston Preserve,4712860.314
Arroyo Beach,4750942.745
Blair Waterway,4337758.739
Blair Waterway #2,4425866.372
Brackenwood Ln,1773623.904
Broad Spit (Fisherman's Point),2286051.526
Browns Point Lighthouse,8047751.654
Cap Sante,4611059.398
Chambers Bay Park,8752275.273
"Cherry Point Aquatic Reserve, Conoco Phillips",3716200.119
Chimacum Creek delta,2641298.752
"Chuckanut, Clark's Point",2740842.886
Comm Bay Skookum,5760190.081
"Comm Bay, Dick Gilmur Launch",3676584.787
"Comm Bay, Milwaukee Waterway",7394026.589
Des Moines Marina,8935555.429
Discovery Bay,3982486.122
Donkey Creek Delta,2884111.412
Eagle Harbor Dr,1846400.668
"Eastsound, Fishing Bay",3018580.71
Edmonds Ferry,8264243.773
Edmonds Marina,20688192.68
Eld Inlet,9802343.137
Elliot Bay Myrtle Edwards,2435519.65
"Elliott Bay, Harbor Island, Pier 17",9192957.592
Everett Harbor,5813892.783
"Fidalgo Bay Aq Reserve, Weaverling Spit",3204999.239
Filucy Bay,10877772.12
Friday Harbor,5444136.674
Gig Harbor Boat Launch,3843185.751
Hood Canal Holly,788014.8961
Jamestown,3175079.08
Kingston Marina,5460804.691
Kitsap St Boat Launch,2852984.356
Kopachuck State Park,7013734.566
Lions Park,6373166.26
Locust Beach,2368800.337
Madrona Pont,7017559.738
"Manchester, Stormwater Outfall",7715455.876
Maple Hollow Park,13508380.28
Maristone Island,4711148.229
Meyer's Point - Henderson Inlet,2252669.398
Miller Creek,15899206.45
Minter Bay,8029786.948
Mukilteo,8713508.039
N Avenue Park,6764939.012
North Camano,12423809.12
Oak Bay County Park,2335225.716
Penn Cove Reference,2290809.301
Pennrose Point State Park,7562838.824
Point Defiance Ferry,2116286.931
Port Angeles Yacht Club,5668182.301
Purdy - Dexters,4578794.023
"Purdy, Burley Lagoon",3937234.94
Raft Island Park,4185580.798
Reach Island,5721094.954
Rich Passage,5061124.659
Rocky Point,9469801.367
S of Skunk Island,4092598.466
"Salmon Bay, Commodore Park",4444677.291
Salmon Beach,1550935.053
"Seattle Aquarium, Pier 59",3037049.482
Shilshole Bay,2710238.957
"Silverdale, Dyes Inlet",1419996.096
Skiff Point,5612257.852
"Smith Cove, Terminal 91",3958466.348
Squaxin Island,6185908.673
Suquamish Stormwater Outfall,3575218.321
Thea Foss Waterway,3660949.966
Three Tree Point,7868514.826
Tulalip Bay,5438866.58
Tulalip Reservation,5097254.763
West Bay Park,8508351.558
Williams Olson Park,3067078.444
