"site_name","Analyte","Units","DryValue","Comments","p42"
"Aiston Preserve","SumPAHs42_DMNcorrected","ng/g",97.40305011,NA,1
"Arroyo Beach","SumPAHs42_DMNcorrected","ng/g",408.2263648,NA,2
"Blair Waterway","SumPAHs42_DMNcorrected","ng/g",715.0934356,NA,3
"Blair Waterway #2","SumPAHs42_DMNcorrected","ng/g",1038.615533,NA,3
"Brackenwood Ln","SumPAHs42_DMNcorrected","ng/g",389.3670412,NA,2
"Broad Spit","SumPAHs42_DMNcorrected","ng/g",127.2607482,NA,1
"Browns Point Lighthouse","SumPAHs42_DMNcorrected","ng/g",438.80107,NA,2
"Cap Sante","SumPAHs42_DMNcorrected","ng/g",375.6189781,NA,2
"Chambers Bay Park","SumPAHs42_DMNcorrected","ng/g",182.8577513,NA,1
"Cherry Point Aquatic Reserve, Conoco Phillips","SumPAHs42_DMNcorrected","ng/g",325.9808253,NA,2
"Chimacum Creek delta","SumPAHs42_DMNcorrected","ng/g",168.4593301,NA,1
"Chuckanut, Clark's Point","SumPAHs42_DMNcorrected","ng/g",206.5735661,NA,1
"Comm Bay Skookum","SumPAHs42_DMNcorrected","ng/g",857.3198078,NA,3
"Comm Bay, Dick Gilmur Launch","SumPAHs42_DMNcorrected","ng/g",781.2735849,NA,3
"Comm Bay, Milwaukee Waterway","SumPAHs42_DMNcorrected","ng/g",599.0107817,NA,2
"Des Moines Marina","SumPAHs42_DMNcorrected","ng/g",15313.21971,NA,8
"Discovery Bay","SumPAHs42_DMNcorrected","ng/g",235.3538124,NA,1
"Donkey Creek Delta","SumPAHs42_DMNcorrected","ng/g",522.3567146,NA,2
"Eagle Harbor Dr","SumPAHs42_DMNcorrected","ng/g",1031.19294,NA,3
"Eastsound, Fishing Bay","SumPAHs42_DMNcorrected","ng/g",518.0065898,NA,2
"Edmonds Ferry","SumPAHs42_DMNcorrected","ng/g",526.1635514,NA,2
"Edmonds Marina","SumPAHs42_DMNcorrected","ng/g",702.8476454,NA,3
"Eld Inlet","SumPAHs42_DMNcorrected","ng/g",171.5981221,NA,1
"Elliot Bay Myrtle Edwards","SumPAHs42_DMNcorrected","ng/g",12078.4217,NA,7
"Elliott Bay, Harbor Island, Pier 17","SumPAHs42_DMNcorrected","ng/g",3195.16749,NA,5
"Everett Harbor","SumPAHs42_DMNcorrected","ng/g",372.815402,NA,2
"Fidalgo Bay Aq Reserve, Weaverling Spit","SumPAHs42_DMNcorrected","ng/g",699.5619988,NA,3
"Filucy Bay","SumPAHs42_DMNcorrected","ng/g",148.2731137,NA,1
"Friday Harbor","SumPAHs42_DMNcorrected","ng/g",532.693683,NA,2
"Gig Harbor Boat Launch","SumPAHs42_DMNcorrected","ng/g",418.6468172,NA,2
"Hood Canal Holly","SumPAHs42_DMNcorrected","ng/g",88.78341014,NA,1
"Jamestown","SumPAHs42_DMNcorrected","ng/g",119.3191046,NA,1
"Kingston Marina","SumPAHs42_DMNcorrected","ng/g",273.0109661,NA,1
"Kitsap St Boat Launch","SumPAHs42_DMNcorrected","ng/g",758.678184,NA,3
"Kopachuck State Park","SumPAHs42_DMNcorrected","ng/g",141.6949476,NA,1
"Lions Park","SumPAHs42_DMNcorrected","ng/g",289.592789,NA,1
"Locust Beach","SumPAHs42_DMNcorrected","ng/g",147.2050301,NA,1
"Madrona Pont","SumPAHs42_DMNcorrected","ng/g",259.1396534,NA,1
"Manchester, Stormwater Outfall","SumPAHs42_DMNcorrected","ng/g",369.4213572,NA,2
"Maple Hollow Park","SumPAHs42_DMNcorrected","ng/g",176.6666667,NA,1
"Maristone Island","SumPAHs42_DMNcorrected","ng/g",134.0549635,NA,1
"Meyer's Point - Henderson Inlet","SumPAHs42_DMNcorrected","ng/g",200.7369403,NA,1
"Miller Creek","SumPAHs42_DMNcorrected","ng/g",285.962118,NA,1
"Minter Bay","SumPAHs42_DMNcorrected","ng/g",164.4770408,NA,1
"Mukilteo","SumPAHs42_DMNcorrected","ng/g",440.1976325,NA,2
