site_name,analyte,dryvalue
Arroyo Beach,mercuryTotal,0.036
Brackenwood Ln,mercuryTotal,0.037455621
Salmon Beach,mercuryTotal,0.023798883
Chimacum Creek delta,mercuryTotal,0.032647059
Skiff Point,mercuryTotal,0.039325843
S of Skunk Island,mercuryTotal,0.028685714
Blair Waterway,mercuryTotal,0.032057143
"Chuckanut, Clark's Point",mercuryTotal,0.035138122
Kitsap St Boat Launch,mercuryTotal,0.031589744
"Eastsound, Fishing Bay",mercuryTotal,0.03
"Elliott Bay, Harbor Island, Pier 17",mercuryTotal,0.033390805
Williams Olson Park,mercuryTotal,0.0308
Rocky Point,mercuryTotal,0.03422619
N Avenue Park,mercuryTotal,0.036420455
Port Angeles Yacht Club,mercuryTotal,0.028128655
Discovery Bay,mercuryTotal,0.032568306
Squaxin Island,mercuryTotal,0.032356688
Eld Inlet,mercuryTotal,0.028563218
North Camano,mercuryTotal,0.045581395
Reach Island,mercuryTotal,0.02497006
Friday Harbor,mercuryTotal,0.033333333
Tulalip Reservation,mercuryTotal,0.031097561
Three Tree Point,mercuryTotal,0.029310345
Cap Sante,mercuryTotal,0.029634146
Locust Beach,mercuryTotal,0.031280488
Blair Waterway #2,mercuryTotal,-0.0236
West Bay Park,mercuryTotal,0.031666667
Lions Park,mercuryTotal,0.0365
Madrona Pont,mercuryTotal,0.030568182
Aiston Preserve,mercuryTotal,0.033053892
Penn Cove Reference,mercuryTotal,0.046319444
Hood Canal Holly,mercuryTotal,0.028831169
Broad Spit,mercuryTotal,-0.0257
Penn Cove Baseline 1,mercuryTotal,-0.0184
Penn Cove Baseline 2,mercuryTotal,-0.02
Penn Cove Baseline 3,mercuryTotal,-0.0198
"Manchester, Stormwater Outfall",mercuryTotal,0.029810127
"Suquamish, Stormwater Outfall",mercuryTotal,0.032710843
"Silverdale, Dyes Inlet",mercuryTotal,0.039245283
Kingston Marina,mercuryTotal,0.048145695
Eagle Harbor Dr,mercuryTotal,0.04597561
Point Defiance Ferry,mercuryTotal,0.027377049
"Smith Cove, Terminal 91",mercuryTotal,0.032814371
Donkey Creek Delta,mercuryTotal,0.030240964
Comm Bay Skookum,mercuryTotal,0.033961039
Thea Foss Waterway,mercuryTotal,0.025465839
"Salmon Bay, Commodore Park",mercuryTotal,0.039481481
"Seattle Aquarium, Pier 59",mercuryTotal,0.039254658
"Cherry Point Aquatic Reserve, Conoco Phillips",mercuryTotal,0.033045977
Mukilteo,mercuryTotal,0.050645161
Everett Harbor,mercuryTotal,0.041329114
Tulalip Bay,mercuryTotal,0.041572327
Edmonds Marina,mercuryTotal,0.051954023
Edmonds Ferry,mercuryTotal,0.036647727
Rich Passage,mercuryTotal,0.033011364
Meyer's Point - Henderson Inlet,mercuryTotal,0.035133333
"Purdy, Burley Lagoon",mercuryTotal,0.035906433
"Comm Bay, Dick Gilmur Launch",mercuryTotal,0.032831325
"Comm Bay, Milwaukee Waterway",mercuryTotal,0.035512821
"Fidalgo Bay Aq Reserve, Weaverling Spit",mercuryTotal,0.039759036
Shilshole Bay,mercuryTotal,0.042040816
Elliot Bay Myrtle Edwards,mercuryTotal,0.039329268
Jamestown,mercuryTotal,0.031847134
Oak Bay County Park,mercuryTotal,0.036
Maristone Island Bridge,mercuryTotal,0.031351351
Penrose Point State Park,mercuryTotal,0.037452229
Maple Hollow Park,mercuryTotal,0.039679487
Kopachuck State Park,mercuryTotal,0.040065359
Raft Island Park,mercuryTotal,0.035714286
Miller Creek,mercuryTotal,0.041595092
Des Moines Marina,mercuryTotal,0.040853659
Browns Point Lighthouse,mercuryTotal,0.032954545
Minter Bay,mercuryTotal,0.037051282
Chambers Bay Park,mercuryTotal,0.029244186
Purdy - Dexters,mercuryTotal,0.039122807
Gig Harbor Boat Launch,mercuryTotal,0.036748466
Filucy Bay,mercuryTotal,0.042352941
Arroyo Beach,arsenic,9.647058824
Brackenwood Ln,arsenic,8.698224852
Salmon Beach,arsenic,7.877094972
Chimacum Creek delta,arsenic,8.352941176
Skiff Point,arsenic,8.820224719
S of Skunk Island,arsenic,8
Blair Waterway,arsenic,8.114285714
"Chuckanut, Clark's Point",arsenic,7.513812155
Kitsap St Boat Launch,arsenic,8.153846154
"Eastsound, Fishing Bay",arsenic,9.027027027
"Elliott Bay, Harbor Island, Pier 17",arsenic,7.988505747
Williams Olson Park,arsenic,8.571428571
Rocky Point,arsenic,8.69047619
N Avenue Park,arsenic,10.28409091
Port Angeles Yacht Club,arsenic,8.596491228
Discovery Bay,arsenic,8.524590164
Squaxin Island,arsenic,8.21656051
Eld Inlet,arsenic,8.850574713
North Camano,arsenic,9.069767442
Reach Island,arsenic,9.341317365
Friday Harbor,arsenic,9.388888889
Tulalip Reservation,arsenic,7.743902439
Three Tree Point,arsenic,8.448275862
Cap Sante,arsenic,7.743902439
Locust Beach,arsenic,8.963414634
Blair Waterway #2,arsenic,8.373493976
West Bay Park,arsenic,8.205128205
Lions Park,arsenic,8.5625
Madrona Pont,arsenic,8.75
Aiston Preserve,arsenic,7.245508982
Penn Cove Reference,arsenic,10
Hood Canal Holly,arsenic,9.285714286
Broad Spit,arsenic,7.712418301
Penn Cove Baseline 1,arsenic,7.122641509
Penn Cove Baseline 2,arsenic,8.29015544
Penn Cove Baseline 3,arsenic,7.424242424
"Manchester, Stormwater Outfall",arsenic,8.164556962
"Suquamish, Stormwater Outfall",arsenic,8.674698795
"Silverdale, Dyes Inlet",arsenic,9.496855346
Kingston Marina,arsenic,8.145695364
Eagle Harbor Dr,arsenic,8.536585366
Point Defiance Ferry,arsenic,8.087431694
"Smith Cove, Terminal 91",arsenic,8.562874251
Donkey Creek Delta,arsenic,8.915662651
Comm Bay Skookum,arsenic,8.441558442
Thea Foss Waterway,arsenic,7.51552795
"Salmon Bay, Commodore Park",arsenic,7.703703704
"Seattle Aquarium, Pier 59",arsenic,8.819875776
"Cherry Point Aquatic Reserve, Conoco Phillips",arsenic,7.931034483
Mukilteo,arsenic,8.129032258
Everett Harbor,arsenic,8.35443038
Tulalip Bay,arsenic,8.867924528
Edmonds Marina,arsenic,8.275862069
Edmonds Ferry,arsenic,8.352272727
Rich Passage,arsenic,8.465909091
Meyer's Point - Henderson Inlet,arsenic,7.8
"Purdy, Burley Lagoon",arsenic,9.005847953
"Comm Bay, Dick Gilmur Launch",arsenic,7.34939759
"Comm Bay, Milwaukee Waterway",arsenic,8.141025641
"Fidalgo Bay Aq Reserve, Weaverling Spit",arsenic,8.493975904
Shilshole Bay,arsenic,8.027210884
Elliot Bay Myrtle Edwards,arsenic,8.170731707
Jamestown,arsenic,8.789808917
Oak Bay County Park,arsenic,8.121212121
Maristone Island Bridge,arsenic,8.783783784
Penrose Point State Park,arsenic,8.853503185
Maple Hollow Park,arsenic,9.679487179
Kopachuck State Park,arsenic,8.366013072
Raft Island Park,arsenic,8.095238095
Miller Creek,arsenic,8.711656442
Des Moines Marina,arsenic,8.536585366
Browns Point Lighthouse,arsenic,8.465909091
Minter Bay,arsenic,9.487179487
Chambers Bay Park,arsenic,8.081395349
Purdy - Dexters,arsenic,9.18128655
Gig Harbor Boat Launch,arsenic,8.343558282
Filucy Bay,arsenic,8.117647059
Arroyo Beach,cadmium,1.952941176
Brackenwood Ln,cadmium,1.857988166
Salmon Beach,cadmium,1.832402235
Chimacum Creek delta,cadmium,1.835294118
Skiff Point,cadmium,1.893258427
S of Skunk Island,cadmium,1.748571429
Blair Waterway,cadmium,1.622857143
"Chuckanut, Clark's Point",cadmium,1.602209945
Kitsap St Boat Launch,cadmium,1.548717949
"Eastsound, Fishing Bay",cadmium,1.72972973
"Elliott Bay, Harbor Island, Pier 17",cadmium,1.816091954
Williams Olson Park,cadmium,1.662857143
Rocky Point,cadmium,2
N Avenue Park,cadmium,1.926136364
Port Angeles Yacht Club,cadmium,1.783625731
Discovery Bay,cadmium,1.928961749
