,sample_id,latitude,longitude,lat_range,long_range,label,site_name,site_number,reporting_area,geo_group,p16,p42,plmw,phmw,pcb,p450,sod,shell,ci1,ci2,ci3
1,239,48.6793778,-122.6300583,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5",Aiston Preserve,77,7,4,1,1,1,1,1,5679312,4.027,0.88,31.754,0.6673,0.0493
2,240,48.6793778,-122.6300583,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5",Aiston Preserve,77,7,4,1,1,1,1,1,6097784,4.41,1.145,33.897,0.6637,0.051
3,241,48.6793778,-122.6300583,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5",Aiston Preserve,77,7,4,1,1,1,1,1,3868923,5.064,0.945,29.328,0.6363,0.0439
4,242,48.6793778,-122.6300583,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5",Aiston Preserve,77,7,4,1,1,1,1,1,3899451,25.058,1.01,33.577,0.6453,0.0519
5,281,47.50161,-122.38593,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Arroyo Beach,13,11,3,2,2,2,1,2,5346329,0.512,1.015,35.779,0.6876,0.0519
6,282,47.50161,-122.38593,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Arroyo Beach,13,11,3,2,2,2,1,2,2044561,6.049,1.065,35.169,0.6545,0.0546
7,283,47.50161,-122.38593,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Arroyo Beach,13,11,3,2,2,2,1,2,5633230,2.326,1.02,17.657,0.6584,0.0588
8,284,47.50161,-122.38593,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Arroyo Beach,13,11,3,2,2,2,1,2,4330102,14.39,0.985,24.457,0.6591,0.0718
9,285,47.50161,-122.38593,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Arroyo Beach,13,11,3,2,2,2,1,2,7518449,2.815,0.955,42.24,0.66,0.1167
10,286,47.50161,-122.38593,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Arroyo Beach,13,11,3,2,2,2,1,2,2993202,4.845,0.81,20.851,0.6426,0.0503
11,149,47.27568,-122.4173,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Blair Waterway,41,11,5,2,3,3,2,2,3607485,7.438,0.855,21.773,0.6943,0.0458
12,150,47.27568,-122.4173,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Blair Waterway,41,11,5,2,3,3,2,2,2656342,2.9,0.81,20.443,0.7098,0.0456
13,151,47.27568,-122.4173,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Blair Waterway,41,11,5,2,3,3,2,2,3719291,8.989,0.815,32.295,0.7158,0.0565
14,152,47.27568,-122.4173,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Blair Waterway,41,11,5,2,3,3,2,2,5059896,7.334,0.855,35.693,0.6837,0.0587
15,141,47.2632444,-122.385731,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Blair Waterway #2,42,11,5,3,3,4,2,3,4168799,0.978,0.78,33.657,0.7084,0.0605
