"site_name","ibr_bio","ibr_morph","ibr_combined","n_samples"
"Aiston Preserve",6.99386595931043,1.12738736074026,8.12125332005068,4
"Arroyo Beach",4.06595582974983,0.940100520732547,5.00605635048238,6
"Blair Waterway",2.30488761053438,0.762578815967595,3.06746642650198,4
"Blair Waterway Two",2.64029858069556,1.55247393480664,4.1927725155022,4
"Brackenwood Lane",3.71252552976865,0.53444330000704,4.24696882977569,4
"Broad Spit ",1.76264014226444,0.708366209768568,2.47100635203301,4
"Browns Point Lighthouse",4.04099414942206,0.819905233633828,4.86089938305589,4
"Cap Sante",2.08457272505771,1.4930171009124,3.57758982597012,4
"Chambers Bay Park",2.04661232545368,1.61617234127213,3.66278466672581,4
"Cherry Point Aquatic Reserve, Conoco Phillips",2.90261227274399,1.49579284242102,4.39840511516501,4
"Chimacum Creek delta",4.97987073906036,1.273030949032,6.25290168809236,4
"Chuckanut, Clark's Point",1.63455251591842,0.948975094295092,2.58352761021352,4
"Commencement Bay Skookum",2.27454017663565,1.18938181926976,3.46392199590541,4
"Commencement Bay, Dick Gilmur Launch",1.54316230021926,0.85620549122552,2.39936779144478,4
"Commencement Bay, Milwaukee Waterway",4.68341916489898,1.29338045917264,5.97679962407163,5
"Des Moines Marina",3.04493436761108,1.26297250474434,4.30790687235542,4
"Discovery Bay",2.57249487208171,0.749517756585802,3.32201262866751,4
"Donkey Creek Delta",5.8112253250863,0.581264105961081,6.39248943104738,4
"Eagle Harbor Dr",1.54877288569698,1.49007083274881,3.03884371844579,4
"Eastsound, Fishing Bay",4.80911508765605,1.35525847213076,6.16437355978681,4
"Edmonds Ferry",11.7349985574569,1.06031789177702,12.795316449234,4
"Edmonds Marina",2.59613859551719,1.00128041425577,3.59741900977297,4
"Eld Inlet",2.3740832917573,0.88528334686131,3.25936663861861,4
"Elliot Bay Myrtle Edwards",0.991091661341697,1.02496434940906,2.01605601075075,5
"Elliott Bay, Harbor Island, Pier 17",4.01400655894496,1.14498809391828,5.15899465286323,4
