site_name,latitude,longitude,arsenic,cadmium,copper,lead,mercury,zinc
Aiston Preserve,48.6793778,-122.6300583,1210,276,825,29.6,5.52,12900
Arroyo Beach,47.50159,-122.38577,1640,332,956,41.2,6.12,17700
Blair Waterway,47.2758,-122.4174,1420,284,1020,44.7,5.61,17300
Blair Waterway Two,47.2632,-122.3856,1390,283,1350,30.7,0,14200
Brackenwood Ln,47.68203,-122.50668,1470,314,1050,37.2,6.33,15300
Broad Spit,47.80934,-122.81556,1180,315,774,10.7,0,10400
Browns Point Lighthouse,47.304906,-122.44427,1490,301,1220,45.9,5.8,15900
Cap Sante,48.52093,-122.600725,1270,312,869,29.5,4.86,13300
Chambers Bay Park,47.2009,-122.58342,1390,308,924,39.4,5.03,14400
"Cherry Point Aquatic Reserve, Conoco Phillips",48.820783,-122.710133,1380,331,923,33.5,5.75,12800
Chimacum Creek delta,48.04887,-122.7711,1420,312,5180,49.6,5.55,16100
"Chuckanut, Clark's Point",48.691084,-122.504012,1360,290,1790,43.1,6.36,15800
Commencement Bay Skookum,47.28915,-122.4096,1300,304,1030,45.1,5.23,14200
"Commencement Bay, Dick Gilmur Launch",47.2925,-122.4122,1220,267,975,45.1,5.45,12600
"Commencement Bay, Milwaukee Waterway",47.2694,-122.4243,1270,264,1660,38.9,5.54,12300
Des Moines Marina,47.402778,-122.331667,1400,323,1060,45.7,6.7,15400
Discovery Bay,48.064974,-122.857218,1560,353,1030,38.4,5.96,16900
Donkey Creek Delta,47.337909,-122.59023,1480,321,1220,147,5.02,15400
Eagle Harbor Dr,47.618875,-122.527234,1400,317,1390,103,7.54,13000
"Eastsound, Fishing Bay",48.69395,-122.909933,1670,320,1110,38.2,5.55,16800
Edmonds Ferry,47.8142069,-122.3822018,1470,305,1230,57.5,6.45,15700
Edmonds Marina,47.81094,-122.387955,1440,304,1490,57.6,9.04,14200
Eld Inlet,47.0769,-123.0034725,1540,298,1080,43.6,4.97,16000
Elliot Bay Myrtle Edwards,47.62052,-122.36373,1340,295,1050,46.7,6.45,14600
"Elliott Bay, Harbor Island, Pier 17",47.5876989,-122.3505105,1390,316,1580,48.6,5.81,16500
Everett Harbor,47.97252,-122.22982,1320,269,1020,57.7,6.53,11500
"Fidalgo Bay Aq Reserve, Weaverling Spit",48.48425,-122.58392,1410,290,1540,39.7,6.6,13600
Filucy Bay,47.19483,-122.748665,1380,296,977,38.9,7.2,13200
Friday Harbor,48.5069444,-123.0194444,1690,320,1260,33.1,6,16800
Gig Harbor Boat Launch,47.3372,-122.58284,1360,310,1080,75.5,5.99,13800
Hood Canal Holly,47.570193,-122.971775,1430,356,1040,13.1,4.44,12700
Jamestown,48.027069,-122.999191,1380,294,1160,27.5,5,12400
Kingston Marina,47.7947,-122.5003,1230,292,853,33.1,7.27,12500
Kitsap St Boat Launch,47.541533,-122.640383,1590,302,1620,99.4,6.16,17000
Kopachuck State Park,47.3115,-122.68725,1280,318,837,26.6,6.13,12900
Lions Park,47.583016,-122.64217,1370,308,987,55.8,5.84,15100
Locust Beach,48.76652,-122.5395,1470,291,1120,41,5.13,13600
Madrona Pont,47.579985,-122.67853,1540,303,998,90,5.38,15000
"Manchester, Stormwater Outfall",47.556111,-122.542778,1290,305,808,42.7,4.71,13200
Maple Hollow Park,47.29954,-122.74554,1510,349,889,24.9,6.19,14000
Maristone Island Bridge,48.018181,-122.699838,1300,309,869,24.9,4.64,12000
"Meyer's Point, Henderson Inlet",47.117944,-122.833528,1170,298,866,30.7,5.27,11300
Miller Creek,47.443611,-122.361944,1420,321,873,38.4,6.78,14300
Minter Bay,47.35399,-122.69176,1480,352,1310,41.2,5.78,15600
Mukilteo,47.949831,-122.301703,1260,288,1120,41.2,7.85,11000
N Avenue Park,48.52108,-122.61531,1810,339,1020,78.7,6.41,16700
North Camano,48.25523,-122.50817,1560,304,1150,45.7,7.84,12900
Oak Bay County Park,48.022466,-122.728123,1340,312,912,30.2,5.94,12200
Penn Cove Reference,48.214071,-122.719097,1440,325,972,33.6,6.67,12700
Penrose Point State Park,47.2609094,-122.7447771,1390,311,956,25.4,5.88,14000
Point Defiance Ferry,47.3061098,-122.514771,1480,283,1270,72.7,5.01,17000
Port Angeles Yacht Club,48.128267,-123.457133,1470,305,1220,44,4.81,15700
"Purdy, Dexters",47.385334,-122.628902,1570,331,1010,33.9,6.69,15000
"Purdy, Burley Lagoon",47.387021,-122.6367,1540,315,1120,42.2,6.14,15500
