site_name,avg_p450,avg_sod
Aiston Preserve,4712860.314,3.381684647
Arroyo Beach,4750942.745,8.197321878
Blair Waterway,4337758.739,6.517562309
Blair Waterway #2,4425866.372,10.79622215
Brackenwood Ln,1773623.904,7.194038853
Broad Spit (Fisherman's Point),2286051.526,7.116003488
Browns Point Lighthouse,8047751.654,2.311767254
Cap Sante,4611059.398,18.50459184
Chambers Bay Park,8752275.273,11.61690437
"Cherry Point Aquatic Reserve, Conoco Phillips",3716200.119,3.863908288
Chimacum Creek delta,2641298.752,1.80051685
"Chuckanut, Clark's Point",2740842.886,11.2110419
Comm Bay Skookum,5760190.081,9.07430531
"Comm Bay, Dick Gilmur Launch",3676584.787,14.00873683
"Comm Bay, Milwaukee Waterway",7394026.589,8.040569912
Des Moines Marina,8935555.429,8.792656395
Discovery Bay,3982486.122,9.332538704
Donkey Creek Delta,2884111.412,2.407837279
Eagle Harbor Dr,1846400.668,12.6098516
"Eastsound, Fishing Bay",3018580.71,7.534952207
Edmonds Ferry,8264243.773,0.206329647
Edmonds Marina,20688192.68,13.85400356
Eld Inlet,9802343.137,9.861263047
Elliot Bay Myrtle Edwards,2435519.65,11.72580418
"Elliott Bay, Harbor Island, Pier 17",9192957.592,5.500254008
Everett Harbor,5813892.783,1.28999742
"Fidalgo Bay Aq Reserve, Weaverling Spit",3204999.239,11.87749221
Filucy Bay,10877772.12,5.009127417
Friday Harbor,5444136.674,5.14738837
Gig Harbor Boat Launch,3843185.751,14.97195681
Hood Canal Holly,788014.8961,1.640458193
Jamestown,3175079.08,7.752782309
Kingston Marina,5460804.691,4.370895609
Kitsap St Boat Launch,2852984.356,10.7481244
Kopachuck State Park,7013734.566,4.725888249
Lions Park,6373166.26,10.42413956
Locust Beach,2368800.337,6.150276481
Madrona Pont,7017559.738,4.520043667
"Manchester, Stormwater Outfall",7715455.876,2.792783701
Maple Hollow Park,13508380.28,2.576942008
Maristone Island,4711148.229,5.722065262
Meyer's Point - Henderson Inlet,2252669.398,15.21190078
Miller Creek,15899206.45,3.631343581
Minter Bay,8029786.948,5.009746273
Mukilteo,8713508.039,7.606435702
N Avenue Park,6764939.012,0.692149127
North Camano,12423809.12,3.101924016
Oak Bay County Park,2335225.716,11.83915658
Penn Cove Reference,2290809.301,12.59276789
Pennrose Point State Park,7562838.824,4.423060585
Point Defiance Ferry,2116286.931,6.454028929
Port Angeles Yacht Club,5668182.301,7.9878217
Purdy - Dexters,4578794.023,0.734050309
"Purdy, Burley Lagoon",3937234.94,10.05044241
Raft Island Park,4185580.798,3.042678154
Reach Island,5721094.954,4.58367038
Rich Passage,5061124.659,2.319743024
Rocky Point,9469801.367,9.895474753
S of Skunk Island,4092598.466,10.11133775
"Salmon Bay, Commodore Park",4444677.291,3.794299859
Salmon Beach,1550935.053,7.299085618
"Seattle Aquarium, Pier 59",3037049.482,15.6176361
Shilshole Bay,2710238.957,9.906528332
"Silverdale, Dyes Inlet",1419996.096,28.25379124
Skiff Point,5612257.852,4.778817931
"Smith Cove, Terminal 91",3958466.348,7.5954936
Squaxin Island,6185908.673,5.883833595
Suquamish Stormwater Outfall,3575218.321,5.819212897
Thea Foss Waterway,3660949.966,11.78727617
Three Tree Point,7868514.826,7.915689936
Tulalip Bay,5438866.58,6.253865979
Tulalip Reservation,5097254.763,3.733327306
West Bay Park,8508351.558,4.627812352
Williams Olson Park,3067078.444,6.391730801
