latitude,longitude,site_name,p450,sod,ci1,ci2,ci3,shell,site_number,reporting_area,km4,km5,hc4,hc5,p16,p42,plmw,phmw,pcb
48.6793778,-122.6300583,Aiston Preserve,4712860.25,3.440125,0.033,0.69325,0.0525,0.81125,77,7,2,4,4,4,1,1,1,1,1
47.50161,-122.38593,Arroyo Beach,4750942.667,6.83175,0.032,0.665833333,0.0525,0.87,13,11,4,2,1,1,3,3,3,4,3
47.27568,-122.4173,Blair Waterway,4337758.5,6.51775,0.03425,0.71225,0.05875,0.83875,41,11,1,2,1,1,4,4,5,5,3
47.2632444,-122.385731,Blair Waterway #2,4425866.25,10.796,0.03175,0.64725,0.052,0.8575,42,11,1,2,1,1,4,5,5,6,4
47.68234,-122.5064,Brackenwood Ln,1773623.75,7.573125,0.0345,0.693,0.0525,0.67125,23,10,4,1,2,2,3,3,3,4,2
47.78184,-122.83474,Broad Spit (Fisherman's Point),2286051.5,7.116,0.03425,0.71025,0.052,0.66375,30,12,3,5,1,1,1,1,1,1,2
47.30515,-122.44441,Browns Point Lighthouse,8047751.75,2.3115,0.0365,0.6985,0.057,0.84875,54,11,1,2,1,1,3,4,4,4,3
48.520971,-122.600717,Cap Sante,4611059.25,18.5045,0.033,0.68525,0.0485,0.79,64,7,2,4,4,4,1,3,4,3,1
47.1905742,-122.5834897,Chambers Bay Park,8752275,11.61675,0.03125,0.63375,0.047,1.05625,56,13,1,2,1,1,2,2,1,2,3
48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips",3716200,3.864,0.0345,0.6565,0.0505,0.86875,75,7,2,4,4,4,3,3,3,4,2
48.04906,-122.7724,Chimacum Creek delta,2641298.75,1.903875,0.03225,0.63525,0.052,0.90375,8,9,3,5,3,3,2,2,2,1,1
48.68975,-122.50434,"Chuckanut, Clark's Point",2740842.75,11.211,0.03375,0.69025,0.055,0.7275,74,7,2,4,4,4,2,2,2,2,1
47.29,-122.41,Comm Bay Skookum,5760190,9.0745,0.0325,0.66725,0.053,0.755,45,11,1,2,1,1,5,5,5,5,5
47.292549,-122.412175,"Comm Bay, Dick Gilmur Launch",3676585,14.00875,0.03475,0.70825,0.05225,0.8325,48,11,1,2,1,1,5,4,5,5,5
47.2694,-122.4243,"Comm Bay, Milwaukee Waterway",7394026.6,8.1685,0.0356,0.6736,0.0534,0.821,49,11,1,2,1,1,4,4,4,4,4
47.40301418,-122.3305538,Des Moines Marina,8935555.25,8.79275,0.03225,0.653,0.049,0.995,21,11,4,2,1,1,5,5,5,6,4
48.064957,-122.857524,Discovery Bay,3982486.25,9.3325,0.03375,0.68325,0.059,0.79375,12,6,3,5,3,3,2,2,2,3,1
47.33775,-122.59014,Donkey Creek Delta,2884111.333,2.500625,0.03475,0.71175,0.052,0.73375,44,11,1,2,1,1,4,4,4,5,5
47.61889,-122.5275,Eagle Harbor Dr,1846400.75,12.60975,0.04425,0.70175,0.058,0.8925,31,10,4,1,2,2,5,5,4,6,5
48.69368,-122.90985,"Eastsound, Fishing Bay",3018580.5,7.731875,0.03225,0.68475,0.0495,0.465,60,7,2,4,4,4,4,4,4,5,1
47.81407,-122.3825,Edmonds Ferry,8264243.75,0.206375,0.0385,0.703,0.057,0.69,69,9,4,1,2,2,4,4,4,5,3
47.8111,-122.388,Edmonds Marina,20688193,13.85375,0.034,0.69675,0.0515,0.765,68,9,4,1,2,2,5,4,4,5,3
47.074603,-123.003527,Eld Inlet,9802343.25,9.86125,0.034,0.7155,0.06225,0.7075,72,13,1,3,1,1,1,2,1,2,2
47.61862,-122.36108,Elliot Bay Myrtle Edwards,2435519.6,11.726,0.035,0.6948,0.0582,0.824,19,10,4,1,2,2,5,5,5,6,5
