SiteName,Analyte,Units,DryValue,Comments
Aiston Preserve,Sum40CBs,ng/g,23.1332244,NA
Arroyo Beach,Sum40CBs,ng/g,34.8193076,NA
Blair Waterway,Sum40CBs,ng/g,37.4048874,NA
Blair Waterway #2,Sum40CBs,ng/g,42.1555716,NA
Brackenwood Ln,Sum40CBs,ng/g,29.4975031,NA
Broad Spit,Sum40CBs,ng/g,23.4427694,NA
Browns Point Lighthouse,Sum40CBs,ng/g,40.3696984,NA
Cap Sante,Sum40CBs,ng/g,22.2824818,NA
Chambers Bay Park,Sum40CBs,ng/g,35.3918228,NA
"Cherry Point Aquatic Reserve, Conoco Phillips",Sum40CBs,ng/g,30.1834098,NA
Chimacum Creek delta,Sum40CBs,ng/g,22.461244,NA
"Chuckanut, Clark's Point",Sum40CBs,ng/g,22.378803,NA
Comm Bay Skookum,Sum40CBs,ng/g,72.5424453,NA
"Comm Bay, Dick Gilmur Launch",Sum40CBs,ng/g,71.6167453,NA
"Comm Bay, Milwaukee Waterway",Sum40CBs,ng/g,47.1132075,NA
Des Moines Marina,Sum40CBs,ng/g,44.1020728,NA
Discovery Bay,Sum40CBs,ng/g,11.7676906,NA
Donkey Creek Delta,Sum40CBs,ng/g,79.3453237,NA
Eagle Harbor Dr,Sum40CBs,ng/g,75.6208156,NA
"Eastsound, Fishing Bay",Sum40CBs,ng/g,15.9810544,NA
Edmonds Ferry,Sum40CBs,ng/g,35.6621963,NA
Edmonds Marina,Sum40CBs,ng/g,40.999446,NA
Eld Inlet,Sum40CBs,ng/g,31.1021596,NA
Elliot Bay Myrtle Edwards,Sum40CBs,ng/g,120.784217,NA
"Elliott Bay, Harbor Island, Pier 17",Sum40CBs,ng/g,108.407468,NA
Everett Harbor,Sum40CBs,ng/g,34.618573,NA
"Fidalgo Bay Aq Reserve, Weaverling Spit",Sum40CBs,ng/g,22.8947563,NA
Filucy Bay,Sum40CBs,ng/g,41.5164718,NA
Friday Harbor,Sum40CBs,ng/g,16.2941597,NA
Gig Harbor Boat Launch,Sum40CBs,ng/g,55.4091376,NA
Hood Canal Holly,Sum40CBs,ng/g,18.4396313,NA
Jamestown,Sum40CBs,ng/g,32.4813118,NA
Kingston Marina,Sum40CBs,ng/g,36.4014621,NA
Kitsap St Boat Launch,Sum40CBs,ng/g,116.330655,NA
Kopachuck State Park,Sum40CBs,ng/g,31.7126787,NA
Lions Park,Sum40CBs,ng/g,58.5767232,NA
Locust Beach,Sum40CBs,ng/g,20.4806998,NA
Madrona Pont,Sum40CBs,ng/g,53.0332314,NA
"Manchester, Stormwater Outfall",Sum40CBs,ng/g,41.0468175,NA
Maple Hollow Park,Sum40CBs,ng/g,35.9876543,NA
Maristone Island,Sum40CBs,ng/g,31.0443073,NA
Meyer's Point - Henderson Inlet,Sum40CBs,ng/g,49.0690299,NA
Miller Creek,Sum40CBs,ng/g,43.8475248,NA
Minter Bay,Sum40CBs,ng/g,31.5795918,NA
Mukilteo,Sum40CBs,ng/g,31.0727741,NA
N Avenue Park,Sum40CBs,ng/g,26.5913151,NA
North Camano,Sum40CBs,ng/g,19.0437956,NA
Oak Bay County Park,Sum40CBs,ng/g,30.1376775,NA
Penn Cove Reference,Sum40CBs,ng/g,24.8711427,NA
Penrose Point State Park,Sum40CBs,ng/g,42.2481409,NA
Point Defiance Ferry,Sum40CBs,ng/g,48.0586584,NA
Port Angeles Yacht Club,Sum40CBs,ng/g,57.6989691,NA
Purdy - Dexters,Sum40CBs,ng/g,32.6997544,NA
"Purdy, Burley Lagoon",Sum40CBs,ng/g,44.9307355,NA
Raft Island Park,Sum40CBs,ng/g,33.0675579,NA
Reach Island,Sum40CBs,ng/g,21.0172131,NA
Rich Passage,Sum40CBs,ng/g,55.8984598,NA
Rocky Point,Sum40CBs,ng/g,60.8863081,NA
S of Skunk Island,Sum40CBs,ng/g,18.0173959,NA
"Salmon Bay, Commodore Park",Sum40CBs,ng/g,96.7352941,NA
Salmon Beach,Sum40CBs,ng/g,34.5307544,NA
"Seattle Aquarium, Pier 59",Sum40CBs,ng/g,110.165354,NA
Shilshole Bay,Sum40CBs,ng/g,90.2056632,NA
"Silverdale, Dyes Inlet",Sum40CBs,ng/g,68.540724,NA
Skiff Point,Sum40CBs,ng/g,21.310099,NA
"Smith Cove, Terminal 91",Sum40CBs,ng/g,143.065541,NA
Squaxin Island,Sum40CBs,ng/g,25.2470225,NA
"Suquamish, Stormwater Outfall",Sum40CBs,ng/g,48.3309332,NA
Thea Foss Waterway,Sum40CBs,ng/g,61.6602883,NA
Three Tree Point,Sum40CBs,ng/g,37.1142644,NA
Tulalip Bay,Sum40CBs,ng/g,33.7424941,NA
Tulalip Reservation,Sum40CBs,ng/g,22.9909958,NA
West Bay Park,Sum40CBs,ng/g,46.5653827,NA
Williams Olson Park,Sum40CBs,ng/g,40.3679095,NA
