"site_number","latitude","longitude","site_name","avg_p450","avg_SOD"
1,48.12823,-123.45715,"Port Angeles Yacht Club",5751355,7.3855
2,48.024789,-122.998135,"Jamestown",3263515,24.4873333333333
3,48.21423,-122.718972,"Penn Cove Reference",2427656.25,23.86
7,48.255358,-122.507014,"North Camano",12290521,0.75175
8,48.04906,-122.7724,"Chimacum Creek delta",2641573.75,2.193375
9,48.02667,-122.75076,"S of Skunk Island",3556922.75,11.307
10,48.02218,-122.728709,"Oak Bay County Park",2335145,19.80775
11,48.018127,-122.699524,"Maristone Island",4772560.83333333,5.67875
12,48.064957,-122.857524,"Discovery Bay",4029897.5,8.739125
13,47.50161,-122.38593,"Arroyo Beach",4480859.83333333,8.83258333333333
14,47.58766,-122.35065,"Elliott Bay, Harbor Island, Pier 17",9194071.75,5.56325
15,47.63237,-122.37869,"Smith Cove, Terminal 91",3958924,19.66125
16,47.6663,-122.4018,"Salmon Bay, Commodore Park",3756618.5,1.48175
17,47.607,-122.342,"Seattle Aquarium, Pier 59",3135234,23.887625
18,47.671678,-122.406663,"Shilshole Bay",2862823.75,9.90675
19,47.61862,-122.36108,"Elliot Bay Myrtle Edwards",2469547.6,34.8252
20,47.4436,-122.360316,"Miller Creek",5747266.5,4.015375
21,47.40301418,-122.3305538,"Des Moines Marina",4886367.5,9.63975
22,47.44896,-122.372267,"Three Tree Point",7417010.25,8.125125
23,47.68234,-122.5064,"Brackenwood Ln",1857011.75,9.835125
24,47.66142,-122.49884,"Skiff Point",5664098.75,4.23625
25,47.54167,-122.64034,"Kitsap St Boat Launch",2885042.5,30.745
26,47.66586,-122.56698,"Williams Olson Park",2970859,6.457625
27,47.60255,-122.66992,"Rocky Point",4508401,9.8955
28,47.57995505,-122.6786,"Madrona Pont",5804701,3.8715
29,47.5706,-122.9717,"Hood Canal Holly",788472,1.64041666666667
30,47.78184,-122.83474,"Broad Spit (Fisherman's Point)",2311730.75,7.11625
31,47.61889,-122.5275,"Eagle Harbor Dr",1846200.75,25.1675
32,47.578117,-122.524833,"Rich Passage",3203053.25,2.245
33,47.55622,-122.54281,"Manchester, Stormwater Outfall",6122829.75,2.682375
34,47.7296079,-122.5506191,"Suquamish Stormwater Outfall",4338555.5,5.81925
35,47.6427936,-122.6967068,"Silverdale, Dyes Inlet",1652091.25,26.031
36,47.794695,-122.499858,"Kingston Marina",5281103,4.064
37,47.5833538,-122.6414587,"Lions Park",6543253.75,14.79325
38,47.17650485,-122.9046464,"Squaxin Island",6368736.25,5.85875
39,47.346537,-122.82236,"Reach Island",5905498,4.58375
40,47.29464,-122.53053,"Salmon Beach",1904018.75,18.330875
41,47.27568,-122.4173,"Blair Waterway",4879642.5,6.51775
42,47.2632444,-122.385731,"Blair Waterway #2",3714917.5,10.796
43,47.3062,-122.5145,"Point Defiance Ferry",2181856.75,10.88425
44,47.33775,-122.59014,"Donkey Creek Delta (PSS13175 - 000049)",3185175,2.500625
45,47.29,-122.41,"Comm Bay Skookum",5919817,8.9185
46,47.259189,-122.434689,"Thea Foss Waterway",3423037.5,18.6908
47,47.386977,-122.6367089,"Purdy, Burley Lagoon",3937679,11.214
48,47.292549,-122.412175,"Comm Bay, Dick Gilmur Launch",3792068,41.29775
49,47.2694,-122.4243,"Comm Bay, Milwaukee Waterway",7608741.8,6.3977
50,47.2619,-122.7376,"Pennrose Point State Park",4193869.5,4.4995
51,47.30008,-122.74566,"Maple Hollow Park",3639570,4.6215
52,47.30973,-122.68868,"Kopachuck State Park",7285132.25,4.726
53,47.32598,-122.66724,"Raft Island Park",4523051.5,3.778125
54,47.30515,-122.44441,"Browns Point Lighthouse",7401612.25,1.378875
55,47.3539722,-122.69175,"Minter Bay",6206748.75,1.991375
56,47.1905742,-122.5834897,"Chambers Bay Park",4502337.75,9.687875
57,47.38566,-122.627255,"Purdy - Dexters",4743078.25,1.760875
58,47.33785,-122.58277,"Gig Harbor Boat Launch",4097009.75,7.509375
59,47.19483,-122.748665,"Filucy Bay",6265039.75,5.313125
60,48.69368,-122.90985,"Eastsound, Fishing Bay",2504169,11.961125
61,48.5069444,-123.0194444,"Friday Harbor",3954243.2,6.7096
62,48.52108,-122.61531,"N Avenue Park",4183302,1.443625
63,48.482448,-122.583879,"Fidalgo Bay Aq Reserve, Weaverling Spit",3345616,18.015
64,48.520971,-122.600717,"Cap Sante",3728576,41.12025
65,47.94968,-122.30158,"Mukilteo",5076322.75,7.6065
66,47.9726,-122.22977,"Everett Harbor",5271456.5,0.375875
67,48.0617,-122.2939,"Tulalip Bay",5544824.5,6.25383333333333
68,47.8111,-122.388,"Edmonds Marina",16253739,16.62475
69,47.81407,-122.3825,"Edmonds Ferry",4710936.75,0.206375
70,48.0697859,-122.2997764,"Tulalip Reservation",3773556.5,3.182125
71,47.11795,-122.83359,"Meyer's Point - Henderson Inlet",2519276.5,24.0125
72,47.074603,-123.003527,"Eld Inlet",4644880.75,20.791
73,47.052362,-122.910912,"West Bay Park",5731487.25,2.996125
74,48.68975,-122.50434,"Chuckanut, Clark's Point",3006723.75,12.7025
75,48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips",3716208.75,4.46775
76,48.77636877,-122.5378679,"Locust Beach",2401828,5.4015
77,48.6793778,-122.6300583,"Aiston Preserve",3752617.75,3.440125
