SiteName,Analyte,Units,DryValue,Comments
Aiston Preserve,SumPAHs42_DMNcorrected,ng/g,97.40305011,NA
Arroyo Beach,SumPAHs42_DMNcorrected,ng/g,408.2263648,NA
Blair Waterway,SumPAHs42_DMNcorrected,ng/g,715.0934356,NA
Blair Waterway #2,SumPAHs42_DMNcorrected,ng/g,1038.615533,NA
Brackenwood Ln,SumPAHs42_DMNcorrected,ng/g,389.3670412,NA
Broad Spit,SumPAHs42_DMNcorrected,ng/g,127.2607482,NA
Browns Point Lighthouse,SumPAHs42_DMNcorrected,ng/g,438.80107,NA
Cap Sante,SumPAHs42_DMNcorrected,ng/g,375.6189781,NA
Chambers Bay Park,SumPAHs42_DMNcorrected,ng/g,182.8577513,NA
"Cherry Point Aquatic Reserve, Conoco Phillips",SumPAHs42_DMNcorrected,ng/g,325.9808253,NA
Chimacum Creek delta,SumPAHs42_DMNcorrected,ng/g,168.4593301,NA
"Chuckanut, Clark's Point",SumPAHs42_DMNcorrected,ng/g,206.5735661,NA
Comm Bay Skookum,SumPAHs42_DMNcorrected,ng/g,857.3198078,NA
"Comm Bay, Dick Gilmur Launch",SumPAHs42_DMNcorrected,ng/g,781.2735849,NA
"Comm Bay, Milwaukee Waterway",SumPAHs42_DMNcorrected,ng/g,599.0107817,NA
Des Moines Marina,SumPAHs42_DMNcorrected,ng/g,15313.21971,NA
Discovery Bay,SumPAHs42_DMNcorrected,ng/g,235.3538124,NA
Donkey Creek Delta,SumPAHs42_DMNcorrected,ng/g,522.3567146,NA
Eagle Harbor Dr,SumPAHs42_DMNcorrected,ng/g,1031.19294,NA
"Eastsound, Fishing Bay",SumPAHs42_DMNcorrected,ng/g,518.0065898,NA
Edmonds Ferry,SumPAHs42_DMNcorrected,ng/g,526.1635514,NA
Edmonds Marina,SumPAHs42_DMNcorrected,ng/g,702.8476454,NA
Eld Inlet,SumPAHs42_DMNcorrected,ng/g,171.5981221,NA
Elliot Bay Myrtle Edwards,SumPAHs42_DMNcorrected,ng/g,12078.4217,NA
"Elliott Bay, Harbor Island, Pier 17",SumPAHs42_DMNcorrected,ng/g,3195.16749,NA
Everett Harbor,SumPAHs42_DMNcorrected,ng/g,372.815402,NA
"Fidalgo Bay Aq Reserve, Weaverling Spit",SumPAHs42_DMNcorrected,ng/g,699.5619988,NA
Filucy Bay,SumPAHs42_DMNcorrected,ng/g,148.2731137,NA
Friday Harbor,SumPAHs42_DMNcorrected,ng/g,532.693683,NA
Gig Harbor Boat Launch,SumPAHs42_DMNcorrected,ng/g,418.6468172,NA
Hood Canal Holly,SumPAHs42_DMNcorrected,ng/g,88.78341014,NA
Jamestown,SumPAHs42_DMNcorrected,ng/g,119.3191046,NA
Kingston Marina,SumPAHs42_DMNcorrected,ng/g,273.0109661,NA
Kitsap St Boat Launch,SumPAHs42_DMNcorrected,ng/g,758.678184,NA
Kopachuck State Park,SumPAHs42_DMNcorrected,ng/g,141.6949476,NA
Lions Park,SumPAHs42_DMNcorrected,ng/g,289.592789,NA
Locust Beach,SumPAHs42_DMNcorrected,ng/g,147.2050301,NA
Madrona Pont,SumPAHs42_DMNcorrected,ng/g,259.1396534,NA
"Manchester, Stormwater Outfall",SumPAHs42_DMNcorrected,ng/g,369.4213572,NA
Maple Hollow Park,SumPAHs42_DMNcorrected,ng/g,176.6666667,NA
Maristone Island,SumPAHs42_DMNcorrected,ng/g,134.0549635,NA
Meyer's Point - Henderson Inlet,SumPAHs42_DMNcorrected,ng/g,200.7369403,NA
Miller Creek,SumPAHs42_DMNcorrected,ng/g,285.962118,NA
Minter Bay,SumPAHs42_DMNcorrected,ng/g,164.4770408,NA
Mukilteo,SumPAHs42_DMNcorrected,ng/g,440.1976325,NA
N Avenue Park,SumPAHs42_DMNcorrected,ng/g,2333.523573,NA
North Camano,SumPAHs42_DMNcorrected,ng/g,165.0462287,NA
Oak Bay County Park,SumPAHs42_DMNcorrected,ng/g,141.0699797,NA
Penn Cove Reference,SumPAHs42_DMNcorrected,ng/g,160.9309232,NA
Penrose Point State Park,SumPAHs42_DMNcorrected,ng/g,204.6394325,NA
Point Defiance Ferry,SumPAHs42_DMNcorrected,ng/g,694.8239772,NA
Port Angeles Yacht Club,SumPAHs42_DMNcorrected,ng/g,1983.402062,NA
Purdy - Dexters,SumPAHs42_DMNcorrected,ng/g,149.1567745,NA
"Purdy, Burley Lagoon",SumPAHs42_DMNcorrected,ng/g,215.4213346,NA
Raft Island Park,SumPAHs42_DMNcorrected,ng/g,147.7486631,NA
Reach Island,SumPAHs42_DMNcorrected,ng/g,192.6577869,NA
Rich Passage,SumPAHs42_DMNcorrected,ng/g,338.9587459,NA
Rocky Point,SumPAHs42_DMNcorrected,ng/g,310.5201711,NA
S of Skunk Island,SumPAHs42_DMNcorrected,ng/g,294.2841328,NA
"Salmon Bay, Commodore Park",SumPAHs42_DMNcorrected,ng/g,1041.764706,NA
Salmon Beach,SumPAHs42_DMNcorrected,ng/g,428.6576402,NA
"Seattle Aquarium, Pier 59",SumPAHs42_DMNcorrected,ng/g,3304.96063,NA
Shilshole Bay,SumPAHs42_DMNcorrected,ng/g,1954.456036,NA
"Silverdale, Dyes Inlet",SumPAHs42_DMNcorrected,ng/g,370.1199095,NA
Skiff Point,SumPAHs42_DMNcorrected,ng/g,449.879868,NA
"Smith Cove, Terminal 91",SumPAHs42_DMNcorrected,ng/g,7153.277061,NA
Squaxin Island,SumPAHs42_DMNcorrected,ng/g,174.7870787,NA
"Suquamish, Stormwater Outfall",SumPAHs42_DMNcorrected,ng/g,425.312212,NA
Thea Foss Waterway,SumPAHs42_DMNcorrected,ng/g,1103.394632,NA
Three Tree Point,SumPAHs42_DMNcorrected,ng/g,312.2311133,NA
Tulalip Bay,SumPAHs42_DMNcorrected,ng/g,356.8917647,NA
Tulalip Reservation,SumPAHs42_DMNcorrected,ng/g,253.4904661,NA
West Bay Park,SumPAHs42_DMNcorrected,ng/g,384.6705525,NA
Williams Olson Park,SumPAHs42_DMNcorrected,ng/g,301.2530562,NA
