"Group1","Group2","Z","P.unadj","P.adj","Significant","Group1_CLD","Group2_CLD"
"Edmonds Ferry","Locust Beach",3.48415866986074,5e-04,0.1482,"No","a","a"
"Edmonds Ferry","Jamestown",3.86536149629112,1e-04,0.1498,"No","a","a"
"Edmonds Ferry","Point Defiance Ferry",3.48415866986074,5e-04,0.1667,"No","a","a"
"Edmonds Ferry","Fidalgo Bay Aq Reserve, Weaverling Spit",3.4959162356758,5e-04,0.1823,"No","a","a"
"Elliot Bay Myrtle Edwards","Maple Hollow Park",-3.39253119460861,7e-04,0.187,"No","a","a"
"Elliot Bay Myrtle Edwards","Everett Harbor",-3.06616738022225,0.0022,0.1952,"No","a","a"
"Commencement Bay, Dick Gilmur Launch","Edmonds Ferry",-3.09223980935897,0.002,0.1987,"No","a","a"
"Elliot Bay Myrtle Edwards","Miller Creek",-3.10334806793715,0.0019,0.1988,"No","a","a"
"Edmonds Ferry","Meyer's Point, Henderson Inlet",3.28036086239982,0.001,0.2,"No","a","a"
"Edmonds Ferry","Smith Cove, Terminal 91",3.06872467772887,0.0021,0.2002,"No","a","a"
"Hood Canal Holly","Locust Beach",3.11117952348645,0.0019,0.2013,"No","a","a"
"Eagle Harbor Dr","Edmonds Ferry",-3.14710844982922,0.0016,0.2024,"No","a","a"
"Jamestown","North Camano",-3.50902124728094,4e-04,0.2025,"No","a","a"
"Elliot Bay Myrtle Edwards","Purdy, Dexters",-3.07442975527,0.0021,0.2034,"No","a","a"
"Locust Beach","North Camano",-3.15886601564427,0.0016,0.2037,"No","a","a"
"Everett Harbor","Jamestown",2.97236424575959,0.003,0.2047,"No","a","a"
"Locust Beach","Maple Hollow Park",-2.97858333981346,0.0029,0.2058,"No","a","a"
"Meyer's Point, Henderson Inlet","North Camano",-2.95506820818335,0.0031,0.2059,"No","a","a"
"Brackenwood Lane","Edmonds Ferry",-3.02953279167869,0.0024,0.2067,"No","a","a"
"Fidalgo Bay Aq Reserve, Weaverling Spit","Hood Canal Holly",-3.12405929152296,0.0018,0.2095,"No","a","a"
"Hood Canal Holly","Point Defiance Ferry",3.11117952348645,0.0019,0.2097,"No","a","a"
"North Camano","Oak Bay County Park",2.95506820818335,0.0031,0.2111,"No","a","a"
"Maple Hollow Park","Point Defiance Ferry",2.97858333981346,0.0029,0.2114,"No","a","a"
"Broad Spit ","Edmonds Ferry",-3.00209847144357,0.0027,0.213,"No","a","a"
"Jamestown","Miller Creek",-3.01100354986913,0.0026,0.2131,"No","a","a"
"Chuckanut, Clark's Point","Edmonds Ferry",-3.02953279167869,0.0024,0.2134,"No","a","a"
"North Camano","Point Defiance Ferry",3.15886601564427,0.0016,0.2139,"No","a","a"
"Fidalgo Bay Aq Reserve, Weaverling Spit","Maple Hollow Park",-2.99034090562851,0.0028,0.2151,"No","a","a"
"Edmonds Ferry","Oak Bay County Park",3.28036086239982,0.001,0.2154,"No","a","a"
"Jamestown","Purdy, Dexters",-2.98095075778393,0.0029,0.2156,"No","a","a"
"Fidalgo Bay Aq Reserve, Weaverling Spit","North Camano",-3.17062358145933,0.0015,0.2162,"No","a","a"
"Edmonds Ferry","Gig Harbor Boat Launch",2.93155307655325,0.0034,0.2169,"No","a","a"
"Hood Canal Holly","Jamestown",3.53280452199268,4e-04,0.2221,"No","a","a"
"Edmonds Ferry","Penn Cove Reference",3.17454277006435,0.0015,0.2252,"No","a","a"
"North Camano","Silverdale, Dyes Inlet",2.86492687026795,0.0042,0.2253,"No","a","a"
"Edmonds Ferry","Silverdale, Dyes Inlet",3.19021952448442,0.0014,0.2259,"No","a","a"
"North Camano","Purdy, Burley Lagoon",2.86884605887296,0.0041,0.2271,"No","a","a"
"Jamestown","Maple Hollow Park",-3.31153147072108,9e-04,0.2278,"No","a","a"
"Elliot Bay Myrtle Edwards","N Avenue Park",-3.28512031898778,0.001,0.2294,"No","a","a"
"Elliot Bay Myrtle Edwards","North Camano",-3.582565820707,3e-04,0.2297,"No","a","a"
"Locust Beach","N Avenue Park",-2.876684436083,0.004,0.231,"No","a","a"
"Edmonds Ferry","Salmon Beach",2.86884605887296,0.0041,0.2318,"No","a","a"
"North Camano","Penn Cove Reference",2.84925011584788,0.0044,0.2321,"No","a","a"
"Hood Canal Holly","Meyer's Point, Henderson Inlet",2.88793021085356,0.0039,0.2328,"No","a","a"
"Edmonds Ferry","Elliot Bay Myrtle Edwards",3.92545438518887,1e-04,0.2338,"No","a","a"
"N Avenue Park","Point Defiance Ferry",2.876684436083,0.004,0.236,"No","a","a"
"Edmonds Ferry","Purdy, Burley Lagoon",3.19413871308943,0.0014,0.2368,"No","a","a"
"Hood Canal Holly","Smith Cove, Terminal 91",2.65609438619634,0.0079,0.2372,"No","a","a"
"Filucy Bay","Jamestown",2.66324981288329,0.0077,0.2375,"No","a","a"
"Jamestown","Manchester, Stormwater Outfall",-2.65895655687112,0.0078,0.2379,"No","a","a"
"Hood Canal Holly","Oak Bay County Park",2.88793021085356,0.0039,0.238,"No","a","a"
"Browns Point Lighthouse","Elliot Bay Myrtle Edwards",2.66544219040608,0.0077,0.2387,"No","a","a"
"Everett Harbor","Locust Beach",2.66896744001706,0.0076,0.239,"No","a","a"
"Maple Hollow Park","Penn Cove Reference",2.66896744001706,0.0076,0.2418,"No","a","a"
"Fidalgo Bay Aq Reserve, Weaverling Spit","N Avenue Park",-2.88844200189805,0.0039,0.2432,"No","a","a"
"Everett Harbor","Point Defiance Ferry",2.66896744001706,0.0076,0.2446,"No","a","a"
"Meyer's Point, Henderson Inlet","N Avenue Park",-2.67288662862208,0.0075,0.2447,"No","a","a"
"Eagle Harbor Dr","Maple Hollow Park",-2.64153311978194,0.0083,0.245,"No","a","a"
"Jamestown","N Avenue Park",-3.19990681440464,0.0014,0.2475,"No","a","a"
"N Avenue Park","Oak Bay County Park",2.67288662862208,0.0075,0.2477,"No","a","a"
"Eagle Harbor Dr","North Camano",-2.82181579561275,0.0048,0.248,"No","a","a"
"Elliot Bay Myrtle Edwards","Port Angeles Yacht Club",-2.6751906186479,0.0075,0.249,"No","a","a"
"Broad Spit ","North Camano",-2.6768058172271,0.0074,0.2509,"No","a","a"
"Elliott Bay, Harbor Island, Pier 17","Jamestown",2.62890376478593,0.0086,0.2515,"No","a","a"
"Locust Beach","Purdy, Dexters",-2.6768058172271,0.0074,0.2541,"No","a","a"
"Brackenwood Lane","Hood Canal Holly",-2.61316182607463,0.009,0.2551,"No","a","a"
"Elliot Bay Myrtle Edwards","Manchester, Stormwater Outfall",-2.76459069097915,0.0057,0.2566,"No","a","a"
"Edmonds Ferry","Kitsap St Boat Launch",2.61801798815183,0.0088,0.2569,"No","a","a"
"Point Defiance Ferry","Purdy, Dexters",-2.6768058172271,0.0074,0.2574,"No","a","a"
"Gig Harbor Boat Launch","North Camano",-2.60626042233678,0.0092,0.2575,"No","a","a"
"Everett Harbor","Fidalgo Bay Aq Reserve, Weaverling Spit",2.68072500583211,0.0073,0.2577,"No","a","a"
"Chuckanut, Clark's Point","Hood Canal Holly",-2.61316182607463,0.009,0.2578,"No","a","a"
"Commencement Bay, Dick Gilmur Launch","North Camano",-2.7669471551425,0.0057,0.259,"No","a","a"
"N Avenue Park","Silverdale, Dyes Inlet",2.58274529070667,0.0098,0.2596,"No","a","a"
"Jamestown","Tulalip Bay",-2.57920330138234,0.0099,0.2597,"No","a","a"
"Commencement Bay, Dick Gilmur Launch","Hood Canal Holly",-2.68185392226937,0.0073,0.2602,"No","a","a"
"Blair Waterway","Edmonds Ferry",-2.59842204512674,0.0094,0.2608,"No","a","a"
"Maple Hollow Park","Silverdale, Dyes Inlet",2.68464419443713,0.0073,0.2615,"No","a","a"
"Broad Spit ","Hood Canal Holly",-2.58310903398944,0.0098,0.2618,"No","a","a"
"Edmonds Ferry","Lions Park",2.56314934768158,0.0104,0.2618,"No","a","a"
"Elliot Bay Myrtle Edwards","Filucy Bay",-2.76872187850303,0.0056,0.2621,"No","a","a"
"Elliot Bay Myrtle Edwards","Tulalip Bay",-2.6873949554118,0.0072,0.2628,"No","a","a"
"Friday Harbor","Jamestown",2.58365809291861,0.0098,0.264,"No","a","a"
"Hood Canal Holly","Penn Cove Reference",2.77201229852495,0.0056,0.264,"No","a","a"
"Locust Beach","Miller Creek",-2.70424013746222,0.0068,0.2642,"No","a","a"
"Jamestown","Port Angeles Yacht Club",-2.56640328499831,0.0103,0.2643,"No","a","a"
"Hood Canal Holly","Silverdale, Dyes Inlet",2.78918532257364,0.0053,0.2643,"No","a","a"
"Maple Hollow Park","Smith Cove, Terminal 91",2.56314934768158,0.0104,0.2643,"No","a","a"
"Commencement Bay, Dick Gilmur Launch","Maple Hollow Park",-2.58666447931169,0.0097,0.2644,"No","a","a"
"Browns Point Lighthouse","Jamestown",2.55591841257902,0.0106,0.2649,"No","a","a"
"Maple Hollow Park","Purdy, Burley Lagoon",2.68856338304215,0.0072,0.2655,"No","a","a"
"Hood Canal Holly","Purdy, Burley Lagoon",2.79347857858581,0.0052,0.2657,"No","a","a"
"Eagle Harbor Dr","Hood Canal Holly",-2.74195950643976,0.0061,0.2661,"No","a","a"
"Maple Hollow Park","Meyer's Point, Henderson Inlet",2.77478553235254,0.0055,0.2664,"No","a","a"
"N Avenue Park","Penn Cove Reference",2.5670685362866,0.0103,0.2664,"No","a","a"
"Elliot Bay Myrtle Edwards","Elliott Bay, Harbor Island, Pier 17",-2.73567237831201,0.0062,0.2669,"No","a","a"
"N Avenue Park","Purdy, Burley Lagoon",2.58666447931169,0.0097,0.2671,"No","a","a"
"Brackenwood Lane","North Camano",-2.70424013746222,0.0068,0.268,"No","a","a"
"Fidalgo Bay Aq Reserve, Weaverling Spit","Purdy, Dexters",-2.68856338304215,0.0072,0.2692,"No","a","a"
"North Camano","Smith Cove, Terminal 91",2.7434320235124,0.0061,0.2692,"No","a","a"
"Elliot Bay Myrtle Edwards","Friday Harbor",-2.69216936062838,0.0071,0.2701,"No","a","a"
"Maple Hollow Park","Oak Bay County Park",2.77478553235254,0.0055,0.2713,"No","a","a"
"Arroyo Beach","Edmonds Ferry",-2.53731430319295,0.0112,0.2718,"No","a","a"
"Chuckanut, Clark's Point","North Camano",-2.70424013746222,0.0068,0.2719,"No","a","a"
"North Camano","Salmon Beach",2.54355340465649,0.011,0.2719,"No","a","a"
"Eagle Harbor Dr","N Avenue Park",-2.53963421605148,0.0111,0.2725,"No","a","a"
"Fidalgo Bay Aq Reserve, Weaverling Spit","Miller Creek",-2.71599770327727,0.0066,0.2746,"No","a","a"
"Miller Creek","Point Defiance Ferry",2.70424013746222,0.0068,0.276,"No","a","a"
"Chambers Bay Park","Edmonds Ferry",-2.70815932606724,0.0068,0.2769,"No","a","a"
"Brackenwood Lane","Maple Hollow Park",-2.52395746163141,0.0116,0.2774,"No","a","a"
"Edmonds Ferry","Maristone Island",2.71763105570412,0.0066,0.2775,"No","a","a"
"Chuckanut, Clark's Point","Maple Hollow Park",-2.52395746163141,0.0116,0.2798,"No","a","a"
"Meyer's Point, Henderson Inlet","Miller Creek",-2.5004423300013,0.0124,0.2888,"No","a","a"
"Gig Harbor Boat Launch","Hood Canal Holly",-2.50583042577036,0.0122,0.2894,"No","a","a"
"Broad Spit ","Maple Hollow Park",-2.49652314139628,0.0125,0.2895,"No","a","a"
"Elliot Bay Myrtle Edwards","Hood Canal Holly",-3.5966180443227,3e-04,0.2903,"No","a","a"
"Miller Creek","Oak Bay County Park",2.5004423300013,0.0124,0.2913,"No","a","a"
"Commencement Bay, Dick Gilmur Launch","N Avenue Park",-2.48476557558123,0.013,0.2967,"No","a","a"
"Cap Sante","Edmonds Ferry",-2.46516963255614,0.0137,0.3007,"No","a","a"
"Meyer's Point, Henderson Inlet","Purdy, Dexters",-2.47300800976618,0.0134,0.3016,"No","a","a"
"N Avenue Park","Smith Cove, Terminal 91",2.46125044395112,0.0138,0.3016,"No","a","a"
"Everett Harbor","Meyer's Point, Henderson Inlet",2.46516963255614,0.0137,0.3032,"No","a","a"
"Oak Bay County Park","Purdy, Dexters",-2.47300800976618,0.0134,0.3041,"No","a","a"
"Elliot Bay Myrtle Edwards","Rich Passage",-2.4547516266883,0.0141,0.3046,"No","a","a"
"Everett Harbor","Oak Bay County Park",2.46516963255614,0.0137,0.3057,"No","a","a"
"Elliott Bay, Harbor Island, Pier 17","Locust Beach",2.35543235161564,0.0185,0.3123,"No","a","a"
"Everett Harbor","Penn Cove Reference",2.35935154022066,0.0183,0.313,"No","a","a"
"Maristone Island","North Camano",-2.36129080669394,0.0182,0.3133,"No","a","a"
"Edmonds Ferry","Edmonds Marina",2.44165450092603,0.0146,0.3134,"No","a","a"
"Elliot Bay Myrtle Edwards","Madrona Pont",-2.35147193859135,0.0187,0.3137,"No","a","a"
"Elliott Bay, Harbor Island, Pier 17","Point Defiance Ferry",2.35543235161564,0.0185,0.3143,"No","a","a"
"Elliott Bay, Harbor Island, Pier 17","Fidalgo Bay Aq Reserve, Weaverling Spit",2.3671899174307,0.0179,0.3144,"No","a","a"
"Edmonds Ferry","Thea Foss Waterway",2.36221302615344,0.0182,0.3145,"No","a","a"
"Hood Canal Holly","Salmon Beach",2.43713832957563,0.0148,0.3148,"No","a","a"
"Maple Hollow Park","Salmon Beach",2.36327072882568,0.0181,0.3157,"No","a","a"
"Everett Harbor","Silverdale, Dyes Inlet",2.37502829464073,0.0175,0.316,"No","a","a"
"Eagle Harbor Dr","Miller Creek",-2.3671899174307,0.0179,0.3164,"No","a","a"
"Elliot Bay Myrtle Edwards","Reach Island",-2.37625906373462,0.0175,0.317,"No","a","a"
"Locust Beach","Manchester, Stormwater Outfall",-2.38286667185077,0.0172,0.3178,"No","a","a"
"Brackenwood Lane","N Avenue Park",-2.42205855790094,0.0154,0.3182,"No","a","a"
"Penn Cove Reference","Purdy, Dexters",-2.3671899174307,0.0179,0.3185,"No","a","a"
"Everett Harbor","Purdy, Burley Lagoon",2.37894748324575,0.0174,0.319,"No","a","a"
"Elliot Bay Myrtle Edwards","West Bay Park",-2.37625906373462,0.0175,0.3192,"No","a","a"
"Aiston Preserve","Elliot Bay Myrtle Edwards",2.36799668868687,0.0179,0.3199,"No","a","a"
"Chambers Bay Park","North Camano",-2.38286667185077,0.0172,0.32,"No","a","a"
"Chuckanut, Clark's Point","N Avenue Park",-2.42205855790094,0.0154,0.3206,"No","a","a"
"Eagle Harbor Dr","Purdy, Dexters",-2.33975559719557,0.0193,0.3217,"No","a","a"
"Donkey Creek Delta","Elliot Bay Myrtle Edwards",2.40930856392565,0.016,0.3222,"No","a","a"
"Gig Harbor Boat Launch","Maple Hollow Park",-2.42597774650596,0.0153,0.3222,"No","a","a"
"Manchester, Stormwater Outfall","Point Defiance Ferry",2.38286667185077,0.0172,0.3222,"No","a","a"
"Jamestown","Rich Passage",-2.33696235595831,0.0194,0.3222,"No","a","a"
"Eagle Harbor Dr","Everett Harbor",-2.33191721998554,0.0197,0.3226,"No","a","a"
"Miller Creek","Purdy, Burley Lagoon",2.41422018069091,0.0158,0.3227,"No","a","a"
"Edmonds Ferry","Shilshole Bay",2.42205855790094,0.0154,0.3231,"No","a","a"
"Filucy Bay","Locust Beach",2.38678586045579,0.017,0.3233,"No","a","a"
"Miller Creek","Silverdale, Dyes Inlet",2.41030099208589,0.0159,0.3237,"No","a","a"
"Purdy, Dexters","Silverdale, Dyes Inlet",2.38286667185077,0.0172,0.3245,"No","a","a"
"Edmonds Ferry","Suquamish Stormwater Outfall",2.33191721998554,0.0197,0.3245,"No","a","a"
"Fidalgo Bay Aq Reserve, Weaverling Spit","Manchester, Stormwater Outfall",-2.39462423766582,0.0166,0.3256,"No","a","a"
"Filucy Bay","Point Defiance Ferry",2.38678586045579,0.017,0.3256,"No","a","a"
"Edmonds Ferry","South of Skunk Island",2.3907050490608,0.0168,0.3268,"No","a","a"
"Gig Harbor Boat Launch","N Avenue Park",-2.3240788427755,0.0201,0.3274,"No","a","a"
"Purdy, Burley Lagoon","Purdy, Dexters",-2.38678586045579,0.017,0.3279,"No","a","a"
"Broad Spit ","N Avenue Park",-2.39462423766582,0.0166,0.328,"No","a","a"
"Fidalgo Bay Aq Reserve, Weaverling Spit","Filucy Bay",-2.39854342627084,0.0165,0.3293,"No","a","a"
"Chimacum Creek delta","Elliot Bay Myrtle Edwards",2.31842243840033,0.0204,0.3304,"No","a","a"
"Miller Creek","Penn Cove Reference",2.39462423766582,0.0166,0.3304,"No","a","a"
"Edmonds Ferry","Three Tree Point",2.24569507067515,0.0247,0.3306,"No","a","a"
"Commencement Bay, Milwaukee Waterway","Elliot Bay Myrtle Edwards",2.24347446719032,0.0249,0.3309,"No","a","a"
"Aiston Preserve","Jamestown",2.24680397970272,0.0247,0.3313,"No","a","a"
"Locust Beach","Port Angeles Yacht Club",-2.24680397970272,0.0247,0.3329,"No","a","a"
"Commencement Bay, Dick Gilmur Launch","Miller Creek",-2.31232127696045,0.0208,0.3338,"No","a","a"
"Hood Canal Holly","Maristone Island",2.24960287949353,0.0245,0.3339,"No","a","a"
"Lions Park","North Camano",-2.23785669346511,0.0252,0.3341,"No","a","a"
"Point Defiance Ferry","Port Angeles Yacht Club",-2.24680397970272,0.0247,0.3346,"No","a","a"
"Edmonds Ferry","Eld Inlet",2.30840208835543,0.021,0.3353,"No","a","a"
"Brackenwood Lane","Miller Creek",-2.24961425928017,0.0245,0.3355,"No","a","a"
"Commencement Bay, Dick Gilmur Launch","Purdy, Dexters",-2.28488695672532,0.0223,0.3368,"No","a","a"
"Chuckanut, Clark's Point","Miller Creek",-2.24961425928017,0.0245,0.3373,"No","a","a"
"Friday Harbor","Locust Beach",2.28537293820931,0.0223,0.3382,"No","a","a"
"Elliot Bay Myrtle Edwards","Raft Island Park",-2.25232343801828,0.0243,0.3383,"No","a","a"
"Browns Point Lighthouse","Locust Beach",2.28880614533034,0.0221,0.339,"No","a","a"
"Edmonds Ferry","Skiff Point",2.24961425928017,0.0245,0.339,"No","a","a"
"Everett Harbor","Smith Cove, Terminal 91",2.25353344788518,0.0242,0.339,"No","a","a"
"Jamestown","Reach Island",-2.25539049172707,0.0241,0.3392,"No","a","a"
"Jamestown","Madrona Pont",-2.22963095565404,0.0258,0.3396,"No","a","a"
"Friday Harbor","Point Defiance Ferry",2.28537293820931,0.0223,0.3402,"No","a","a"
"Browns Point Lighthouse","Fidalgo Bay Aq Reserve, Weaverling Spit",2.3005637111454,0.0214,0.3403,"No","a","a"
"Fidalgo Bay Aq Reserve, Weaverling Spit","Friday Harbor",-2.29776650078094,0.0216,0.3408,"No","a","a"
"Edmonds Ferry","Rocky Point",2.2574526364902,0.024,0.3409,"No","a","a"
"Jamestown","West Bay Park",-2.25539049172707,0.0241,0.3409,"No","a","a"
"Browns Point Lighthouse","Point Defiance Ferry",2.28880614533034,0.0221,0.341,"No","a","a"
"Broad Spit ","Miller Creek",-2.22217993904504,0.0263,0.3411,"No","a","a"
"Fidalgo Bay Aq Reserve, Weaverling Spit","Tulalip Bay",-2.27113243043836,0.0231,0.3415,"No","a","a"
