"Group1","Group2","Z","P.unadj","P.adj","Significant"
"Eagle Harbor Dr","Lions Park",4.23471507851395,0,0.0309,"Yes"
"Edmonds Ferry","Lions Park",3.9740870796975,1e-04,0.0477,"Yes"
"Eagle Harbor Dr","Gig Harbor Boat Launch",4.2464727325959,0,0.0587,"No"
"Edmonds Ferry","Gig Harbor Boat Launch",3.98584473377944,1e-04,0.0605,"No"
"Lions Park","Point Defiance Ferry",-3.5860844949933,3e-04,0.0907,"No"
"Gig Harbor Boat Launch","Maple Hollow Park",-3.31369884209491,9e-04,0.0921,"No"
"Lions Park","Maple Hollow Park",-3.30194118801296,0.001,0.0926,"No"
"Eagle Harbor Dr","Reach Island",3.31565845110856,9e-04,0.095,"No"
"Browns Point Lighthouse","Lions Park",3.46458873614654,5e-04,0.0956,"No"
"Eagle Harbor Dr","Madrona Pont",3.51945778852895,4e-04,0.0973,"No"
"Browns Point Lighthouse","Gig Harbor Boat Launch",3.47634639022848,5e-04,0.0981,"No"
"Eagle Harbor Dr","Kingston Marina",3.49594248036506,5e-04,0.0981,"No"
"Eagle Harbor Dr","North Camano",3.43911381896899,6e-04,0.0985,"No"
"Eagle Harbor Dr","Tulalip Reservation",3.31565845110856,9e-04,0.0988,"No"
"Edmonds Ferry","Penrose Point State Park",3.2725470528081,0.0011,0.0993,"No"
"Chambers Bay Park","Eagle Harbor Dr",-3.58804410400696,3e-04,0.1,"No"
"Edmonds Ferry","Madrona Pont",3.25882978971249,0.0011,0.1007,"No"
"Eagle Harbor Dr","Penrose Point State Park",3.53317505162455,4e-04,0.1008,"No"
"Commencement Bay Skookum","Eagle Harbor Dr",-3.31957766913588,9e-04,0.1015,"No"
"Eagle Harbor Dr","Mukilteo",3.32349688716319,9e-04,0.1044,"No"
"Edmonds Ferry","Kingston Marina",3.2353144815486,0.0012,0.1059,"No"
"Arroyo Beach","Eagle Harbor Dr",-3.21495734572893,0.0013,0.1068,"No"
"Chambers Bay Park","Edmonds Ferry",-3.32741610519051,9e-04,0.1076,"No"
"Lions Park","Meyer's Point, Henderson Inlet",-3.20396073733008,0.0014,0.1077,"No"
"Blair Waterway Two","Edmonds Ferry",-3.3372141502588,8e-04,0.1088,"No"
"Fidalgo Bay Aq Reserve, Weaverling Spit","Lions Park",3.59588254006159,3e-04,0.1092,"No"
"Gig Harbor Boat Launch","Meyer's Point, Henderson Inlet",-3.21571839141203,0.0013,0.1098,"No"
"Eagle Harbor Dr","Eastsound, Fishing Bay",3.34701219532708,8e-04,0.1103,"No"
"Eagle Harbor Dr","Shilshole Bay",3.17260699311156,0.0015,0.1133,"No"
"Edmonds Ferry","North Camano",3.17848582015254,0.0015,0.1142,"No"
"Lions Park","Seattle Aquarium, Pier 59",-3.3509314133544,8e-04,0.1145,"No"
"Gig Harbor Boat Launch","Seattle Aquarium, Pier 59",-3.36268906743634,8e-04,0.1158,"No"
"Commencement Bay, Milwaukee Waterway","Gig Harbor Boat Launch",3.14716228202181,0.0016,0.1204,"No"
"Des Moines Marina","Eagle Harbor Dr",-3.36660828546366,8e-04,0.1209,"No"
"Commencement Bay, Milwaukee Waterway","Lions Park",3.1347686264087,0.0017,0.1222,"No"
"Blair Waterway Two","Eagle Harbor Dr",-3.59784214907525,3e-04,0.1238,"No"
"Des Moines Marina","Edmonds Ferry",-3.10598028664721,0.0019,0.1313,"No"
"Eagle Harbor Dr","Purdy, Burley Lagoon",3.04327279821016,0.0023,0.1345,"No"
"Edmonds Ferry","Reach Island",3.05503045229211,0.0023,0.1351,"No"
"Chimacum Creek delta","Eagle Harbor Dr",-3.08050536946966,0.0021,0.1361,"No"
"Eagle Harbor Dr","Locust Beach",3.04523240722382,0.0023,0.1365,"No"
"Eastsound, Fishing Bay","Edmonds Ferry",-3.08638419651063,0.002,0.1368,"No"
"Edmonds Ferry","Tulalip Reservation",3.05503045229211,0.0023,0.1381,"No"
"Commencement Bay Skookum","Edmonds Ferry",-3.05894967031942,0.0022,0.1395,"No"
"Edmonds Ferry","Mukilteo",3.06286888834674,0.0022,0.141,"No"
"Gig Harbor Boat Launch","Point Defiance Ferry",-3.59784214907525,3e-04,0.1444,"No"
"Eagle Harbor Dr","Kitsap St Boat Launch",2.9864441368141,0.0028,0.1525,"No"
"Aiston Preserve","Eagle Harbor Dr",-2.99036335484141,0.0028,0.1536,"No"
"Eagle Harbor Dr","West Bay Park",2.99232296385507,0.0028,0.1558,"No"
"Chambers Bay Park","Fidalgo Bay Aq Reserve, Weaverling Spit",-2.9492115655546,0.0032,0.1594,"No"
"Blair Waterway Two","Fidalgo Bay Aq Reserve, Weaverling Spit",-2.95900961062289,0.0031,0.1603,"No"
"Chambers Bay Park","Point Defiance Ferry",-2.93941352048631,0.0033,0.1615,"No"
