"Group1","Group2","Z","P.unadj","P.adj","Significant","Group1_CLD","Group2_CLD"
"Chambers Bay Park","Rocky Point",-3.27480266359427,0.0011,0.0621,"No","a","a"
"Minter Bay","Shilshole Bay",-3.27676244974843,0.0011,0.063,"No","a","a"
"Blair Waterway Two","Raft Island Park",-3.26108416051518,0.0011,0.0638,"No","a","a"
"Chambers Bay Park","Eld Inlet",-3.27872223590258,0.001,0.064,"No","a","a"
"Cherry Point Aquatic Reserve, Conoco Phillips","Three Tree Point",-3.25324501589856,0.0011,0.0642,"No","a","a"
"Madrona Pont","Three Tree Point",-3.24736565743609,0.0012,0.0642,"No","a","a"
"Gig Harbor Boat Launch","Rocky Point",-3.30811902821492,9e-04,0.065,"No","a","a"
"Chimacum Creek delta","Manchester, Stormwater Outfall",-3.27872223590258,0.001,0.0655,"No","a","a"
"Locust Beach","Madrona Pont",3.29048095282752,0.001,0.0659,"No","a","a"
"Cherry Point Aquatic Reserve, Conoco Phillips","Locust Beach",-3.29636031128999,0.001,0.0661,"No","a","a"
"Chambers Bay Park","Point Defiance Ferry",-3.2826418082109,0.001,0.0661,"No","a","a"
"Blair Waterway Two","Shilshole Bay",-3.30811902821492,9e-04,0.0668,"No","a","a"
"Minter Bay","Raft Island Park",-3.22972758204869,0.0012,0.0669,"No","a","a"
"Kingston Marina","Raft Island Park",-3.31007881436908,9e-04,0.0681,"No","a","a"
"Elliott Bay, Harbor Island, Pier 17","Shilshole Bay",-3.21796886512376,0.0013,0.0684,"No","a","a"
"Eld Inlet","Gig Harbor Boat Launch",3.31203860052323,9e-04,0.0695,"No","a","a"
"Des Moines Marina","Locust Beach",-3.48449978208894,5e-04,0.0701,"No","a","a"
"Gig Harbor Boat Launch","Salmon Bay, Commodore Park",-3.35123432360635,8e-04,0.0701,"No","a","a"
"Des Moines Marina","Shilshole Bay",-3.20425036204467,0.0014,0.0703,"No","a","a"
"Fidalgo Bay Aq Reserve, Weaverling Spit","Gig Harbor Boat Launch",3.12977848818675,0.0017,0.0705,"No","a","a"
"Gig Harbor Boat Launch","Point Defiance Ferry",-3.31595817283154,9e-04,0.0705,"No","a","a"
"Des Moines Marina","Manchester, Stormwater Outfall",-3.33947560668141,8e-04,0.0708,"No","a","a"
"Blair Waterway","Chambers Bay Park",3.1317382743409,0.0017,0.0711,"No","a","a"
"Des Moines Marina","Three Tree Point",-3.44138448669751,6e-04,0.0711,"No","a","a"
"Filucy Bay","Locust Beach",-3.13369806049506,0.0017,0.0717,"No","a","a"
"Kingston Marina","Manchester, Stormwater Outfall",-3.49233892670556,5e-04,0.0718,"No","a","a"
"Chambers Bay Park","Donkey Creek Delta",-3.13761763280337,0.0017,0.0719,"No","a","a"
"Elliott Bay, Harbor Island, Pier 17","Manchester, Stormwater Outfall",-3.3531941097605,8e-04,0.0719,"No","a","a"
"Filucy Bay","Three Tree Point",-3.09058276510363,0.002,0.0719,"No","a","a"
"Suquamish Stormwater Outfall","Three Tree Point",-3.11018062664519,0.0019,0.0721,"No","a","a"
"Chambers Bay Park","Tulalip Bay",-3.31686497115878,9e-04,0.0723,"No","a","a"
"Blair Waterway Two","Point Defiance Ferry",-3.00827174662909,0.0026,0.0724,"No","a","a"
"Kingston Marina","Salmon Bay, Commodore Park",-3.09254255125779,0.002,0.0724,"No","a","a"
"Broad Spit ","Chambers Bay Park",3.0474674697122,0.0023,0.0725,"No","a","a"
"Chambers Bay Park","Fidalgo Bay Aq Reserve, Weaverling Spit",-3.0964621235661,0.002,0.0725,"No","a","a"
"Chimacum Creek delta","Locust Beach",-3.42374641131011,6e-04,0.0725,"No","a","a"
"Kingston Marina","Maristone Island",-3.11291534510048,0.0019,0.0725,"No","a","a"
"Chambers Bay Park","Rich Passage",-3.13957741895753,0.0017,0.0725,"No","a","a"
"Blair Waterway Two","Eld Inlet",-3.00435217432078,0.0027,0.0726,"No","a","a"
"Manchester, Stormwater Outfall","Minter Bay",3.41198769438518,6e-04,0.0726,"No","a","a"
"Blair Waterway Two","Salmon Bay, Commodore Park",-3.04354789740389,0.0023,0.0726,"No","a","a"
