"Group1","Group2","Z","P.unadj","P.adj","Significant"
"Eagle Harbor Dr","Lions Park",4.23471507851395,0,0.0318,"Yes"
"Edmonds Ferry","Lions Park",3.9740870796975,1e-04,0.049,"Yes"
"Eagle Harbor Dr","Gig Harbor Boat Launch",4.2464727325959,0,0.0603,"No"
"Edmonds Ferry","Gig Harbor Boat Launch",3.98584473377944,1e-04,0.0622,"No"
"Lions Park","Point Defiance Ferry",-3.5860844949933,3e-04,0.0932,"No"
"Gig Harbor Boat Launch","Maple Hollow Park",-3.31369884209491,9e-04,0.0946,"No"
"Lions Park","Maple Hollow Park",-3.30194118801296,0.001,0.0952,"No"
"Eagle Harbor Dr","Reach Island",3.31565845110856,9e-04,0.0976,"No"
"Browns Point Lighthouse","Lions Park",3.46458873614654,5e-04,0.0982,"No"
"Eagle Harbor Dr","Madrona Pont",3.51945778852895,4e-04,0.1,"No"
"Browns Point Lighthouse","Gig Harbor Boat Launch",3.47634639022848,5e-04,0.1008,"No"
"Eagle Harbor Dr","Kingston Marina",3.49594248036506,5e-04,0.1008,"No"
"Eagle Harbor Dr","North Camano",3.43911381896899,6e-04,0.1012,"No"
"Eagle Harbor Dr","Tulalip Reservation",3.31565845110856,9e-04,0.1015,"No"
"Edmonds Ferry","Penrose Point State Park",3.2725470528081,0.0011,0.102,"No"
"Chambers Bay Park","Eagle Harbor Dr",-3.58804410400696,3e-04,0.1027,"No"
"Edmonds Ferry","Madrona Pont",3.25882978971249,0.0011,0.1035,"No"
"Eagle Harbor Dr","Penrose Point State Park",3.53317505162455,4e-04,0.1036,"No"
"Commencement Bay Skookum","Eagle Harbor Dr",-3.31957766913588,9e-04,0.1042,"No"
"Eagle Harbor Dr","Mukilteo",3.32349688716319,9e-04,0.1073,"No"
"Edmonds Ferry","Kingston Marina",3.2353144815486,0.0012,0.1088,"No"
"Arroyo Beach","Eagle Harbor Dr",-3.21495734572893,0.0013,0.1097,"No"
"Chambers Bay Park","Edmonds Ferry",-3.32741610519051,9e-04,0.1106,"No"
"Lions Park","Meyer's Point, Henderson Inlet",-3.20396073733008,0.0014,0.1106,"No"
"Blair Waterway Two","Edmonds Ferry",-3.3372141502588,8e-04,0.1118,"No"
"Fidalgo Bay Aq Reserve, Weaverling Spit","Lions Park",3.59588254006159,3e-04,0.1121,"No"
"Gig Harbor Boat Launch","Meyer's Point, Henderson Inlet",-3.21571839141203,0.0013,0.1128,"No"
"Eagle Harbor Dr","Eastsound, Fishing Bay",3.34701219532708,8e-04,0.1133,"No"
"Eagle Harbor Dr","Shilshole Bay",3.17260699311156,0.0015,0.1165,"No"
"Edmonds Ferry","North Camano",3.17848582015254,0.0015,0.1174,"No"
"Lions Park","Seattle Aquarium, Pier 59",-3.3509314133544,8e-04,0.1176,"No"
"Gig Harbor Boat Launch","Seattle Aquarium, Pier 59",-3.36268906743634,8e-04,0.119,"No"
"Commencement Bay, Milwaukee Waterway","Gig Harbor Boat Launch",3.14716228202181,0.0016,0.1236,"No"
"Des Moines Marina","Eagle Harbor Dr",-3.36660828546366,8e-04,0.1242,"No"
"Commencement Bay, Milwaukee Waterway","Lions Park",3.1347686264087,0.0017,0.1256,"No"
"Blair Waterway Two","Eagle Harbor Dr",-3.59784214907525,3e-04,0.1272,"No"
"Des Moines Marina","Edmonds Ferry",-3.10598028664721,0.0019,0.1349,"No"
"Eagle Harbor Dr","Purdy, Burley Lagoon",3.04327279821016,0.0023,0.1382,"No"
"Edmonds Ferry","Reach Island",3.05503045229211,0.0023,0.1388,"No"
"Chimacum Creek delta","Eagle Harbor Dr",-3.08050536946966,0.0021,0.1399,"No"
"Eagle Harbor Dr","Locust Beach",3.04523240722382,0.0023,0.1403,"No"
"Eastsound, Fishing Bay","Edmonds Ferry",-3.08638419651063,0.002,0.1406,"No"
"Edmonds Ferry","Tulalip Reservation",3.05503045229211,0.0023,0.1419,"No"
"Commencement Bay Skookum","Edmonds Ferry",-3.05894967031942,0.0022,0.1433,"No"
"Edmonds Ferry","Mukilteo",3.06286888834674,0.0022,0.1448,"No"
"Gig Harbor Boat Launch","Point Defiance Ferry",-3.59784214907525,3e-04,0.1484,"No"
"Eagle Harbor Dr","Kitsap St Boat Launch",2.9864441368141,0.0028,0.1566,"No"
"Aiston Preserve","Eagle Harbor Dr",-2.99036335484141,0.0028,0.1578,"No"
"Eagle Harbor Dr","West Bay Park",2.99232296385507,0.0028,0.1601,"No"
"Chambers Bay Park","Fidalgo Bay Aq Reserve, Weaverling Spit",-2.9492115655546,0.0032,0.1637,"No"
"Broad Spit","Eagle Harbor Dr",-2.93605382595995,0.0033,0.1647,"No"
"Blair Waterway Two","Fidalgo Bay Aq Reserve, Weaverling Spit",-2.95900961062289,0.0031,0.1647,"No"
"Arroyo Beach","Edmonds Ferry",-2.92945367759052,0.0034,0.1653,"No"
"Chambers Bay Park","Point Defiance Ferry",-2.93941352048631,0.0033,0.1659,"No"
"Blair Waterway Two","Point Defiance Ferry",-2.9492115655546,0.0032,0.1668,"No"
"Eagle Harbor Dr","Suquamish, Stormwater Outfall",2.96096921963655,0.0031,0.1669,"No"
"Fidalgo Bay Aq Reserve, Weaverling Spit","Gig Harbor Boat Launch",3.60764019414354,3e-04,0.1715,"No"
"Edmonds Ferry","Shilshole Bay",2.91197899429511,0.0036,0.1718,"No"
"Madrona Pont","Point Defiance Ferry",-2.8708272050083,0.0041,0.1775,"No"
"Fidalgo Bay Aq Reserve, Weaverling Spit","Madrona Pont",2.88062525007659,0.004,0.1776,"No"
"Lions Park","N Avenue Park",-2.87474642303562,0.004,0.1781,"No"
"Penrose Point State Park","Point Defiance Ferry",-2.8845444681039,0.0039,0.1783,"No"
"Fidalgo Bay Aq Reserve, Weaverling Spit","Penrose Point State Park",2.89434251317219,0.0038,0.1787,"No"
"Gig Harbor Boat Launch","N Avenue Park",-2.88650407711756,0.0039,0.1802,"No"
"Fidalgo Bay Aq Reserve, Weaverling Spit","Kingston Marina",2.8571099419127,0.0043,0.1825,"No"
"Kingston Marina","Point Defiance Ferry",-2.84731189684441,0.0044,0.1854,"No"
"Blair Waterway Two","Browns Point Lighthouse",-2.82771580670783,0.0047,0.1942,"No"
"Browns Point Lighthouse","Chambers Bay Park",2.81791776163955,0.0048,0.1944,"No"
"Chimacum Creek delta","Edmonds Ferry",-2.8198773706532,0.0048,0.1961,"No"
"Edmonds Ferry","Purdy, Burley Lagoon",2.78264479939371,0.0054,0.1969,"No"
"Edmonds Ferry","Locust Beach",2.78460440840737,0.0054,0.1983,"No"
"Lions Park","Oak Bay County Park",-2.78852362643468,0.0053,0.1986,"No"
"Fidalgo Bay Aq Reserve, Weaverling Spit","North Camano",2.80028128051663,0.0051,0.1996,"No"
"North Camano","Point Defiance Ferry",-2.79048323544834,0.0053,0.2001,"No"
"Blair Waterway Two","Maple Hollow Park",-2.66506825857426,0.0077,0.2015,"No"
"Point Defiance Ferry","Reach Island",2.66702786758792,0.0077,0.2022,"No"
"Eagle Harbor Dr","Maristone Island",2.79135290578423,0.0052,0.2023,"No"
"Gig Harbor Boat Launch","Oak Bay County Park",-2.80028128051663,0.0051,0.2024,"No"
"Point Defiance Ferry","Tulalip Reservation",2.66702786758792,0.0077,0.2042,"No"
"Browns Point Lighthouse","North Camano",2.66898747660157,0.0076,0.205,"No"
"Mukilteo","Point Defiance Ferry",-2.67486630364255,0.0075,0.2054,"No"
