"Group1","Group2","Z","P.unadj","P.adj","Significant","Group1_CLD","Group2_CLD"
"Gig Harbor Boat Launch","North Camano",3.0787360980513,0.0021,0.2005,"No","a","a"
"Fidalgo Bay Aq Reserve, Weaverling Spit","North Camano",3.02382870267204,0.0025,0.2043,"No","a","a"
"Eagle Harbor Dr","Edmonds Ferry",3.00421891860802,0.0027,0.2055,"No","a","a"
"Cap Sante","Hood Canal Holly",3.23224099690858,0.0012,0.2073,"No","a","a"
"Elliot Bay Myrtle Edwards","North Camano",3.0790817548693,0.0021,0.2077,"No","a","a"
"Chambers Bay Park","North Camano",3.02775065948485,0.0025,0.208,"No","a","a"
"Edmonds Ferry","Lions Park",-3.05716533558088,0.0022,0.2081,"No","a","a"
"Edmonds Ferry","Purdy, Burley Lagoon",-3.00814087542083,0.0026,0.2088,"No","a","a"
"Hood Canal Holly","Penn Cove Reference",-3.03461172904266,0.0024,0.2098,"No","a","a"
"Edmonds Ferry","Eld Inlet",-2.9885310913568,0.0028,0.2103,"No","a","a"
"Edmonds Ferry","Thea Foss Waterway",-3.08569632362305,0.002,0.211,"No","a","a"
"Fidalgo Bay Aq Reserve, Weaverling Spit","Hood Canal Holly",3.14631522827123,0.0017,0.2127,"No","a","a"
"Everett Harbor","Silverdale, Dyes Inlet",-3.03951652992326,0.0024,0.2133,"No","a","a"
"Gig Harbor Boat Launch","Hood Canal Holly",3.20646326631738,0.0013,0.2135,"No","a","a"
"Commencement Bay, Dick Gilmur Launch","Edmonds Ferry",3.08854099008331,0.002,0.2173,"No","a","a"
"Edmonds Ferry","Oak Bay County Park",-2.8002771643422,0.0051,0.2189,"No","a","a"
"Elliot Bay Myrtle Edwards","Hood Canal Holly",3.23399100069382,0.0012,0.2198,"No","a","a"
"Chambers Bay Park","Hood Canal Holly",3.1506115167031,0.0016,0.22,"No","a","a"
"Edmonds Marina","North Camano",3.16501914793299,0.0016,0.2204,"No","a","a"
"Edmonds Ferry","Rocky Point",-2.8002771643422,0.0051,0.2224,"No","a","a"
"Cap Sante","N Avenue Park",2.80419912115501,0.005,0.2233,"No","a","a"
"Chuckanut, Clark's Point","Edmonds Ferry",2.92185782553913,0.0035,0.2238,"No","a","a"
"Hood Canal Holly","Meyer's Point, Henderson Inlet",-3.24727800642012,0.0012,0.2248,"No","a","a"
