"Group1","Group2","Diff","Lower","Upper","P.adj","Significant","Group1_CLD","Group2_CLD"
"Arroyo Beach","Aiston Preserve","1.30087972083338","-5.29160669806106","7.89336613972781","1","No","abcde","abcdef"
"Blair Waterway","Aiston Preserve","0.60892242275002","-6.61278462059985","7.83062946609989","1","No","abcdef","abcdef"
"Blair Waterway Two","Aiston Preserve","1.02409680150001","-6.19761024184987","8.24580384484988","1","No","abcdef","abcdef"
"Brackenwood Lane","Aiston Preserve","-3.09996869775002","-10.3216757410999","4.12173834559985","0.999998402329467","No","abcfg","abcdef"
"Broad Spit","Aiston Preserve","-4.19787427816659","-11.9982094028026","3.60246084646944","0.998352952099351","No","abcdefg","abcdef"
"Broad Spit","Aiston Preserve","-0.470530963499987","-11.889052389233","10.947990462233","1","No","abcdefg","abcdef"
"Browns Point Lighthouse","Aiston Preserve","0.830348758000017","-6.39135828534986","8.05205580134989","1","No","abcdef","abcdef"
"Cap Sante","Aiston Preserve","-0.470530963499981","-7.69223800684985","6.75117607984989","1","No","abcdefg","abcdef"
"Chambers Bay Park","Aiston Preserve","5.42494522000003","-1.79676182334985","12.6466522633499","0.663121500729799","No","d","abcdef"
"Cherry Point Aquatic Reserve, Conoco Phillips","Aiston Preserve","1.27320142875","-5.94850561459987","8.49490847209987","1","No","abcdef","abcdef"
"Chimacum Creek delta","Aiston Preserve","2.04819360325004","-5.17351344009983","9.26990064659991","1","No","abcde","abcdef"
"Chuckanut, Clark's Point","Aiston Preserve","-1.85444556024997","-9.07615260359985","5.3672614830999","1","No","abcefg","abcdef"
"Commencement Bay Skookum","Aiston Preserve","-1.24552313749999","-8.46723018084986","5.97618390584989","1","No","abcdefg","abcdef"
"Commencement Bay, Dick Gilmur Launch","Aiston Preserve","0.470530962750024","-6.75117608059985","7.6922380060999","1","No","abcdef","abcdef"
"Commencement Bay, Milwaukee Waterway","Aiston Preserve","0.215890676700029","-6.63522217873975","7.06700353213981","1","No","abcdef","abcdef"
"Des Moines Marina","Aiston Preserve","4.06870891600002","-3.15299812734986","11.2904159593499","0.995188081227106","No","ade","abcdef"
"Discovery Bay","Aiston Preserve","-0.38749608749998","-7.60920313084985","6.83421095584989","1","No","abcdef","abcdef"
"Donkey Creek Delta","Aiston Preserve","-1.71605410049998","-8.93776114384985","5.50565294284989","1","No","abcdefg","abcdef"
"Eagle Harbor Dr","Aiston Preserve","1.79908897599999","-5.42261806734988","9.02079601934986","1","No","abcde","abcdef"
"Eastsound, Fishing Bay","Aiston Preserve","-7.66688686775001","-14.8885939110999","-0.445179824400134","0.0193253004605496","Yes","g","abcdef"
"Edmonds Ferry","Aiston Preserve","-2.68479431849997","-9.90650136184985","4.5369127248499","0.999999994981426","No","abcfg","abcdef"
"Edmonds Marina","Aiston Preserve","-1.02409680199998","-8.24580384534985","6.1976102413499","1","No","abcdefg","abcdef"
"Eld Inlet","Aiston Preserve","-2.29729823149999","-9.51900527484987","4.92440881184988","1","No","abcefg","abcdef"
"Elliot Bay Myrtle Edwards","Aiston Preserve","0.282318577500035","-6.56879427793975","7.13343143293982","1","No","abcdef","abcdef"
"Elliott Bay, Harbor Island, Pier 17","Aiston Preserve","0.996418509250022","-6.22528853409985","8.2181255525999","1","No","abcdef","abcdef"
"Everett Harbor","Aiston Preserve","-0.774992174499981","-7.99669921784985","6.44671486884989","1","No","abcdefg","abcdef"
"Fidalgo Bay Aq Reserve, Weaverling Spit","Aiston Preserve","-1.07945338574998","-8.30116042909986","6.14225365759989","1","No","abcdefg","abcdef"
"Filucy Bay","Aiston Preserve","0.996418509750017","-6.22528853359986","8.21812555309989","1","No","abcdef","abcdef"
"Friday Harbor","Aiston Preserve","-1.35623630529999","-8.20734916073977","5.49487655013979","1","No","abcdefg","abcdef"
"Gig Harbor Boat Launch","Aiston Preserve","3.40442990925006","-3.81727713409982","10.6261369525999","0.999960699287497","No","abde","abcdef"
"Hood Canal Holly","Aiston Preserve","-2.98002943266664","-9.57251585156108","3.6124569862278","0.999990104247949","No","bcfg","abcdef"
"Jamestown","Aiston Preserve","-5.26810156633329","-11.8605879852277","1.32438485256115","0.486599635726522","No","fg","abcdef"
"Kingston Marina","Aiston Preserve","-2.49983145295118e-10","-7.22170704359986","7.22170704309989","1","No","abcdef","abcdef"
"Kitsap St Boat Launch","Aiston Preserve","0.470530962750014","-6.75117608059986","7.69223800609989","1","No","abcdef","abcdef"
"Kopachuck State Park","Aiston Preserve","-0.747313882749985","-7.96902092609986","6.47439316059989","1","No","abcdefg","abcdef"
"Lions Park","Aiston Preserve","-1.35623630549998","-8.57794334884985","5.86547073784989","1","No","abcdefg","abcdef"
"Locust Beach","Aiston Preserve","-2.74015090249999","-9.96185794584986","4.48155614084988","0.999999987932853","No","abcfg","abcdef"
"Madrona Pont","Aiston Preserve","-0.138391459999981","-7.36009850334985","7.08331558334989","1","No","abcdef","abcdef"
"Manchester, Stormwater Outfall","Aiston Preserve","-4.5392398785","-11.7609469218499","2.68246716484988","0.960498997762683","No","cfg","abcdef"
"Maple Hollow Park","Aiston Preserve","-0.802670466499984","-8.02437750984986","6.41903657684989","1","No","abcdefg","abcdef"
"Maristone Island","Aiston Preserve","-2.48182017749999","-9.07430659639443","4.11066624139445","0.999999991373504","No","abcfg","abcdef"
"Meyer's Point, Henderson Inlet","Aiston Preserve","-0.498209255249978","-7.71991629859985","6.7234977880999","1","No","abcdefg","abcdef"
"Miller Creek","Aiston Preserve","0.221426335000023","-7.00028070834985","7.4431333783499","1","No","abcdef","abcdef"
"Minter Bay","Aiston Preserve","2.35265481525003","-4.86905222809985","9.5743618585999","0.99999999998905","No","abcde","abcdef"
"Mukilteo","Aiston Preserve","-0.442852671249983","-7.66455971459986","6.77885437209989","1","No","abcdef","abcdef"
"N Avenue Park","Aiston Preserve","0.249104627000015","-6.97260241634986","7.47081167034989","1","No","abcdef","abcdef"
"North Camano","Aiston Preserve","-0.968740218499982","-8.19044726184985","6.25296682484989","1","No","abcdefg","abcdef"
"Oak Bay County Park","Aiston Preserve","-0.830348758499984","-8.05205580184986","6.39135828484989","1","No","abcdefg","abcdef"
"Penn Cove Reference","Aiston Preserve","-4.53923987849999","-11.7609469218499","2.68246716484988","0.960498997762685","No","cfg","abcdef"
"Penrose Point State Park","Aiston Preserve","1.02409680125001","-6.19761024209986","8.24580384459989","1","No","abcdef","abcdef"
"Point Defiance Ferry","Aiston Preserve","0.608922422250016","-6.61278462109986","7.83062946559989","1","No","abcdef","abcdef"
"Port Angeles Yacht Club","Aiston Preserve","-0.230652433166653","-6.82313885206109","6.36183398572779","1","No","abcdef","abcdef"
"Purdy, Burley Lagoon","Aiston Preserve","2.29729822975002","-4.92440881359985","9.5190052730999","1","No","abcde","abcdef"
"Purdy, Dexters","Aiston Preserve","0.71963559025002","-6.50207145309985","7.94134263359989","1","No","abcdef","abcdef"
"Raft Island Park","Aiston Preserve","-3.48746478449998","-10.7091718278498","3.7342422588499","0.999916826607595","No","bcfg","abcdef"
"Reach Island","Aiston Preserve","-0.913383634499983","-8.13509067784986","6.30832340884989","1","No","abcdefg","abcdef"
"Rich Passage","Aiston Preserve","-0.0276782924999797","-7.24938533584985","7.19402875084989","1","No","abcdef","abcdef"
"Rocky Point","Aiston Preserve","-2.71247261024999","-9.93417965359986","4.50923443309989","0.999999992182097","No","abcfg","abcdef"
"Salmon Bay, Commodore Park","Aiston Preserve","-2.29729823149998","-9.51900527484985","4.92440881184989","1","No","abcefg","abcdef"
"Salmon Beach","Aiston Preserve","1.16248826125002","-6.05921878209985","8.3841953045999","1","No","abcdef","abcdef"
"Seattle Aquarium, Pier 59","Aiston Preserve","0.69195729850002","-6.52974974484985","7.91366434184989","1","No","abcdef","abcdef"
"Shilshole Bay","Aiston Preserve","-5.64637155649997","-12.8680785998498","1.5753354868499","0.55024222187684","No","fg","abcdef"
"Silverdale, Dyes Inlet","Aiston Preserve","-2.74015090224998","-9.96185794559985","4.48155614109989","0.999999987932853","No","abcfg","abcdef"
"Skiff Point","Aiston Preserve","-5.59101497224999","-12.8127220155999","1.63069207109989","0.578738309689977","No","fg","abcdef"
"Smith Cove, Terminal 91","Aiston Preserve","-1.57766264074999","-8.79936968409986","5.64404440259989","1","No","abcdefg","abcdef"
"South of Skunk Island","Aiston Preserve","-0.553565838999981","-7.77527288234985","6.66814120434989","1","No","abcdefg","abcdef"
"Squaxin Island","Aiston Preserve","0.996418509500018","-6.22528853384986","8.21812555284989","1","No","abcdef","abcdef"
"Suquamish, Stormwater Outfall","Aiston Preserve","4.64995304525002","-2.57175399809986","11.8716600885999","0.942273674863891","No","de","abcdef"
"Thea Foss Waterway","Aiston Preserve","1.89873082670002","-4.95238202873977","8.7498436821398","1","No","abcde","abcdef"
"Three Tree Point","Aiston Preserve","0.0276782915000178","-7.19402875184986","7.24938533484989","1","No","abcdef","abcdef"
"Tulalip Bay","Aiston Preserve","1.39314069400002","-5.19934572489442","7.98562711289446","1","No","abcde","abcdef"
"Tulalip Reservation","Aiston Preserve","-0.608922422999982","-7.83062946634986","6.61278462034989","1","No","abcdefg","abcdef"
"West Bay Park","Aiston Preserve","-0.858027050249982","-8.07973409359986","6.36367999309989","1","No","abcdefg","abcdef"
"Williams Olson Park","Aiston Preserve","-3.09996869774998","-10.3216757410999","4.12173834559989","0.999998402329467","No","abcfg","abcdef"
"Blair Waterway","Arroyo Beach","-0.691957298083355","-7.28444371697779","5.90052912081108","1","No","abcdef","abcde"
"Blair Waterway Two","Arroyo Beach","-0.276782919333368","-6.86926933822781","6.31570349956107","1","No","abcdef","abcde"
"Brackenwood Lane","Arroyo Beach","-4.4008484185834","-10.9933348374778","2.19163800031104","0.903520217209119","No","abcfg","abcde"
"Broad Spit","Arroyo Beach","-5.49875399899997","-12.7204610423498","1.7229530443499","0.625975350277515","No","abcdefg","abcde"
"Broad Spit","Arroyo Beach","-1.77141068433336","-12.8027504086489","9.25992903998215","1","No","abcdefg","abcde"
"Browns Point Lighthouse","Arroyo Beach","-0.470530962833358","-7.0630173817278","6.12195545606108","1","No","abcdef","abcde"
"Cap Sante","Arroyo Beach","-1.77141068433336","-8.3638971032278","4.82107573456108","1","No","abcdefg","abcde"
"Chambers Bay Park","Arroyo Beach","4.12406549916665","-2.46842091972779","10.7165519180611","0.963479464332644","No","d","abcde"
"Cherry Point Aquatic Reserve, Conoco Phillips","Arroyo Beach","-0.0276782920833769","-6.62016471097782","6.56480812681106","1","No","abcdef","abcde"
"Chimacum Creek delta","Arroyo Beach","0.747313882416664","-5.84517253647777","7.3398003013111","1","No","abcde","abcde"
"Chuckanut, Clark's Point","Arroyo Beach","-3.15532528108335","-9.74781169997779","3.43716113781109","0.999936760567838","No","abcefg","abcde"
"Commencement Bay Skookum","Arroyo Beach","-2.54640285833336","-9.1388892772278","4.04608356056108","0.999999974432039","No","abcdefg","abcde"
"Commencement Bay, Dick Gilmur Launch","Arroyo Beach","-0.830348758083352","-7.42283517697779","5.76213766081109","1","No","abcdef","abcde"
"Commencement Bay, Milwaukee Waterway","Arroyo Beach","-1.08498904413335","-7.26928948325423","5.09931139498754","1","No","abcdef","abcde"
"Des Moines Marina","Arroyo Beach","2.76782919516664","-3.8246572237278","9.36031561406108","0.999999298649814","No","ade","abcde"
