"analyte","p.value","correlation"
"shell_thickness",0,1
"a1",0.0285741639722469,0.254626510951322
"a2",0.00943920199714456,0.299873369429468
"a3",0.00530447917831764,0.320934263948592
"a4",0.00976531711174902,0.298584833688847
"a5",0.00366971449604867,0.333671513798414
"a6",0.00841314029725443,0.304198110076152
"a7",0.00386351382781592,0.331923844632973
"a8",0.0106014511983646,0.295444953493309
"a9",0.00712612473578319,0.310329762910833
"a10",0.00617393304580104,0.315528338140238
"a11",0.0133093152928334,0.286573310865352
"a12",0.00318839935594848,0.33839614484736
"a13",0.00333873592974171,0.336855826260869
"a14",0.00318839935594848,0.33839614484736
"a15",0.0329885692750972,0.248198643003854
"a16",0.00385009292798698,0.332042330678088
"a17",0.00318839935594848,0.33839614484736
"a18",0.00318839935594848,0.33839614484736
"a19",0.00386351382781592,0.331923844632973
"a20",0.00712612473578319,0.310329762910833
"a21",0.113740738352373,0.185415849848744
"a22",0.183912668795895,0.156179418216711
"a23",0.00777421792168773,0.307130639692739
"a24",0.198946236381353,0.151040086009864
"a25",0.195844881571757,0.152076838904617
"a26",0.0472859141735727,0.231403246108856
"a27",0.121175236558812,0.18175759320583
"a28",0.105494180844197,0.189696158228509
"a29",0.0277893608519625,0.255855803669386
"a30",0.162606019794375,0.164014307949915
"a31",0.0099455504642294,0.297888728173798
"a32",0.0081496565579268,0.305382970527298
"a33",0.00868748654451748,0.302998438869366
"a34",0.00920902447262167,0.300806447034746
"a35",0.00751325848651091,0.308389553922082
"a36",0.00439780432362757,0.327480617941175
"a37",0.41251536951173,0.0966846128135313
"a38",0.0549420335668512,0.224086732823028
"a39",0.0029969071887108,0.340454839881226
"a40",0.203120746649734,0.149662685735406
"a41",0.00777421792168773,0.307130639692739
"a42",0.00864293525519781,0.303190978692678
"a43",0.00589222456738022,0.317201953527482
"a44",0.0045489821344592,0.326310568245668
"a45",0.00960667510263245,0.299206885425698
"a46",0.00589222456738022,0.317201953527482
"a47",0.00222477410503359,0.350170695580625
"a48",0.00864293525519781,0.303190978692678
"a49",0.00621476562693737,0.315291366050008
"a50",0.726949053544279,0.0412775759668063
"a51",0.470257883013268,0.085235898704331
"a52",0.0713542043455715,0.210845917281469
"a53",0.0418161025998859,0.237253494586391
"a54",0.116079298179416,0.184245800153237
"a55",0.0920828267121095,0.197249643604566
"a56",0.0101443978436192,0.297133379636192
"a57",0.853328524563245,0.0218606753236477
"a58",0.00537611989239002,0.320460319768134
"a59",0.00864293525519781,0.303190978692678
"a60",0.028118054762505,0.25533742722201
"a61",0.0694423654997345,0.212252939067205
"a62",0.0622758227982323,0.217821783187593
"a63",0.00318839935594848,0.33839614484736
"a64",0.0263903205287943,0.258121849282203
"a65",0.00556826152588046,0.31921621629443
"a66",0.00864293525519781,0.303190978692678
"a67",0.00556826152588046,0.31921621629443
"a68",0.00583387414099652,0.317557411662825
"a69",0.0237785446478275,0.262639129752198
"a70",0.0086088011872367,0.303339086249071
"a71",0.00751325848651091,0.308389553922082
"a72",0.00447569794385556,0.326873376959963
"a73",0.00665809060379229,0.312803159102601
"a74",0.00746199928008126,0.30864133676795
"a75",0.00452765964973824,0.326473486557701
"a76",0.00744098194646081,0.308745012057425
"a77",0.518577530948506,0.0762309592756197
"a78",0.444112912129743,0.0903159878886204
"a80",0.0344395043793128,0.246243623259463
"a81",0.254414705188897,0.13417063533667
"a82",0.206852983606543,0.148448203772982
"a83",0.105494180844197,0.189696158228509
"a84",0.10798271111881,0.188378000976609
"a85",0.226440557764264,0.1423165509383
"a86",0.285168377653926,0.125891422934286
"a87",0.223234064470949,0.143294060810496
"a88",0.0797606816096085,0.204995668803935
"a89",0.0494814455142269,0.229211254274236
"a90",0.248379385053653,0.135873872235192
"a91",0.0856878999740628,0.201159683093349
"a92",0.0253783904294795,0.259825086180726
"a93",0.0547940109876043,0.224220029623782
"a94",0.136342272164666,0.174796538055346
"a95",0.12730303529431,0.178869495856161
"a96",0.0470389419215476,0.231655028954725
"a97",0.123723939661078,0.180543111243405
"a98",0.235699847675137,0.139546939633746
"a99",0.851560072348367,0.0221272689251556
"a100",0.177265315074604,0.158549139119003
"a101",0.0790295026244703,0.205484423740033
"a102",0.136443487917481,0.174752105788428
"a103",0.0771274141559791,0.206772959480654
"a104",0.19610934471488,0.151987974370781
"a105",0.237007705560817,0.139161859987123
"a106",0.17546839581618,0.159200812367134
"a107",0.577073561249282,0.0658782410837297
"a108",0.156236705895887,0.166502514897322
"a109",0.0446827059898739,0.234113614390853
"a110",0.337739996043005,0.11300606552807
"a111",0.413019064860772,0.096580937524056
"a112",0.092033007596279,0.197279265115845
"a113",0.138513875602978,0.173848649694429
"a114",0.278255231235591,0.127698335122284
"a115",0.168176915108269,0.161896369893491
"a116",0.240910398838,0.138021431802895
"a117",0.152167882400198,0.168131698017648
"a118",0.0322507420982707,0.249220585142967
"a119",0.260818111732247,0.13239334465995
"a120",0.0942198121106217,0.195990729375224
"a121",0.0639900753142829,0.216444382913135
"a122",0.147390164711659,0.170086717762039
"a123",0.118636596053992,0.182986885923894
"a124",0.102236694670344,0.191458638149589
"a125",0.722341270610611,-0.0420033029931334
"a126",0.0925571667160975,0.196968239247419
"a127",0.264223217057769,0.131460267054673
"a128",0.134196494141924,0.175744426416263
"a129",0.538402130087582,0.0726615671665417
"a130",0.209060186787938,0.147737287502294
"a131",0.824929283133627,0.0261559881360981
