"Metric","Group","Chi_Square","P_Value"
"p450","geo_group",1.59961243208303,0.808861791919277
"p450","reporting_area",4.61363053163052,0.706994561412427
"p450","pah_group",4.61363053163052,0.706994561412427
"p450","pcb_group",12.401455419152,0.0881059536769584
"p450","site_number",73,0.477985723452686
"sod","geo_group",1.84145047956812,0.764890650410978
"sod","reporting_area",7.8595145035145,0.345144751702796
"sod","pah_group",7.8595145035145,0.345144751702796
"sod","pcb_group",11.5874109877236,0.114969786479663
"sod","site_number",73,0.477985723452686
"ci_wet_volume","geo_group",1.98728205193946,0.738098202339562
"ci_wet_volume","reporting_area",5.0998955381546,0.647773833586914
"ci_wet_volume","pah_group",5.0998955381546,0.647773833586914
"ci_wet_volume","pcb_group",7.20958833409066,0.407388874620613
"ci_wet_volume","site_number",73,0.477985723452687
"ci_wet_shell_weight","geo_group",5.06024354963102,0.281171800342758
"ci_wet_shell_weight","reporting_area",3.05233002383211,0.880119424027016
"ci_wet_shell_weight","pah_group",3.05233002383211,0.880119424027016
"ci_wet_shell_weight","pcb_group",6.96959282478647,0.432052707069134
"ci_wet_shell_weight","site_number",73,0.477985723452687
"ci_pollution","geo_group",6.08333241321475,0.193010792436409
"ci_pollution","reporting_area",3.45217384417381,0.840264914632882
"ci_pollution","pah_group",3.45217384417381,0.840264914632882
"ci_pollution","pcb_group",2.79405585505896,0.903377803534192
"ci_pollution","site_number",73,0.477985723452686
"shell_thickness","geo_group",7.98750146015364,0.0920371063510269
"shell_thickness","reporting_area",11.3658199809384,0.12343901787928
"shell_thickness","pah_group",11.3658199809384,0.12343901787928
"shell_thickness","pcb_group",13.0504898251734,0.07088772988689
"shell_thickness","site_number",73,0.477985723452686
