"Group1","Group2","Z","P.unadj","P.adj","Significant","Group1_CLD","Group2_CLD"
"11","13",4.24545148292657,0,8e-04,"Yes","a","b"
"10","13",4.01326743121015,1e-04,0.0011,"Yes","a","b"
"11","9",3.41508537061538,6e-04,0.0077,"Yes","a","b"
"10","9",3.17225311874426,0.0015,0.0136,"Yes","a","b"
"11","12",3.0976499040823,0.002,0.014,"Yes","a","b"
"10","12",2.91599449399949,0.0035,0.0213,"Yes","a","b"
"13","7",-2.49872626670879,0.0125,0.0641,"No","b","ab"
"11","8.2",2.4286753823627,0.0152,0.0682,"No","a","ab"
"12","8.1",-2.30236822550412,0.0213,0.0767,"No","b","ab"
"12","7",-2.33037657420384,0.0198,0.0791,"No","b","ab"
"7","9",2.16215547057373,0.0306,0.0918,"No","ab","b"
"10","8.2",2.18605671284363,0.0288,0.0943,"No","a","ab"
"13","8.1",-2.0480779856063,0.0406,0.1043,"No","b","ab"
"11","6",2.0690013800048,0.0385,0.1067,"No","a","ab"
"8.1","9",1.98431332772523,0.0472,0.1133,"No","ab","b"
"10","6",1.84214446608206,0.0655,0.1473,"No","a","ab"
"8.1","8.2",1.54410490099365,0.1226,0.2595,"No","ab","ab"
"6","8.1",-1.40117668087972,0.1612,0.3054,"No","ab","ab"
"7","8.2",1.42547690671637,0.154,0.308,"No","ab","ab"
"6","7",-1.19769660215618,0.231,0.3961,"No","ab","ab"
"11","7",1.20977746567816,0.2264,0.4075,"No","a","ab"
"12","8.2",-1.11444092854324,0.2651,0.4149,"No","b","ab"
"12","6",-1.12094134470378,0.2623,0.4292,"No","b","ab"
"12","13",-0.997668889984186,0.3184,0.4777,"No","b","b"
"12","9",-0.835500348515888,0.4034,0.5586,"No","b","b"
"10","7",0.855026597317653,0.3925,0.5653,"No","a","ab"
"7","8.1",-0.614822755747398,0.5387,0.7182,"No","ab","ab"
"13","6",-0.4229867387307,0.6723,0.7807,"No","b","ab"
"10","11",-0.4751051854802,0.6347,0.7879,"No","a","a"
"8.2","9",0.438345769008528,0.6611,0.7934,"No","ab","b"
"13","8.2",-0.372111450889843,0.7098,0.7985,"No","b","ab"
"6","9",0.482376351123674,0.6295,0.8094,"No","ab","b"
"10","8.1",-0.181117670434751,0.8563,0.9341,"No","a","ab"
"13","9",0.147522510858132,0.8827,0.9346,"No","b","b"
"6","8.2",0.0761239298054385,0.9393,0.9662,"No","ab","ab"
"11","8.1",0.0391325453308269,0.9688,0.9688,"No","a","ab"
