"term","contrast","null.value","estimate","conf.low","conf.high","adj.p.value"
"site_name","Eastsound, Fishing Bay-Aiston Preserve",0,-0.346249999999999,-0.666700421032251,-0.0257995789677462,0.0142865802548617
"site_name","Eastsound, Fishing Bay-Arroyo Beach",0,-0.404999999999999,-0.69752987360232,-0.112470126397678,3.96734766489049e-05
"site_name","Jamestown-Arroyo Beach",0,-0.296666666666668,-0.558313339796353,-0.035019993536984,0.00573760094638431
"site_name","Shilshole Bay-Arroyo Beach",0,-0.31375,-0.606279873602321,-0.0212201263976787,0.0162861561090275
"site_name","Skiff Point-Arroyo Beach",0,-0.31125,-0.603779873602321,-0.0187201263976791,0.0187117644471517
"site_name","Eastsound, Fishing Bay-Blair Waterway",0,-0.373749999999999,-0.694200421032251,-0.0532995789677464,0.00319917675137438
"site_name","Eastsound, Fishing Bay-Blair Waterway #2",0,-0.392499999999999,-0.712950421032252,-0.0720495789677469,0.00106292985805601
"site_name","Chambers Bay Park-Brackenwood Ln",0,0.385,0.0645495789677479,0.705450421032253,0.00166382428716727
"site_name","Des Moines Marina-Brackenwood Ln",0,0.323750000000003,0.00329957896775018,0.644200421032255,0.0429902801417609
"site_name","Suquamish Stormwater Outfall-Brackenwood Ln",0,0.35,0.0295495789677475,0.670450421032252,0.0117564295164235
"site_name","Chambers Bay Park-Broad Spit (Fisherman's Point)",0,0.3925,0.072049578967747,0.712950421032252,0.00106292985805601
"site_name","Des Moines Marina-Broad Spit (Fisherman's Point)",0,0.331250000000002,0.0107995789677494,0.651700421032254,0.0301827834831249
"site_name","Suquamish Stormwater Outfall-Broad Spit (Fisherman's Point)",0,0.357499999999999,0.0370495789677467,0.677950421032252,0.00789001818014312
"site_name","Eastsound, Fishing Bay-Browns Point Lighthouse",0,-0.38375,-0.704200421032252,-0.0632995789677473,0.00179116480800756
"site_name","Eastsound, Fishing Bay-Cap Sante",0,-0.325,-0.645450421032252,-0.00454957896774721,0.0405693156522142
"site_name","Chuckanut, Clark's Point-Chambers Bay Park",0,-0.328749999999999,-0.649200421032252,-0.00829957896774663,0.0340128728495558
"site_name","Donkey Creek Delta-Chambers Bay Park",0,-0.3225,-0.642950421032252,-0.00204957896774743,0.0455373091977122
"site_name","Eastsound, Fishing Bay-Chambers Bay Park",0,-0.591249999999999,-0.911700421032252,-0.270799578967747,5.37548450196823e-10
"site_name","Edmonds Ferry-Chambers Bay Park",0,-0.36625,-0.686700421032252,-0.0457995789677475,0.00488355354437675
"site_name","Eld Inlet-Chambers Bay Park",0,-0.34875,-0.669200421032252,-0.0282995789677474,0.0125498932797319
"site_name","Friday Harbor-Chambers Bay Park",0,-0.30625,-0.610255962286553,-0.00224403771344678,0.0448815526465979
"site_name","Hood Canal Holly-Chambers Bay Park",0,-0.379583333333333,-0.672113206935654,-0.0870534597310121,0.000249124908534459
"site_name","Jamestown-Chambers Bay Park",0,-0.482916666666668,-0.775446540268989,-0.190386793064347,7.89367122777662e-08
"site_name","Locust Beach-Chambers Bay Park",0,-0.36875,-0.689200421032252,-0.0482995789677476,0.00424635522770234
"site_name","Manchester, Stormwater Outfall-Chambers Bay Park",0,-0.45,-0.770450421032252,-0.129549578967747,2.57240972351136e-05
"site_name","Maristone Island-Chambers Bay Park",0,-0.357083333333333,-0.649613206935654,-0.0645534597310122,0.00115196705782161
"site_name","Penn Cove Reference-Chambers Bay Park",0,-0.45,-0.770450421032253,-0.129549578967748,2.57240972351136e-05
"site_name","Raft Island Park-Chambers Bay Park",0,-0.4025,-0.722950421032253,-0.0820495789677476,0.00057644370491805
"site_name","Rocky Point-Chambers Bay Park",0,-0.3675,-0.687950421032252,-0.0470495789677475,0.00455450380343381
"site_name","Salmon Bay, Commodore Park-Chambers Bay Park",0,-0.34875,-0.669200421032252,-0.0282995789677474,0.0125498932797319
"site_name","Shilshole Bay-Chambers Bay Park",0,-0.5,-0.820450421032252,-0.179549578967747,7.14637725662826e-07
"site_name","Silverdale, Dyes Inlet-Chambers Bay Park",0,-0.36875,-0.689200421032253,-0.0482995789677477,0.00424635522770256
"site_name","Skiff Point-Chambers Bay Park",0,-0.4975,-0.817950421032253,-0.177049578967748,8.60583816875149e-07
"site_name","Williams Olson Park-Chambers Bay Park",0,-0.385,-0.705450421032253,-0.0645495789677475,0.00166382428716705
"site_name","Eastsound, Fishing Bay-Cherry Point Aquatic Reserve, Conoco Phillips",0,-0.403749999999999,-0.724200421032252,-0.083299578967747,0.000533396733916169
