,site_name,DryValue,log_concentration,category_5,category_6,category_7,category_8,quantile_category,p16
1,Aiston Preserve,31.65599129,3.486028339,1,1,1,1,1,1
2,Arroyo Beach,168.0932091,5.130450096,2,3,4,4,3,3
3,Blair Waterway,247.5323431,5.51557299,3,4,4,4,4,4
4,Blair Waterway #2,299.3656536,5.705000578,3,4,5,5,4,4
5,Brackenwood Ln,176.9850187,5.181699382,2,3,4,4,4,3
6,Broad Spit,35.49905081,3.597286255,1,1,1,1,1,1
7,Browns Point Lighthouse,175.520428,5.173436609,2,3,4,4,3,3
8,Cap Sante,63.66423358,4.169208245,1,2,2,2,1,1
9,Chambers Bay Park,70.78364566,4.273656674,1,2,2,2,2,2
10,"Cherry Point Aquatic Reserve, Conoco Phillips",126.770321,4.850234285,2,3,3,3,3,3
11,Chimacum Creek delta,68.63157895,4.243218185,1,2,2,2,1,2
12,"Chuckanut, Clark's Point",80.33416459,4.398566157,1,2,2,2,2,2
13,Comm Bay Skookum,342.9279231,5.84043211,3,4,5,5,5,5
14,"Comm Bay, Dick Gilmur Launch",332.0412736,5.808266427,3,4,5,5,4,5
15,"Comm Bay, Milwaukee Waterway",195.1832884,5.279049367,2,3,4,4,4,4
16,Des Moines Marina,9800.460617,9.190286696,5,6,7,8,5,5
17,Discovery Bay,117.6769062,4.776404727,2,3,3,3,2,2
18,Donkey Creek Delta,257.8723022,5.556334898,3,4,4,5,4,4
19,Eagle Harbor Dr,577.4680463,6.36038331,3,4,5,6,5,5
20,"Eastsound, Fishing Bay",292.0675453,5.680403112,3,4,5,5,4,4
21,Edmonds Ferry,268.9280374,5.598155395,3,4,5,5,4,4
22,Edmonds Marina,374.8520776,5.929195655,3,4,5,5,5,5
23,Eld Inlet,64.34929577,4.179746664,1,2,2,2,1,1
24,Elliot Bay Myrtle Edwards,8052.281134,8.993834882,5,6,7,8,5,5
25,"Elliott Bay, Harbor Island, Pier 17",1882.866557,7.541081623,4,5,6,7,5,5
26,Everett Harbor,173.0928652,5.159588865,2,3,4,4,3,3
27,"Fidalgo Bay Aq Reserve, Weaverling Spit",165.3510179,5.114100121,2,3,4,4,3,3
28,Filucy Bay,65.24017003,4.193287077,1,2,2,2,1,1
29,Friday Harbor,338.4171633,5.827229921,3,4,5,5,5,5
30,Gig Harbor Boat Launch,233.949692,5.459371415,3,4,4,4,4,4
31,Hood Canal Holly,24.58617512,3.242052171,1,1,1,1,1,1
32,Jamestown,31.15554399,3.470584877,1,1,1,1,1,1
33,Kingston Marina,123.5049608,4.824345561,2,3,3,3,2,3
34,Kitsap St Boat Launch,303.4712736,5.718576743,3,4,5,5,4,4
35,Kopachuck State Park,59.37693041,4.100607085,1,2,2,2,1,1
36,Lions Park,118.4697773,4.78306343,2,3,3,3,2,2
37,Locust Beach,46.08157463,3.851881728,1,1,1,1,1,1
38,Madrona Pont,108.4770642,4.695715068,2,3,3,3,2,2
39,"Manchester, Stormwater Outfall",171.0284061,5.147659615,2,3,4,4,3,3
40,Maple Hollow Park,71.97530864,4.290121146,1,2,2,2,2,2
41,Maristone Island,41.62759394,3.752501789,1,1,1,1,1,1
42,Meyer's Point - Henderson Inlet,66.16884328,4.207209498,1,2,2,2,1,1
43,Miller Creek,114.3848472,4.748273039,2,3,3,3,2,2
44,Minter Bay,78.94897959,4.381388676,1,2,2,2,2,2
45,Mukilteo,207.1518271,5.338267751,2,3,4,4,4,4
46,N Avenue Park,976.8238213,6.885329512,4,5,6,6,5,5
47,North Camano,63.47931873,4.166344533,1,2,2,2,1,1
48,Oak Bay County Park,47.45081136,3.880549085,1,1,1,1,1,1
49,Penn Cove Reference,64.37236927,4.180099681,1,2,2,2,1,1
50,Pennrose Point State Park,85.8165362,4.463797113,1,2,2,2,2,2
51,Point Defiance Ferry,335.831589,5.81958307,3,4,5,5,5,5
52,Port Angeles Yacht Club,1081.85567,6.987356969,4,5,6,6,5,5
53,Purdy - Dexters,68.84158821,4.246229652,1,2,2,2,2,2
54,"Purdy, Burley Lagoon",86.16853385,4.467843415,1,2,2,2,2,2
55,Raft Island Park,70.35650624,4.267688527,1,2,2,2,2,2
56,Reach Island,81.73360656,4.415625887,1,2,2,2,2,2
57,Rich Passage,142.7194719,4.967863288,2,3,3,3,3,3
58,Rocky Point,133.9498778,4.904903434,2,3,3,3,3,3
59,S of Skunk Island,144.1391671,4.977693055,2,3,3,3,3,3
60,"Salmon Bay, Commodore Park",409.2647059,6.016802576,3,4,5,5,5,5
61,Salmon Beach,214.3288201,5.372166256,2,3,4,4,4,4
62,"Seattle Aquarium, Pier 59",1879.291339,7.539182011,4,5,6,7,5,5
63,Shilshole Bay,1052.399404,6.959777741,4,5,6,6,5,5
64,"Silverdale, Dyes Inlet",137.081448,4.927843714,2,3,3,3,3,3
65,Skiff Point,213.1009901,5.36644782,2,3,4,4,4,4
66,"Smith Cove, Terminal 91",4161.906653,8.333968824,5,6,7,8,5,5
67,Squaxin Island,71.20955056,4.279572316,1,2,2,2,2,2
68,Suquamish Stormwater Outfall,206.2119816,5.333742335,2,3,4,4,4,4
69,Thea Foss Waterway,454.3389662,6.121042122,3,4,5,5,5,5
70,Three Tree Point,129.6053678,4.872180317,2,3,3,3,3,3
71,Tulalip Bay,181.6903529,5.207792659,2,3,4,4,4,4
72,Tulalip Reservation,123.7976695,4.826693782,2,3,3,3,3,3
73,West Bay Park,161.9665484,5.093544955,2,3,4,4,3,3
74,Williams Olson Park,150.6265281,5.021420445,2,3,3,3,3,3
