site_name,DryValue
Aiston Preserve,31.65599129
Arroyo Beach,168.0932091
Blair Waterway,247.5323431
Blair Waterway #2,299.3656536
Brackenwood Ln,176.9850187
Broad Spit,35.49905081
Browns Point Lighthouse,175.520428
Cap Sante,63.66423358
Chambers Bay Park,70.78364566
"Cherry Point Aquatic Reserve, Conoco Phillips",126.770321
Chimacum Creek delta,68.63157895
"Chuckanut, Clark's Point",80.33416459
Comm Bay Skookum,342.9279231
"Comm Bay, Dick Gilmur Launch",332.0412736
"Comm Bay, Milwaukee Waterway",195.1832884
Des Moines Marina,9800.460617
Discovery Bay,117.6769062
Donkey Creek Delta,257.8723022
Eagle Harbor Dr,577.4680463
"Eastsound, Fishing Bay",292.0675453
Edmonds Ferry,268.9280374
Edmonds Marina,374.8520776
Eld Inlet,64.34929577
Elliot Bay Myrtle Edwards,8052.281134
"Elliott Bay, Harbor Island, Pier 17",1882.866557
Everett Harbor,173.0928652
"Fidalgo Bay Aq Reserve, Weaverling Spit",165.3510179
Filucy Bay,65.24017003
Friday Harbor,338.4171633
Gig Harbor Boat Launch,233.949692
Hood Canal Holly,24.58617512
Jamestown,31.15554399
Kingston Marina,123.5049608
Kitsap St Boat Launch,303.4712736
Kopachuck State Park,59.37693041
Lions Park,118.4697773
Locust Beach,46.08157463
Madrona Pont,108.4770642
"Manchester, Stormwater Outfall",171.0284061
Maple Hollow Park,71.97530864
Maristone Island,41.62759394
Meyer's Point - Henderson Inlet,66.16884328
Miller Creek,114.3848472
Minter Bay,78.94897959
Mukilteo,207.1518271
N Avenue Park,976.8238213
North Camano,63.47931873
Oak Bay County Park,47.45081136
Penn Cove Reference,64.37236927
Pennrose Point State Park,85.8165362
Point Defiance Ferry,335.831589
Port Angeles Yacht Club,1081.85567
Purdy - Dexters,68.84158821
"Purdy, Burley Lagoon",86.16853385
Raft Island Park,70.35650624
Reach Island,81.73360656
Rich Passage,142.7194719
Rocky Point,133.9498778
S of Skunk Island,144.1391671
"Salmon Bay, Commodore Park",409.2647059
Salmon Beach,214.3288201
"Seattle Aquarium, Pier 59",1879.291339
Shilshole Bay,1052.399404
"Silverdale, Dyes Inlet",137.081448
Skiff Point,213.1009901
"Smith Cove, Terminal 91",4161.906653
Squaxin Island,71.20955056
Suquamish Stormwater Outfall,206.2119816
Thea Foss Waterway,454.3389662
Three Tree Point,129.6053678
Tulalip Bay,181.6903529
Tulalip Reservation,123.7976695
West Bay Park,161.9665484
Williams Olson Park,150.6265281
